scope_role,dimension_role,count,source_order,dimension_order,flow_stage,tier,tier_order
context_control,context_control,29,3,3,source_to_dimension,,
context_control,opportunity,3,3,2,source_to_dimension,,
context_control,sensitivity,1,3,4,source_to_dimension,,
context_control,t0_potential,3,3,1,source_to_dimension,,
direct_innovation,context_control,3,0,3,source_to_dimension,,
direct_innovation,sensitivity,6,0,4,source_to_dimension,,
direct_innovation,substantive_innovation,11,0,0,source_to_dimension,,
direct_innovation,t0_potential,11,0,1,source_to_dimension,,
t0_opportunity,context_control,11,2,3,source_to_dimension,,
t0_opportunity,opportunity,85,2,2,source_to_dimension,,
t0_opportunity,t0_potential,10,2,1,source_to_dimension,,
t0_substantive,context_control,22,1,3,source_to_dimension,,
t0_substantive,opportunity,3,1,2,source_to_dimension,,
t0_substantive,sensitivity,44,1,4,source_to_dimension,,
t0_substantive,substantive_innovation,3,1,0,source_to_dimension,,
t0_substantive,t0_potential,183,1,1,source_to_dimension,,
t0_substantive,unassigned,4,1,5,source_to_dimension,,
,context_control,3,,3,dimension_to_tier,broad_t0_only,3
,context_control,39,,3,dimension_to_tier,excluded,4
,context_control,1,,3,dimension_to_tier,fulltext_only,1
,context_control,19,,3,dimension_to_tier,source_only,2
,context_control,3,,3,dimension_to_tier,strict_core,0
,opportunity,8,,2,dimension_to_tier,broad_t0_only,3
,opportunity,26,,2,dimension_to_tier,excluded,4
,opportunity,3,,2,dimension_to_tier,fulltext_only,1
,opportunity,52,,2,dimension_to_tier,source_only,2
,opportunity,2,,2,dimension_to_tier,strict_core,0
,sensitivity,12,,4,dimension_to_tier,broad_t0_only,3
,sensitivity,32,,4,dimension_to_tier,excluded,4
,sensitivity,7,,4,dimension_to_tier,source_only,2
,substantive_innovation,1,,0,dimension_to_tier,broad_t0_only,3
,substantive_innovation,4,,0,dimension_to_tier,excluded,4
,substantive_innovation,3,,0,dimension_to_tier,fulltext_only,1
,substantive_innovation,6,,0,dimension_to_tier,source_only,2
,t0_potential,42,,1,dimension_to_tier,broad_t0_only,3
,t0_potential,108,,1,dimension_to_tier,excluded,4
,t0_potential,2,,1,dimension_to_tier,fulltext_only,1
,t0_potential,53,,1,dimension_to_tier,source_only,2
,t0_potential,2,,1,dimension_to_tier,strict_core,0
,unassigned,4,,5,dimension_to_tier,excluded,4
