feature_id,canonical_name_en,scope_role,final_role,dimension_id,dimension_role,tier
EF0001,Abstract-availability predictor,t0_substantive,,CD001,t0_potential,source_only
EF0002,Abstract information entropy,t0_substantive,,CD002,t0_potential,broad_t0_only
EF0003,Abstract language availability,t0_substantive,,,unassigned,excluded
EF0004,Abstract length,t0_substantive,,CD002,t0_potential,source_only
EF0005,Abstract length and complexity,t0_substantive,,,unassigned,excluded
EF0006,Abstract readability measure,t0_substantive,,,unassigned,excluded
EF0007,Abstract reporting completeness,t0_substantive,,CD001,t0_potential,source_only
EF0008,Abstract rhetorical-move structure,t0_substantive,,CD003,t0_potential,source_only
EF0009,Abstract rhetorical moves,t0_substantive,,CD003,t0_potential,source_only
EF0010,Abstract structure,t0_substantive,,,unassigned,excluded
EF0011,Abstract stylistic features,t0_substantive,,CD001,t0_potential,excluded
EF0012,Abstract text content,t0_substantive,,CD001,t0_potential,excluded
EF0013,Abstract word-limit policy,t0_substantive,,CD002,t0_potential,excluded
EF0014,Academic program/institution,context_control,,CD006,context_control,source_only
EF0015,Access-status control,context_control,control,CD041,context_control,source_only
EF0016,Accessible scientific writing,t0_substantive,,CD053,t0_potential,source_only
EF0017,Additive entropy diversity index,direct_innovation,,CD029,substantive_innovation,fulltext_only
EF0018,Advisor commitment and communication,t0_substantive,,CD002,t0_potential,excluded
EF0019,Affiliated-country size,context_control,,CD006,context_control,source_only
EF0020,AMSTAR 2 assessment,t0_substantive,,CD056,t0_potential,excluded
EF0021,Analytic feature selection,t0_substantive,,CD056,t0_potential,broad_t0_only
EF0022,Anecdotal-only evaluation practice,t0_substantive,,CD021,t0_potential,excluded
EF0023,Animal age and sex reporting,t0_substantive,,CD047,t0_potential,source_only
EF0024,Article annotation content,t0_substantive,,CD026,t0_potential,source_only
EF0025,Article length,t0_substantive,,CD005,t0_potential,excluded
EF0026,Article-production-quality predictor,t0_substantive,,CD005,t0_potential,excluded
EF0027,Article publishing charge,t0_opportunity,,CD004,opportunity,source_only
EF0028,Article structural-element counts,t0_substantive,,CD005,t0_potential,source_only
EF0029,Article structure,t0_substantive,,CD005,t0_potential,excluded
EF0030,Article-title features,t0_substantive,,CD005,t0_potential,excluded
EF0031,Article topic,context_control,,CD063,context_control,source_only
EF0032,Author academic qualification,t0_opportunity,,CD007,opportunity,broad_t0_only
EF0033,Author-affiliation country diversity,context_control,,CD006,context_control,source_only
EF0034,Author affiliation geography/institution,context_control,,CD006,context_control,source_only
EF0035,Author-authority cue,t0_opportunity,,CD009,opportunity,excluded
EF0036,Author career age,context_control,,CD007,opportunity,excluded
EF0037,Author career stage,t0_opportunity,,CD007,opportunity,source_only
EF0038,Author count,t0_opportunity,control,CD010,context_control,strict_core
EF0039,Author country,context_control,,CD006,context_control,source_only
EF0040,Author-country development-level control,context_control,,CD006,context_control,source_only
EF0041,Author disciplinary diversity (DDA),direct_innovation,,CD061,substantive_innovation,excluded
EF0042,Author gender,t0_opportunity,,CD009,opportunity,source_only
EF0043,Author identity cue,t0_opportunity,,CD009,opportunity,source_only
EF0044,Author order predictor,t0_opportunity,,CD009,opportunity,source_only
EF0045,Author publication history,t0_opportunity,,CD007,opportunity,source_only
EF0046,Author-team ethnic diversity,direct_innovation,,CD061,substantive_innovation,source_only
EF0047,Author tenure status,t0_opportunity,,CD007,opportunity,excluded
EF0048,Author-tenure-status adjustment covariate,context_control,control,CD010,context_control,source_only
EF0049,Author-topic-expertise-proximity predictor,t0_opportunity,,CD007,opportunity,source_only
EF0050,Authorship characteristics,t0_opportunity,,CD009,opportunity,source_only
EF0051,Authorship-country opportunity context,t0_opportunity,,CD008,opportunity,source_only
EF0052,Backward-citation age,t0_substantive,,CD045,substantive_innovation,fulltext_only
EF0053,Basic/applied research control,context_control,,CD048,t0_potential,excluded
EF0054,Between-study heterogeneity,t0_substantive,,CD057,context_control,excluded
EF0055,Bibliometric indicator,t0_substantive,,CD005,t0_potential,excluded
EF0056,Biological justification,t0_substantive,,CD019,t0_potential,excluded
EF0057,Biological plausibility,t0_substantive,,CD019,t0_potential,broad_t0_only
EF0058,Biomedical study-subject context,t0_substantive,,CD057,context_control,excluded
EF0059,Blinded outcome assessment,t0_substantive,,CD037,t0_potential,excluded
EF0060,Blinded peer-review process,t0_substantive,,CD038,t0_potential,excluded
EF0061,Boolean search specification,t0_substantive,,CD037,t0_potential,excluded
EF0062,Case-report clinical content,t0_substantive,,CD019,t0_potential,broad_t0_only
EF0063,Centre-of-Excellence funding/affiliation,t0_opportunity,,CD027,opportunity,source_only
EF0064,CHEERS reporting adherence,t0_substantive,,CD047,t0_potential,excluded
EF0065,Citation bias,t0_substantive,,CD011,sensitivity,excluded
EF0066,Citation-context category,t0_substantive,,CD013,t0_potential,excluded
EF0067,Citation integrity,t0_substantive,,CD013,t0_potential,excluded
EF0068,Citation metadata-error type,t0_substantive,,CD013,t0_potential,excluded
EF0069,Citation-motive taxonomy,t0_substantive,,CD013,t0_potential,excluded
EF0070,Citation-network neighborhood,t0_opportunity,,CD012,opportunity,source_only
EF0071,Citation-reason category,t0_substantive,,CD013,t0_potential,excluded
EF0072,Citation structural diversity,direct_innovation,,CD013,t0_potential,excluded
EF0073,Cited-knowledge-recency predictor,t0_substantive,,CD045,substantive_innovation,excluded
EF0074,Cited-reference disciplinary composition,t0_substantive,,CD044,t0_potential,source_only
EF0075,Cited-reference prior impact,t0_substantive,,CD046,context_control,excluded
EF0076,Clinical research status,context_control,,CD057,context_control,source_only
EF0077,Co-authorship,t0_opportunity,opportunity,CD014,opportunity,source_only
EF0078,Co-authorship network structure,t0_opportunity,,CD015,opportunity,source_only
EF0079,Coauthor career-age difference,t0_opportunity,opportunity,CD014,opportunity,source_only
EF0080,Coauthorship-network centrality,t0_opportunity,,CD015,opportunity,source_only
EF0081,Collaboration heterogeneity,t0_opportunity,,CD015,opportunity,excluded
EF0082,Collaboration-network algebraic connectivity,t0_opportunity,,CD015,opportunity,source_only
EF0083,Collaboration-network clustering coefficient,t0_opportunity,,CD015,opportunity,fulltext_only
EF0084,Collaboration-network eigenvector centrality,t0_opportunity,,CD015,opportunity,source_only
EF0085,Collaboration-network knowledge density,t0_opportunity,,CD015,opportunity,source_only
EF0086,Collaboration type,t0_opportunity,opportunity,CD014,opportunity,source_only
EF0087,Conference/meeting venue,t0_opportunity,control,CD041,context_control,excluded
EF0088,Conference presentation format,t0_substantive,,CD005,t0_potential,excluded
EF0089,Conflict-of-interest disclosure,t0_substantive,,CD020,t0_potential,source_only
EF0090,Confounding,t0_substantive,,CD016,context_control,excluded
EF0091,Confounding by indication,t0_substantive,,CD016,context_control,excluded
EF0092,Confounding control,context_control,,CD016,context_control,excluded
EF0093,CONSORT reporting adherence,t0_substantive,,CD047,t0_potential,source_only
EF0094,Construct validity,t0_substantive,,CD033,sensitivity,source_only
EF0095,Core outcome set,t0_substantive,,CD037,t0_potential,excluded
EF0096,Corresponding-authorship status,t0_opportunity,,CD009,opportunity,excluded
EF0097,Country-field stratum,context_control,,CD063,context_control,excluded
EF0098,Country similarity,context_control,,CD033,sensitivity,excluded
EF0099,COVID-19 topic,t0_opportunity,,CD065,opportunity,source_only
EF0100,Criterion-measure-use indicator,t0_substantive,,CD013,t0_potential,excluded
EF0101,Data-access restriction control,context_control,,CD017,context_control,excluded
EF0102,Data accessibility,t0_substantive,,CD018,t0_potential,source_only
EF0103,Data availability,t0_substantive,,CD001,t0_potential,excluded
EF0104,Data-availability statement category,t0_substantive,,CD001,t0_potential,excluded
EF0105,Data-availability statement presence,t0_substantive,,CD001,t0_potential,excluded
EF0106,Data findability and reusability,t0_substantive,,CD018,t0_potential,source_only
EF0107,Data format,t0_substantive,,CD017,context_control,excluded
