comparison_label,candidate_model_id,baseline_model_id,domain12,domain_label,window_start,window_end,n,delta_spearman,display_delta,out_of_scale,status
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1986,1988,1768,0.0005770455510387684,0.0005770455510387684,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1987,1989,1812,-0.016485407357084036,-0.016485407357084036,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1988,1990,1742,-0.011022325315507064,-0.011022325315507064,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1989,1991,1700,-0.011002275261647654,-0.011002275261647654,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1990,1992,1833,0.002095747217013666,0.002095747217013666,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1991,1993,1922,0.006955948686395597,0.006955948686395597,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1992,1994,2082,0.007288777238669164,0.007288777238669164,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1993,1995,2370,0.007847268505493665,0.007847268505493665,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1994,1996,2677,0.012744614603031779,0.012744614603031779,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1995,1997,2959,0.015511148114795814,0.015511148114795814,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1996,1998,3080,0.019387235158804805,0.019387235158804805,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1997,1999,3483,0.006868857617497004,0.006868857617497004,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1998,2000,3700,-0.0012063728951368091,-0.0012063728951368091,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,1999,2001,3704,-0.003173177935911764,-0.003173177935911764,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2000,2002,3384,-0.003298174057062231,-0.003298174057062231,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2001,2003,3218,-0.004725842418357162,-0.004725842418357162,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2002,2004,3267,-0.009180578918635995,-0.009180578918635995,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2003,2005,3362,-0.003607741919456342,-0.003607741919456342,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2004,2006,3623,0.0019101446380084264,0.0019101446380084264,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2005,2007,3604,-0.002201995864590023,-0.002201995864590023,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2006,2008,3700,0.002400743514933912,0.002400743514933912,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2007,2009,3666,0.0020492429938865353,0.0020492429938865353,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2008,2010,3844,0.002079356395954246,0.002079356395954246,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2009,2011,4069,0.0055084091107021615,0.0055084091107021615,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2010,2012,4488,0.009203423844002523,0.009203423844002523,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2011,2013,5007,0.009023479404745127,0.009023479404745127,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2012,2014,5705,0.007299639365050514,0.007299639365050514,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2013,2015,7639,0.009002900450489015,0.009002900450489015,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2014,2016,11929,0.009903778904970184,0.009903778904970184,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2015,2017,17924,0.013357481637368718,0.013357481637368718,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2016,2018,21123,0.011342826406100959,0.011342826406100959,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2017,2019,22999,0.013064004313922517,0.013064004313922517,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2018,2020,24458,0.014037858811831838,0.014037858811831838,False,reliable
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2019,2021,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,clinical_health,Clinical health,2020,2022,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1986,1988,172,0.020707519287773923,0.020707519287773923,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1987,1989,191,0.01165088832960215,0.01165088832960215,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1988,1990,192,-0.0032524236499953396,-0.0032524236499953396,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1989,1991,228,-0.007199845829913287,-0.007199845829913287,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1990,1992,242,-0.007300473963402054,-0.007300473963402054,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1991,1993,252,-0.015329365904218628,-0.015329365904218628,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1992,1994,239,-0.01731187668319234,-0.01731187668319234,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1993,1995,205,-0.0055989002744647465,-0.0055989002744647465,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1994,1996,190,0.008063616418421904,0.008063616418421904,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1995,1997,161,0.005777694407678946,0.005777694407678946,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1996,1998,169,-0.0020456247831351915,-0.0020456247831351915,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1997,1999,179,-0.006801937183010587,-0.006801937183010587,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1998,2000,202,-0.009803225666880744,-0.009803225666880744,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,1999,2001,216,0.007510360176640307,0.007510360176640307,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2000,2002,220,0.009905567019189432,0.009905567019189432,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2001,2003,213,0.01924126154136907,0.01924126154136907,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2002,2004,187,0.022927410107990043,0.022927410107990043,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2003,2005,170,0.020669527609382787,0.020669527609382787,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2004,2006,174,0.004573494666348155,0.004573494666348155,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2005,2007,227,0.008831825023120743,0.008831825023120743,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2006,2008,323,0.0028445041972293694,0.0028445041972293694,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2007,2009,459,0.007474274000985215,0.007474274000985215,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2008,2010,619,0.00844855218249474,0.00844855218249474,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2009,2011,624,0.012459864853020308,0.012459864853020308,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2010,2012,625,0.009606500463595902,0.009606500463595902,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2011,2013,630,0.017726942793181433,0.017726942793181433,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2012,2014,800,0.017351268133209197,0.017351268133209197,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2013,2015,1011,0.018774800295168537,0.018774800295168537,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2014,2016,1331,0.01803634071641058,0.01803634071641058,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2015,2017,1689,0.011765705763786438,0.011765705763786438,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2016,2018,1920,0.010065673510146422,0.010065673510146422,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2017,2019,2068,0.011132389087975869,0.011132389087975869,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2018,2020,2133,0.02162694422350442,0.02162694422350442,False,reliable
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2019,2021,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,chemistry,Chemistry,2020,2022,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1986,1988,78,-0.040266914767758566,-0.040266914767758566,False,reliable
Primary 16 − Strict 7,primary,strict,mathematics_statistics,Mathematics & statistics,1987,1989,93,0.07798474906155328,0.07798474906155328,False,reliable
