horizon,model_id,model_label,prediction_decile,n,top_count,observed_top_share,baseline_top_share,enrichment_over_baseline,ci_low,ci_high,bootstrap_iterations,bootstrap_unit
3,strict,Strict 7,1.0,39520,481,0.012171052631578947,0.10000809843649561,0.1217006704642772,0.007753756095837449,0.01655394763018339,2000,publication_year
3,strict,Strict 7,2.0,39512,440,0.011135857461024499,0.10000809843649561,0.1113495570370802,0.007895357947396622,0.013738653902909721,2000,publication_year
3,strict,Strict 7,3.0,39512,714,0.018070459607207937,0.10000809843649561,0.18068996301017107,0.012376614181481735,0.022007608638979506,2000,publication_year
3,strict,Strict 7,4.0,39513,1071,0.02710500341659707,0.10000809843649561,0.27102808512861126,0.02192242323741372,0.030674359082608984,2000,publication_year
3,strict,Strict 7,5.0,39515,1648,0.04170568138681514,0.10000809843649561,0.4170230415219617,0.03609616314545586,0.04592339982791781,2000,publication_year
3,strict,Strict 7,6.0,39512,2393,0.06056387932779915,0.10000809843649561,0.6055897499766657,0.05550618854678486,0.0651126596464535,2000,publication_year
3,strict,Strict 7,7.0,39513,3541,0.08961607572191431,0.10000809843649561,0.8960881880862863,0.08301170220415376,0.09527589000944545,2000,publication_year
3,strict,Strict 7,8.0,39512,5179,0.13107410406964973,0.10000809843649561,1.3106348997614508,0.12586148857904086,0.1368050590361029,2000,publication_year
3,strict,Strict 7,9.0,39512,8260,0.20905041506377808,0.10000809843649561,2.0903348661960965,0.1968801248205965,0.22727495222227306,2000,publication_year
3,strict,Strict 7,10.0,39517,15790,0.3995748665131462,0.10000809843649561,3.9954250981671575,0.387077365191043,0.4114886436434318,2000,publication_year
3,primary,Primary 16,1.0,39520,430,0.010880566801619434,0.10000809843649561,0.10879685717180707,0.00651262367941945,0.015616558874772563,2000,publication_year
3,primary,Primary 16,2.0,39512,465,0.011768576634946345,0.10000809843649561,0.11767623641418702,0.008077324134767534,0.014648862356886573,2000,publication_year
3,primary,Primary 16,3.0,39512,672,0.017007491395019236,0.10000809843649561,0.17006114165663158,0.012040814240337802,0.02043535333954759,2000,publication_year
3,primary,Primary 16,4.0,39513,1018,0.025763672715308886,0.10000809843649561,0.25761586429591626,0.020736188787147485,0.028900054689831617,2000,publication_year
3,primary,Primary 16,5.0,39515,1637,0.04142730608629634,0.10000809843649561,0.41423951393898734,0.035157353926549124,0.04660221506029362,2000,publication_year
3,primary,Primary 16,6.0,39512,2142,0.05421137882162381,0.10000809843649561,0.5420698890305131,0.048794166665696456,0.05867467651093025,2000,publication_year
3,primary,Primary 16,7.0,39513,3136,0.07936628451395743,0.10000809843649561,0.7935985760628618,0.07235981037716613,0.08422096714017063,2000,publication_year
3,primary,Primary 16,8.0,39512,4943,0.1251012350678275,0.10000809843649561,1.2509110464415625,0.1193477833021334,0.1308062957755717,2000,publication_year
3,primary,Primary 16,9.0,39512,8222,0.20808868191941687,0.10000809843649561,2.080718313542894,0.1976191756912338,0.221476654792993,2000,publication_year
3,primary,Primary 16,10.0,39517,16852,0.4264493762178303,0.10000809843649561,4.264148432825392,0.4141148883825779,0.4413434245410998,2000,publication_year
3,expanded,Expanded 153,1.0,39520,419,0.010602226720647773,0.10000809843649561,0.10601368175578409,0.0057792257407002804,0.01569952616014289,2000,publication_year
3,expanded,Expanded 153,2.0,39512,456,0.011540797732334481,0.10000809843649561,0.11539863183842858,0.008068583783833072,0.014435556967984021,2000,publication_year
3,expanded,Expanded 153,3.0,39512,621,0.01571674428021867,0.10000809843649561,0.15715471572733367,0.011488379512231065,0.01879609346536559,2000,publication_year
