horizon,model_id,model_label,domain12,domain_label,window_start,window_end,n,spearman,status,overall_n_oof,overall_spearman
3,strict,Strict 7,clinical_health,Clinical health,1986,1988,1768,0.7581572689872434,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,1987,1989,1812,0.73178661036389,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,1988,1990,1741,0.7327366339997002,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,1989,1991,1699,0.7304188924827612,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,1990,1992,1832,0.7225967441990179,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,1991,1993,1923,0.7178502897717386,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,1992,1994,2083,0.7181400318775528,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,1993,1995,2370,0.731066910266502,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,1994,1996,2676,0.7195461148312121,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,1995,1997,2958,0.7312233517231185,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,1996,1998,3080,0.7039206281444216,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,1997,1999,3483,0.6757475387474846,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,1998,2000,3700,0.6721474713572568,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,1999,2001,3704,0.6875149446774315,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2000,2002,3385,0.724432869426475,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2001,2003,3219,0.7023950930219932,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2002,2004,3267,0.6918511610856922,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2003,2005,3361,0.6725115253992745,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2004,2006,3620,0.6923066917786063,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2005,2007,3603,0.7380955486358648,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2006,2008,3699,0.7472458521538231,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2007,2009,3668,0.7443965222875675,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2008,2010,3845,0.7439541889280707,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2009,2011,4069,0.7379794321162089,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2010,2012,4487,0.7513214017555495,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2011,2013,5006,0.7671657381757316,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2012,2014,5705,0.7885744223711136,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2013,2015,7639,0.7644869035348736,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2014,2016,11936,0.6758872132161415,reliable,396300,0.6994743713368489
3,strict,Strict 7,clinical_health,Clinical health,2015,2017,17934,0.6111089484762975,reliable,396300,0.6994743713368489
