horizon,model_family,model_id,n_oof,spearman,fixed_spearman,delta_vs_fixed,tuned_rank_within_horizon
3,hgb,strict,396300,0.6994743713368489,0.6972098360831175,0.002264535253731381,4
3,hgb,primary,396300,0.7184649720024937,0.7160191132046454,0.0024458587978483104,1
3,hgb,expanded,396300,0.7041259339435956,0.6996670971538306,0.004458836789764997,3
3,hgb,broad_t0,396300,0.7057017888247602,0.6994401930155066,0.006261595809253562,2
5,hgb,strict,317995,0.7223676630426908,0.7204919903905557,0.001875672652135174,4
5,hgb,primary,317995,0.739569717544749,0.7371123781402815,0.0024573394044674624,1
5,hgb,expanded,317995,0.7319697801560137,0.7298337431633443,0.002136036992669399,3
5,hgb,broad_t0,317995,0.7358800753357578,0.7282318971622478,0.007648178173510045,2
8,hgb,strict,220633,0.7590824362298247,0.7574668043506595,0.0016156318791652469,4
8,hgb,primary,220633,0.7738144724282409,0.7723323951477296,0.001482077280511307,3
8,hgb,expanded,220633,0.7744628687567354,0.7707731698264065,0.0036896989303288885,2
8,hgb,broad_t0,220633,0.7755619599686997,0.771517777316653,0.004044182652046646,1
