horizon,model_family,model_id,n_oof,spearman,rank,baseline_model_id,delta_vs_baseline,selection_feedback_used
3,hgb,strict,396300,0.6994743713368489,4,strict,0.0,False
3,hgb,primary,396300,0.7184649720024937,1,strict,0.01899060066564484,False
3,hgb,expanded,396300,0.7041259339435956,3,strict,0.004651562606746706,False
3,hgb,broad_t0,396300,0.7057017888247602,2,strict,0.006227417487911335,False
5,hgb,strict,317995,0.7223676630426908,4,strict,0.0,False
5,hgb,primary,317995,0.739569717544749,1,strict,0.01720205450205814,False
5,hgb,expanded,317995,0.7319697801560137,3,strict,0.009602117113322817,False
5,hgb,broad_t0,317995,0.7358800753357578,2,strict,0.013512412293066989,False
8,hgb,strict,220633,0.7590824362298247,4,strict,0.0,False
8,hgb,primary,220633,0.7738144724282409,3,strict,0.01473203619841612,False
8,hgb,expanded,220633,0.7744628687567354,2,strict,0.015380432526910681,False
8,hgb,broad_t0,220633,0.7755619599686997,1,strict,0.016479523738874957,False
