horizon,model_family,model_id,domain12,n_oof,spearman
3,hgb,strict,astronomy_space,10588,0.7337632205419352
3,hgb,strict,chemistry,8563,0.7205795005156971
3,hgb,strict,clinical_health,96582,0.7458638546146393
3,hgb,strict,computer_science_ai,8147,0.7217582552302505
3,hgb,strict,earth_climate_environment,44054,0.6889739593355209
3,hgb,strict,ecology_evolution_microbiology,5861,0.6855504924604656
3,hgb,strict,engineering_energy,34004,0.7010837243224302
3,hgb,strict,life_molecular,116874,0.6372117598097394
3,hgb,strict,materials_nanoscience,23393,0.6155154640085052
3,hgb,strict,mathematics_statistics,2922,0.6862178895297173
3,hgb,strict,neuroscience,23397,0.6112095250964468
3,hgb,strict,physics,21915,0.6573886624876898
3,hgb,primary,astronomy_space,10588,0.7364956658672746
3,hgb,primary,chemistry,8563,0.7359618159856893
3,hgb,primary,clinical_health,96582,0.7570305033639595
3,hgb,primary,computer_science_ai,8147,0.7213838223511174
3,hgb,primary,earth_climate_environment,44054,0.7098394128618233
3,hgb,primary,ecology_evolution_microbiology,5861,0.7068730054314283
3,hgb,primary,engineering_energy,34004,0.711890174127969
3,hgb,primary,life_molecular,116874,0.6575031940333068
3,hgb,primary,materials_nanoscience,23393,0.6372457659825262
3,hgb,primary,mathematics_statistics,2922,0.6838427508470465
3,hgb,primary,neuroscience,23397,0.6350810396605916
3,hgb,primary,physics,21915,0.65503156123074
3,hgb,expanded,astronomy_space,10588,0.7628000612274588
3,hgb,expanded,chemistry,8563,0.721459660046251
3,hgb,expanded,clinical_health,96582,0.7442521774393354
3,hgb,expanded,computer_science_ai,8147,0.7211195619977305
3,hgb,expanded,earth_climate_environment,44054,0.7043663261855956
3,hgb,expanded,ecology_evolution_microbiology,5861,0.6779493306369746
3,hgb,expanded,engineering_energy,34004,0.6915592059614163
3,hgb,expanded,life_molecular,116874,0.6257991103233691
3,hgb,expanded,materials_nanoscience,23393,0.6064700730692373
3,hgb,expanded,mathematics_statistics,2922,0.6884324694263403
3,hgb,expanded,neuroscience,23397,0.6127756101846535
3,hgb,expanded,physics,21915,0.6466140838958896
3,hgb,broad_t0,astronomy_space,10588,0.7654346850056238
3,hgb,broad_t0,chemistry,8563,0.72250632899353
3,hgb,broad_t0,clinical_health,96582,0.7455175468658423
3,hgb,broad_t0,computer_science_ai,8147,0.7200660593937888
3,hgb,broad_t0,earth_climate_environment,44054,0.7037789319963262
3,hgb,broad_t0,ecology_evolution_microbiology,5861,0.6807386710600467
3,hgb,broad_t0,engineering_energy,34004,0.6919957221583369
3,hgb,broad_t0,life_molecular,116874,0.6281402079763281
3,hgb,broad_t0,materials_nanoscience,23393,0.6099924444206796
3,hgb,broad_t0,mathematics_statistics,2922,0.6893499374013492
3,hgb,broad_t0,neuroscience,23397,0.6093958824319429
3,hgb,broad_t0,physics,21915,0.6463927075871885
5,hgb,strict,astronomy_space,9479,0.7297893452254945
5,hgb,strict,chemistry,6888,0.7497705222880258
5,hgb,strict,clinical_health,73802,0.7744928240141044
5,hgb,strict,computer_science_ai,5955,0.7406404324174023
5,hgb,strict,earth_climate_environment,35527,0.714316217304308
5,hgb,strict,ecology_evolution_microbiology,4721,0.7259574686859376
5,hgb,strict,engineering_energy,25831,0.7267116924521232
5,hgb,strict,life_molecular,97266,0.6517345251088873
5,hgb,strict,materials_nanoscience,19294,0.6329914869664748
5,hgb,strict,mathematics_statistics,1964,0.6912497005515106
5,hgb,strict,neuroscience,19241,0.6216795166553301
5,hgb,strict,physics,18027,0.6712316655234905
5,hgb,primary,astronomy_space,9479,0.7329800999546182
5,hgb,primary,chemistry,6888,0.7604162624727728
5,hgb,primary,clinical_health,73802,0.7826923313610498
5,hgb,primary,computer_science_ai,5955,0.7394381161241205
5,hgb,primary,earth_climate_environment,35527,0.7309244471641682
5,hgb,primary,ecology_evolution_microbiology,4721,0.736544833206762
5,hgb,primary,engineering_energy,25831,0.7328104609964388
5,hgb,primary,life_molecular,97266,0.6696550596317923
5,hgb,primary,materials_nanoscience,19294,0.6479267084743109
5,hgb,primary,mathematics_statistics,1964,0.6860741808979752
5,hgb,primary,neuroscience,19241,0.6447885835926006
5,hgb,primary,physics,18027,0.6688440380997185
5,hgb,expanded,astronomy_space,9479,0.7580072868136625
5,hgb,expanded,chemistry,6888,0.7555685544753669
5,hgb,expanded,clinical_health,73802,0.7732731464606126
5,hgb,expanded,computer_science_ai,5955,0.743981127369642
5,hgb,expanded,earth_climate_environment,35527,0.7268534321473796
5,hgb,expanded,ecology_evolution_microbiology,4721,0.7130642436767712
5,hgb,expanded,engineering_energy,25831,0.7197039266645602
5,hgb,expanded,life_molecular,97266,0.6472374990005758
5,hgb,expanded,materials_nanoscience,19294,0.6321748243922195
5,hgb,expanded,mathematics_statistics,1964,0.6905564309195336
5,hgb,expanded,neuroscience,19241,0.6274930320819827
5,hgb,expanded,physics,18027,0.6704584859852657
5,hgb,broad_t0,astronomy_space,9479,0.7631110752798507
5,hgb,broad_t0,chemistry,6888,0.7568880456330069
5,hgb,broad_t0,clinical_health,73802,0.77718878126597
5,hgb,broad_t0,computer_science_ai,5955,0.7464582669949565
5,hgb,broad_t0,earth_climate_environment,35527,0.7272710730661839
5,hgb,broad_t0,ecology_evolution_microbiology,4721,0.7181873506506924
5,hgb,broad_t0,engineering_energy,25831,0.7230926015492669
5,hgb,broad_t0,life_molecular,97266,0.6533675689454712
5,hgb,broad_t0,materials_nanoscience,19294,0.6372962197452802
5,hgb,broad_t0,mathematics_statistics,1964,0.6944910144285906
5,hgb,broad_t0,neuroscience,19241,0.6274129235440786
5,hgb,broad_t0,physics,18027,0.6681556997361163
8,hgb,strict,astronomy_space,7800,0.7257418957242111
8,hgb,strict,chemistry,4753,0.789997249573799
8,hgb,strict,clinical_health,49203,0.7960513380489392
8,hgb,strict,computer_science_ai,4131,0.7384733203559234
8,hgb,strict,earth_climate_environment,25121,0.7469306767219169
8,hgb,strict,ecology_evolution_microbiology,3160,0.7760338220788516
8,hgb,strict,engineering_energy,16665,0.7702764786016126
8,hgb,strict,life_molecular,68670,0.6896888014077824
8,hgb,strict,materials_nanoscience,13471,0.6694997426845161
8,hgb,strict,mathematics_statistics,1368,0.6466106644734502
8,hgb,strict,neuroscience,13411,0.6495782286113211
8,hgb,strict,physics,12880,0.7019428075103824
8,hgb,primary,astronomy_space,7800,0.7196217919442996
8,hgb,primary,chemistry,4753,0.7967767071761718
8,hgb,primary,clinical_health,49203,0.8031847704204158
8,hgb,primary,computer_science_ai,4131,0.7373822232528021
8,hgb,primary,earth_climate_environment,25121,0.7584597007790762
8,hgb,primary,ecology_evolution_microbiology,3160,0.7777695848827579
8,hgb,primary,engineering_energy,16665,0.7707649576098438
8,hgb,primary,life_molecular,68670,0.7063268344839202
8,hgb,primary,materials_nanoscience,13471,0.6713655595123141
8,hgb,primary,mathematics_statistics,1368,0.6541413327358219
8,hgb,primary,neuroscience,13411,0.6656960167447925
8,hgb,primary,physics,12880,0.6890841440152486
8,hgb,expanded,astronomy_space,7800,0.7419993715603045
8,hgb,expanded,chemistry,4753,0.7913261669863267
8,hgb,expanded,clinical_health,49203,0.8018978709414535
8,hgb,expanded,computer_science_ai,4131,0.7413193789621043
8,hgb,expanded,earth_climate_environment,25121,0.7584496581782788
8,hgb,expanded,ecology_evolution_microbiology,3160,0.7596492551881736
8,hgb,expanded,engineering_energy,16665,0.7644387738337032
8,hgb,expanded,life_molecular,68670,0.6963092708808964
8,hgb,expanded,materials_nanoscience,13471,0.6747589431517704
8,hgb,expanded,mathematics_statistics,1368,0.655971777091099
8,hgb,expanded,neuroscience,13411,0.6654507262697672
8,hgb,expanded,physics,12880,0.6966437541420575
8,hgb,broad_t0,astronomy_space,7800,0.7434544349457002
8,hgb,broad_t0,chemistry,4753,0.7926079260008896
8,hgb,broad_t0,clinical_health,49203,0.8027578866231061
8,hgb,broad_t0,computer_science_ai,4131,0.7436447169712518
8,hgb,broad_t0,earth_climate_environment,25121,0.7573374307753284
8,hgb,broad_t0,ecology_evolution_microbiology,3160,0.7597408992214271
8,hgb,broad_t0,engineering_energy,16665,0.7641618101529859
8,hgb,broad_t0,life_molecular,68670,0.6990934580410184
8,hgb,broad_t0,materials_nanoscience,13471,0.6737291448281102
8,hgb,broad_t0,mathematics_statistics,1368,0.6595836253244184
8,hgb,broad_t0,neuroscience,13411,0.6614324233331762
8,hgb,broad_t0,physics,12880,0.696271386515649
