horizon,model_family,model_id,outer_fold_id,test_year_min,test_year_max,n_oof,spearman
3,hgb,strict,1,1986,1999,42520,0.7743780945317801
3,hgb,strict,2,2000,2004,22255,0.8053090216398213
3,hgb,strict,3,2005,2009,27083,0.8325777251156705
3,hgb,strict,4,2010,2012,21088,0.8176279912300457
3,hgb,strict,5,2013,2013,10272,0.7839938987717091
3,hgb,strict,6,2014,2017,97415,0.6209518669434106
3,hgb,strict,7,2018,2020,97362,0.5905042925393391
3,hgb,strict,8,2021,2022,78305,0.6180209109881436
3,hgb,primary,1,1986,1999,42520,0.7924183687683524
3,hgb,primary,2,2000,2004,22255,0.815413886204068
3,hgb,primary,3,2005,2009,27083,0.847693860263555
3,hgb,primary,4,2010,2012,21088,0.8330415743933636
3,hgb,primary,5,2013,2013,10272,0.8010111534185229
3,hgb,primary,6,2014,2017,97415,0.6468329727752186
3,hgb,primary,7,2018,2020,97362,0.618365356208283
3,hgb,primary,8,2021,2022,78305,0.64433857641891
3,hgb,expanded,1,1986,1999,42520,0.8022412590147366
3,hgb,expanded,2,2000,2004,22255,0.8241201525221242
3,hgb,expanded,3,2005,2009,27083,0.8542146447963146
3,hgb,expanded,4,2010,2012,21088,0.8415104142602254
3,hgb,expanded,5,2013,2013,10272,0.807940324372839
3,hgb,expanded,6,2014,2017,97415,0.6312121094201817
3,hgb,expanded,7,2018,2020,97362,0.6260301474476274
3,hgb,expanded,8,2021,2022,78305,0.653457814304124
3,hgb,broad_t0,1,1986,1999,42520,0.804382297133341
3,hgb,broad_t0,2,2000,2004,22255,0.8234934396155098
3,hgb,broad_t0,3,2005,2009,27083,0.8543872967579175
3,hgb,broad_t0,4,2010,2012,21088,0.8418493406159295
3,hgb,broad_t0,5,2013,2013,10272,0.808413341100706
3,hgb,broad_t0,6,2014,2017,97415,0.6314294501529565
3,hgb,broad_t0,7,2018,2020,97362,0.6283958778448965
3,hgb,broad_t0,8,2021,2022,78305,0.6553827792603081
5,hgb,strict,1,1986,1999,42520,0.7743732132318253
5,hgb,strict,2,2000,2004,22255,0.8023206591939508
5,hgb,strict,3,2005,2009,27083,0.8306089044258829
5,hgb,strict,4,2010,2012,21088,0.8190713172024464
5,hgb,strict,5,2013,2013,10272,0.7868574788346505
5,hgb,strict,6,2014,2017,97415,0.6332333372075242
5,hgb,strict,7,2018,2020,97362,0.6061418361983553
5,hgb,primary,1,1986,1999,42520,0.791008779564277
5,hgb,primary,2,2000,2004,22255,0.8106563686990448
5,hgb,primary,3,2005,2009,27083,0.8458152013828442
5,hgb,primary,4,2010,2012,21088,0.8335296926266647
5,hgb,primary,5,2013,2013,10272,0.8025889579481106
5,hgb,primary,6,2014,2017,97415,0.6537830285993212
5,hgb,primary,7,2018,2020,97362,0.6316823340452711
5,hgb,expanded,1,1986,1999,42520,0.8020285891284781
5,hgb,expanded,2,2000,2004,22255,0.819736222755555
5,hgb,expanded,3,2005,2009,27083,0.8534721735600312
5,hgb,expanded,4,2010,2012,21088,0.8418158171086635
5,hgb,expanded,5,2013,2013,10272,0.8096753865623102
5,hgb,expanded,6,2014,2017,97415,0.6498592857532968
5,hgb,expanded,7,2018,2020,97362,0.6394728601523118
5,hgb,broad_t0,1,1986,1999,42520,0.8026633396510828
5,hgb,broad_t0,2,2000,2004,22255,0.8194650502916834
5,hgb,broad_t0,3,2005,2009,27083,0.8540299126748786
5,hgb,broad_t0,4,2010,2012,21088,0.8421003109759335
5,hgb,broad_t0,5,2013,2013,10272,0.8108264232011732
5,hgb,broad_t0,6,2014,2017,97415,0.6528702091922813
5,hgb,broad_t0,7,2018,2020,97362,0.638658878970559
8,hgb,strict,1,1986,1999,42520,0.7734912383714495
8,hgb,strict,2,2000,2004,22255,0.798864262554142
8,hgb,strict,3,2005,2009,27083,0.829183078109202
8,hgb,strict,4,2010,2012,21088,0.8159736640877492
8,hgb,strict,5,2013,2013,10272,0.7854344845145848
8,hgb,strict,6,2014,2017,97415,0.6365523403462081
8,hgb,primary,1,1986,1999,42520,0.7883020760084573
8,hgb,primary,2,2000,2004,22255,0.8141840308211172
8,hgb,primary,3,2005,2009,27083,0.8429655495984233
8,hgb,primary,4,2010,2012,21088,0.8313920544525302
8,hgb,primary,5,2013,2013,10272,0.8019326316887956
8,hgb,primary,6,2014,2017,97415,0.6541539066424595
8,hgb,expanded,1,1986,1999,42520,0.7985618348734439
8,hgb,expanded,2,2000,2004,22255,0.8173353012872144
8,hgb,expanded,3,2005,2009,27083,0.8514243819543669
8,hgb,expanded,4,2010,2012,21088,0.8384795860101646
8,hgb,expanded,5,2013,2013,10272,0.8089847640529756
8,hgb,expanded,6,2014,2017,97415,0.6600701499366446
8,hgb,broad_t0,1,1986,1999,42520,0.7999457197173021
8,hgb,broad_t0,2,2000,2004,22255,0.8170321898660757
8,hgb,broad_t0,3,2005,2009,27083,0.8524707797933565
8,hgb,broad_t0,4,2010,2012,21088,0.8393192552939471
8,hgb,broad_t0,5,2013,2013,10272,0.8105388953095252
8,hgb,broad_t0,6,2014,2017,97415,0.6599118279334184
