horizon,model_family,model_id,n_oof,spearman
3,hgb,strict,396300,0.6994743713368489
3,hgb,primary,396300,0.7184649720024937
3,hgb,expanded,396300,0.7041259339435956
3,hgb,broad_t0,396300,0.7057017888247602
5,hgb,strict,317995,0.7223676630426908
5,hgb,primary,317995,0.739569717544749
5,hgb,expanded,317995,0.7319697801560137
5,hgb,broad_t0,317995,0.7358800753357578
8,hgb,strict,220633,0.7590824362298247
8,hgb,primary,220633,0.7738144724282409
8,hgb,expanded,220633,0.7744628687567354
8,hgb,broad_t0,220633,0.7755619599686997
