horizon,set_name,feature_count,spearman,frozen_feature_count,frozen_spearman,delta_vs_frozen,v3_model_id,v3_spearman,delta_vs_v3
3,strict,7,0.697210,3,0.461959,0.235251,strict_7,0.697210,0.000000
3,primary,16,0.716019,52,0.682496,0.033523,fulltext_16,0.716019,0.000000
3,expanded,153,0.699667,58,0.682879,0.016788,source_154,0.699667,0.000000
3,broad_t0,219,0.699440,58,0.682879,0.016561,ultrarelaxed_221,0.699440,0.000000
5,strict,7,0.720492,3,0.508092,0.212400,strict_7,0.720492,0.000000
5,primary,16,0.737112,52,0.715087,0.022026,fulltext_16,0.737112,0.000000
5,expanded,153,0.729834,58,0.714804,0.015030,source_154,0.729834,0.000000
5,broad_t0,219,0.728232,58,0.714804,0.013428,ultrarelaxed_221,0.728232,0.000000
8,strict,7,0.757467,3,0.593158,0.164309,strict_7,0.757467,0.000000
8,primary,16,0.772332,52,0.763521,0.008812,fulltext_16,0.772332,0.000000
8,expanded,153,0.770773,58,0.763121,0.007652,source_154,0.770773,0.000000
8,broad_t0,219,0.771518,58,0.763121,0.008397,ultrarelaxed_221,0.771518,0.000000
