horizon,model_family,model_id,n_oof,spearman,rank,baseline_model_id,delta_vs_baseline,selection_feedback_used
3,hgb,strict,396300,0.6972098360831175,4,strict,0.0,False
3,hgb,primary,396300,0.7160191132046454,1,strict,0.018809277121527912,False
3,hgb,expanded,396300,0.6996670971538306,2,strict,0.0024572610707130904,False
3,hgb,broad_t0,396300,0.6994401930155066,3,strict,0.0022303569323891548,False
5,hgb,strict,317995,0.7204919903905557,4,strict,0.0,False
5,hgb,primary,317995,0.7371123781402815,1,strict,0.01662038774972585,False
5,hgb,expanded,317995,0.7298337431633443,2,strict,0.009341752772788592,False
5,hgb,broad_t0,317995,0.7282318971622478,3,strict,0.007739906771692118,False
8,hgb,strict,220633,0.7574668043506595,4,strict,0.0,False
8,hgb,primary,220633,0.7723323951477296,1,strict,0.01486559079707006,False
8,hgb,expanded,220633,0.7707731698264065,3,strict,0.01330636547574704,False
8,hgb,broad_t0,220633,0.771517777316653,2,strict,0.014050972965993558,False
