horizon,model_family,model_id,domain12,n_oof,spearman
3,hgb,strict,astronomy_space,10588,0.738946450465729
3,hgb,strict,chemistry,8563,0.7165634610290673
3,hgb,strict,clinical_health,96582,0.7446885422418271
3,hgb,strict,computer_science_ai,8147,0.7182672053623853
3,hgb,strict,earth_climate_environment,44054,0.6866752228676051
3,hgb,strict,ecology_evolution_microbiology,5861,0.6861785054798624
3,hgb,strict,engineering_energy,34004,0.7003470173125166
3,hgb,strict,life_molecular,116874,0.6356778697603319
3,hgb,strict,materials_nanoscience,23393,0.614064470279324
3,hgb,strict,mathematics_statistics,2922,0.6834624783140972
3,hgb,strict,neuroscience,23397,0.6077709179311205
3,hgb,strict,physics,21915,0.6574874787854821
3,hgb,primary,astronomy_space,10588,0.7404338222513461
3,hgb,primary,chemistry,8563,0.7342874806619444
3,hgb,primary,clinical_health,96582,0.7557762042813824
3,hgb,primary,computer_science_ai,8147,0.7162393961658975
3,hgb,primary,earth_climate_environment,44054,0.7073786312699787
3,hgb,primary,ecology_evolution_microbiology,5861,0.7045372599840614
3,hgb,primary,engineering_energy,34004,0.7100247826204009
3,hgb,primary,life_molecular,116874,0.6550703152644393
3,hgb,primary,materials_nanoscience,23393,0.6326751051377983
3,hgb,primary,mathematics_statistics,2922,0.6806073807766231
3,hgb,primary,neuroscience,23397,0.6335852386266203
3,hgb,primary,physics,21915,0.6559111105599137
3,hgb,expanded,astronomy_space,10588,0.75599009858007
3,hgb,expanded,chemistry,8563,0.7176686573873186
3,hgb,expanded,clinical_health,96582,0.7416091860586199
3,hgb,expanded,computer_science_ai,8147,0.7126983047302293
3,hgb,expanded,earth_climate_environment,44054,0.6954730334489153
3,hgb,expanded,ecology_evolution_microbiology,5861,0.6737680441585082
3,hgb,expanded,engineering_energy,34004,0.6914969601146328
3,hgb,expanded,life_molecular,116874,0.6208494292826263
3,hgb,expanded,materials_nanoscience,23393,0.6001896085799168
3,hgb,expanded,mathematics_statistics,2922,0.6805015183323179
3,hgb,expanded,neuroscience,23397,0.6043434955497162
3,hgb,expanded,physics,21915,0.6424760162287055
3,hgb,broad_t0,astronomy_space,10588,0.7590260176767945
3,hgb,broad_t0,chemistry,8563,0.7148685268557267
3,hgb,broad_t0,clinical_health,96582,0.7425203109573755
3,hgb,broad_t0,computer_science_ai,8147,0.7112850177447061
3,hgb,broad_t0,earth_climate_environment,44054,0.6939129858646548
3,hgb,broad_t0,ecology_evolution_microbiology,5861,0.6740153149343168
3,hgb,broad_t0,engineering_energy,34004,0.6884195740379225
3,hgb,broad_t0,life_molecular,116874,0.6209937132312647
3,hgb,broad_t0,materials_nanoscience,23393,0.5962720682596263
3,hgb,broad_t0,mathematics_statistics,2922,0.6839332396061646
3,hgb,broad_t0,neuroscience,23397,0.5987640743595087
3,hgb,broad_t0,physics,21915,0.6364944419117596
5,hgb,strict,astronomy_space,9479,0.7357930967309778
5,hgb,strict,chemistry,6888,0.7464796161419304
5,hgb,strict,clinical_health,73802,0.7740211764871463
5,hgb,strict,computer_science_ai,5955,0.7410226872757011
5,hgb,strict,earth_climate_environment,35527,0.7134426785421544
5,hgb,strict,ecology_evolution_microbiology,4721,0.7263814390312744
5,hgb,strict,engineering_energy,25831,0.7261830261393808
5,hgb,strict,life_molecular,97266,0.6504872727452772
5,hgb,strict,materials_nanoscience,19294,0.635320516943544
5,hgb,strict,mathematics_statistics,1964,0.6877334306425102
5,hgb,strict,neuroscience,19241,0.6181841019656852
5,hgb,strict,physics,18027,0.6778205178420608
5,hgb,primary,astronomy_space,9479,0.7339437278048138
5,hgb,primary,chemistry,6888,0.759940522402704
5,hgb,primary,clinical_health,73802,0.7819019809083175
5,hgb,primary,computer_science_ai,5955,0.7362579487674193
5,hgb,primary,earth_climate_environment,35527,0.7284958387911419
5,hgb,primary,ecology_evolution_microbiology,4721,0.7369891809883545
5,hgb,primary,engineering_energy,25831,0.7305329881488577
5,hgb,primary,life_molecular,97266,0.6674999687587698
5,hgb,primary,materials_nanoscience,19294,0.6454249013039709
5,hgb,primary,mathematics_statistics,1964,0.6845177951133276
5,hgb,primary,neuroscience,19241,0.641920697323513
5,hgb,primary,physics,18027,0.6689318425089382
5,hgb,expanded,astronomy_space,9479,0.7513357243226262
5,hgb,expanded,chemistry,6888,0.7533709188851866
5,hgb,expanded,clinical_health,73802,0.773493611018306
5,hgb,expanded,computer_science_ai,5955,0.7399923611124596
5,hgb,expanded,earth_climate_environment,35527,0.7206926959005892
5,hgb,expanded,ecology_evolution_microbiology,4721,0.7113936989477282
5,hgb,expanded,engineering_energy,25831,0.7211433240962565
5,hgb,expanded,life_molecular,97266,0.6460176126559501
5,hgb,expanded,materials_nanoscience,19294,0.6277666123458402
5,hgb,expanded,mathematics_statistics,1964,0.6871830148629938
5,hgb,expanded,neuroscience,19241,0.6232431756172351
5,hgb,expanded,physics,18027,0.6639121362035275
5,hgb,broad_t0,astronomy_space,9479,0.7545780245224587
5,hgb,broad_t0,chemistry,6888,0.7505504205995704
5,hgb,broad_t0,clinical_health,73802,0.7724660720882083
5,hgb,broad_t0,computer_science_ai,5955,0.7407109403426463
5,hgb,broad_t0,earth_climate_environment,35527,0.7188197251978792
5,hgb,broad_t0,ecology_evolution_microbiology,4721,0.7094194439326451
5,hgb,broad_t0,engineering_energy,25831,0.7177603721209196
5,hgb,broad_t0,life_molecular,97266,0.6412411038915105
5,hgb,broad_t0,materials_nanoscience,19294,0.6250519154246907
5,hgb,broad_t0,mathematics_statistics,1964,0.6899937495934181
5,hgb,broad_t0,neuroscience,19241,0.6171070896158855
5,hgb,broad_t0,physics,18027,0.6585799159580006
8,hgb,strict,astronomy_space,7800,0.7259224312980267
8,hgb,strict,chemistry,4753,0.7862855589704961
8,hgb,strict,clinical_health,49203,0.7951098163317168
8,hgb,strict,computer_science_ai,4131,0.7362719803275384
8,hgb,strict,earth_climate_environment,25121,0.7467571625745798
8,hgb,strict,ecology_evolution_microbiology,3160,0.7762606420334242
8,hgb,strict,engineering_energy,16665,0.7703289948625252
8,hgb,strict,life_molecular,68670,0.688458648447611
8,hgb,strict,materials_nanoscience,13471,0.6699956650651525
8,hgb,strict,mathematics_statistics,1368,0.6441592372009428
8,hgb,strict,neuroscience,13411,0.6486827472871358
8,hgb,strict,physics,12880,0.7020057877781192
8,hgb,primary,astronomy_space,7800,0.7186661894063223
8,hgb,primary,chemistry,4753,0.7945881654759732
8,hgb,primary,clinical_health,49203,0.802622662921375
8,hgb,primary,computer_science_ai,4131,0.7345118663707356
8,hgb,primary,earth_climate_environment,25121,0.7564886045604254
8,hgb,primary,ecology_evolution_microbiology,3160,0.7760343294298756
8,hgb,primary,engineering_energy,16665,0.7691310972080682
8,hgb,primary,life_molecular,68670,0.7063112405856292
8,hgb,primary,materials_nanoscience,13471,0.6741981562064503
8,hgb,primary,mathematics_statistics,1368,0.6526154154397968
8,hgb,primary,neuroscience,13411,0.6651921133970756
8,hgb,primary,physics,12880,0.6907347490199055
8,hgb,expanded,astronomy_space,7800,0.7336573316621183
8,hgb,expanded,chemistry,4753,0.7920644757222183
8,hgb,expanded,clinical_health,49203,0.7994256985261774
8,hgb,expanded,computer_science_ai,4131,0.7367438313756776
8,hgb,expanded,earth_climate_environment,25121,0.7530870864642224
8,hgb,expanded,ecology_evolution_microbiology,3160,0.7535779482634348
8,hgb,expanded,engineering_energy,16665,0.7621819118405769
8,hgb,expanded,life_molecular,68670,0.6929398614686747
8,hgb,expanded,materials_nanoscience,13471,0.6658419718471659
8,hgb,expanded,mathematics_statistics,1368,0.6591880096528423
8,hgb,expanded,neuroscience,13411,0.6589554892095233
8,hgb,expanded,physics,12880,0.6946048433631883
8,hgb,broad_t0,astronomy_space,7800,0.7387403608936479
8,hgb,broad_t0,chemistry,4753,0.7902612848729428
8,hgb,broad_t0,clinical_health,49203,0.8006387405820786
8,hgb,broad_t0,computer_science_ai,4131,0.7389818588576896
8,hgb,broad_t0,earth_climate_environment,25121,0.7527778920263746
8,hgb,broad_t0,ecology_evolution_microbiology,3160,0.7555109626390061
8,hgb,broad_t0,engineering_energy,16665,0.7603891841709747
8,hgb,broad_t0,life_molecular,68670,0.6948012168188801
8,hgb,broad_t0,materials_nanoscience,13471,0.6635482397664322
8,hgb,broad_t0,mathematics_statistics,1368,0.6604031988032829
8,hgb,broad_t0,neuroscience,13411,0.6519173143739497
8,hgb,broad_t0,physics,12880,0.6933637398996889
