horizon,model_family,model_id,outer_fold_id,test_year_min,test_year_max,n_oof,spearman
3,hgb,strict,1,1986,1999,42520,0.7751268062267224
3,hgb,strict,2,2000,2004,22255,0.8041357310455289
3,hgb,strict,3,2005,2009,27083,0.8310048609581867
3,hgb,strict,4,2010,2012,21088,0.816826787180193
3,hgb,strict,5,2013,2013,10272,0.7839914637316863
3,hgb,strict,6,2014,2017,97415,0.6198843867515985
3,hgb,strict,7,2018,2020,97362,0.5880741364525539
3,hgb,strict,8,2021,2022,78305,0.6142146509969582
3,hgb,primary,1,1986,1999,42520,0.7932135347547365
3,hgb,primary,2,2000,2004,22255,0.8141224961074177
3,hgb,primary,3,2005,2009,27083,0.8470136183571203
3,hgb,primary,4,2010,2012,21088,0.8312381627472185
3,hgb,primary,5,2013,2013,10272,0.799135066280563
3,hgb,primary,6,2014,2017,97415,0.6459370010893312
3,hgb,primary,7,2018,2020,97362,0.6146176418746279
3,hgb,primary,8,2021,2022,78305,0.6393513551746629
3,hgb,expanded,1,1986,1999,42520,0.8016527724285757
3,hgb,expanded,2,2000,2004,22255,0.8214027648558109
3,hgb,expanded,3,2005,2009,27083,0.8517057538801136
3,hgb,expanded,4,2010,2012,21088,0.8382676508036595
3,hgb,expanded,5,2013,2013,10272,0.803925457129095
3,hgb,expanded,6,2014,2017,97415,0.6328873052732955
3,hgb,expanded,7,2018,2020,97362,0.6155330579031606
3,hgb,expanded,8,2021,2022,78305,0.6460161869083973
3,hgb,broad_t0,1,1986,1999,42520,0.8029997662963917
3,hgb,broad_t0,2,2000,2004,22255,0.8198524151950196
3,hgb,broad_t0,3,2005,2009,27083,0.8524456353175176
3,hgb,broad_t0,4,2010,2012,21088,0.8387217997403174
3,hgb,broad_t0,5,2013,2013,10272,0.8032209973087485
3,hgb,broad_t0,6,2014,2017,97415,0.6296304088497241
3,hgb,broad_t0,7,2018,2020,97362,0.6148190884721996
3,hgb,broad_t0,8,2021,2022,78305,0.6466392472937176
5,hgb,strict,1,1986,1999,42520,0.7750659023067573
5,hgb,strict,2,2000,2004,22255,0.80158358355387
5,hgb,strict,3,2005,2009,27083,0.8298764792131468
5,hgb,strict,4,2010,2012,21088,0.8181811352844512
5,hgb,strict,5,2013,2013,10272,0.7864360155480279
5,hgb,strict,6,2014,2017,97415,0.6308831030846498
5,hgb,strict,7,2018,2020,97362,0.6050700516468384
5,hgb,primary,1,1986,1999,42520,0.7920639863524485
5,hgb,primary,2,2000,2004,22255,0.810491466990222
5,hgb,primary,3,2005,2009,27083,0.8442630917941385
5,hgb,primary,4,2010,2012,21088,0.8323134253135734
5,hgb,primary,5,2013,2013,10272,0.8004556422423922
5,hgb,primary,6,2014,2017,97415,0.6542747278607515
5,hgb,primary,7,2018,2020,97362,0.6280191213361807
5,hgb,expanded,1,1986,1999,42520,0.8012818028657236
5,hgb,expanded,2,2000,2004,22255,0.8174683064870363
5,hgb,expanded,3,2005,2009,27083,0.8511705862608586
5,hgb,expanded,4,2010,2012,21088,0.8383169696310995
5,hgb,expanded,5,2013,2013,10272,0.8042380720644418
5,hgb,expanded,6,2014,2017,97415,0.6492038712910572
5,hgb,expanded,7,2018,2020,97362,0.6247971104201657
5,hgb,broad_t0,1,1986,1999,42520,0.8034233714373502
5,hgb,broad_t0,2,2000,2004,22255,0.8165230081639867
5,hgb,broad_t0,3,2005,2009,27083,0.851395292044246
5,hgb,broad_t0,4,2010,2012,21088,0.8388447675699618
5,hgb,broad_t0,5,2013,2013,10272,0.8056537392987394
5,hgb,broad_t0,6,2014,2017,97415,0.6452354672292665
5,hgb,broad_t0,7,2018,2020,97362,0.623336214202404
8,hgb,strict,1,1986,1999,42520,0.7738932336333456
8,hgb,strict,2,2000,2004,22255,0.7978738070834757
8,hgb,strict,3,2005,2009,27083,0.827710328379745
8,hgb,strict,4,2010,2012,21088,0.8140511381354975
8,hgb,strict,5,2013,2013,10272,0.784439216131776
8,hgb,strict,6,2014,2017,97415,0.6348285433644031
8,hgb,primary,1,1986,1999,42520,0.7889722559423452
8,hgb,primary,2,2000,2004,22255,0.8071305105064047
8,hgb,primary,3,2005,2009,27083,0.8419680957300109
8,hgb,primary,4,2010,2012,21088,0.8291662106658645
8,hgb,primary,5,2013,2013,10272,0.7989717714469017
8,hgb,primary,6,2014,2017,97415,0.6567664431423028
8,hgb,expanded,1,1986,1999,42520,0.7988254499004476
8,hgb,expanded,2,2000,2004,22255,0.8137336955631331
8,hgb,expanded,3,2005,2009,27083,0.8493768967682889
8,hgb,expanded,4,2010,2012,21088,0.8353143607217
8,hgb,expanded,5,2013,2013,10272,0.8032067066905958
8,hgb,expanded,6,2014,2017,97415,0.6562680408008446
8,hgb,broad_t0,1,1986,1999,42520,0.8004451604400328
8,hgb,broad_t0,2,2000,2004,22255,0.8131782331402213
8,hgb,broad_t0,3,2005,2009,27083,0.850253925306524
8,hgb,broad_t0,4,2010,2012,21088,0.836052660804562
8,hgb,broad_t0,5,2013,2013,10272,0.8048534711564759
8,hgb,broad_t0,6,2014,2017,97415,0.6557791600269979
