horizon,model_family,model_id,n_oof,spearman
3,hgb,strict,396300,0.6972098360831175
3,hgb,primary,396300,0.7160191132046454
3,hgb,expanded,396300,0.6996670971538306
3,hgb,broad_t0,396300,0.6994401930155066
5,hgb,strict,317995,0.7204919903905557
5,hgb,primary,317995,0.7371123781402815
5,hgb,expanded,317995,0.7298337431633443
5,hgb,broad_t0,317995,0.7282318971622478
8,hgb,strict,220633,0.7574668043506595
8,hgb,primary,220633,0.7723323951477296
8,hgb,expanded,220633,0.7707731698264065
8,hgb,broad_t0,220633,0.771517777316653
