feature_id,canonical_name_en,scope_role,maximum_information_time,formula_text,article_level,publication_time_computable,uses_future_information,english_fulltext_verified,dimension_id,dimension_mapping_provenance,recovery_provenance
EF0001,Abstract-availability predictor,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD001,session_exact_broad_t0,codex_session_log_structured_output
EF0002,Abstract information entropy,t0_substantive,T0,H(X) = -Σ_j p_j log2(p_j).,1,1,0,0,CD002,session_exact_broad_t0,codex_session_log_structured_output
EF0003,Abstract language availability,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD054,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0004,Abstract length,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD002,session_exact_broad_t0,codex_session_log_structured_output
EF0005,Abstract length and complexity,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD002,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0006,Abstract readability measure,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD001,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0007,Abstract reporting completeness,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD001,session_exact_broad_t0,codex_session_log_structured_output
EF0008,Abstract rhetorical-move structure,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD003,session_exact_broad_t0,codex_session_log_structured_output
EF0009,Abstract rhetorical moves,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD003,session_exact_broad_t0,codex_session_log_structured_output
EF0010,Abstract structure,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD005,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0011,Abstract stylistic features,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD001,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0012,Abstract text content,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD001,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0013,Abstract word-limit policy,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD002,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0014,Academic program/institution,context_control,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD006,session_exact_broad_t0,codex_session_log_structured_output
EF0015,Access-status control,context_control,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD041,session_exact_broad_t0,codex_session_log_structured_output
EF0016,Accessible scientific writing,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD053,session_exact_broad_t0,codex_session_log_structured_output
EF0017,Additive entropy diversity index,direct_innovation,T0,dive = H_variety + H_balance - I_disparity,1,1,0,1,CD029,session_exact_broad_t0,codex_session_log_structured_output
EF0018,Advisor commitment and communication,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD002,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0019,Affiliated-country size,context_control,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD006,session_exact_broad_t0,codex_session_log_structured_output
EF0020,AMSTAR 2 assessment,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD056,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0021,Analytic feature selection,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD056,session_exact_broad_t0,codex_session_log_structured_output
EF0022,Anecdotal-only evaluation practice,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD021,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0023,Animal age and sex reporting,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD047,session_exact_broad_t0,codex_session_log_structured_output
EF0024,Article annotation content,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD026,session_exact_broad_t0,codex_session_log_structured_output
EF0025,Article length,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD005,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0026,Article-production-quality predictor,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD005,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0027,Article publishing charge,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD004,session_exact_broad_t0,codex_session_log_structured_output
EF0028,Article structural-element counts,t0_substantive,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD005,session_exact_broad_t0,codex_session_log_structured_output
EF0029,Article structure,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD005,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0030,Article-title features,t0_substantive,unverified_without_fulltext,Not available without verified full text.,1,0,0,0,CD005,deterministic_reconstruction_excluded_from_broad_t0,codex_session_log_structured_output
EF0031,Article topic,context_control,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD063,session_exact_broad_t0,codex_session_log_structured_output
EF0032,Author academic qualification,t0_opportunity,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD007,session_exact_broad_t0,codex_session_log_structured_output
EF0033,Author-affiliation country diversity,context_control,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD006,session_exact_broad_t0,codex_session_log_structured_output
EF0034,Author affiliation geography/institution,context_control,T0,Not explicitly reported for this mention in the verified evidence.,1,1,0,0,CD006,session_exact_broad_t0,codex_session_log_structured_output
