provider,query_id,query,rank,work_id,doi,title,year,work_type,url
Crossref,Q01,"""scientific novelty"" measurement indicator paper",1,10.1007/s11192-024-05150-9,10.1007/s11192-024-05150-9,An integrated indicator for evaluating scientific papers: considering academic impact and novelty,2024,journal-article,https://doi.org/10.1007/s11192-024-05150-9
Crossref,Q01,"""scientific novelty"" measurement indicator paper",2,10.2139/ssrn.5535740,10.2139/ssrn.5535740,Scientific Paper Uniqueness Ranking (SPUR): A Multi-Dimensional Framework for Empirical Assessment of Research Novelty and Societal Impact,2025,posted-content,https://doi.org/10.2139/ssrn.5535740
Crossref,Q01,"""scientific novelty"" measurement indicator paper",3,10.1007/s11192-021-04049-z,10.1007/s11192-021-04049-z,Introducing a novelty indicator for scientific research: validating the knowledge-based combinatorial approach,2021,journal-article,https://doi.org/10.1007/s11192-021-04049-z
Crossref,Q01,"""scientific novelty"" measurement indicator paper",4,10.1111/ejn.70162/v2/review1,10.1111/ejn.70162/v2/review1,"Review for ""Rearing Behavior as Indicator of Spatial Novelty and Memory in Developing Rats""",2025,peer-review,https://doi.org/10.1111/ejn.70162/v2/review1
Crossref,Q01,"""scientific novelty"" measurement indicator paper",5,10.1111/ejn.70162/v1/review2,10.1111/ejn.70162/v1/review2,"Review for ""Rearing Behavior as Indicator of Spatial Novelty and Memory in Developing Rats""",2024,peer-review,https://doi.org/10.1111/ejn.70162/v1/review2
Crossref,Q01,"""scientific novelty"" measurement indicator paper",6,10.1111/ejn.70162/v1/review1,10.1111/ejn.70162/v1/review1,"Review for ""Rearing Behavior as Indicator of Spatial Novelty and Memory in Developing Rats""",2024,peer-review,https://doi.org/10.1111/ejn.70162/v1/review1
Crossref,Q01,"""scientific novelty"" measurement indicator paper",7,10.4135/9781446268230.n16,10.4135/9781446268230.n16,"Towards a More Rigorous Scientific Approach to Social Measurement:
                    Considering a Grounded Indicator Approach to Developing Measurement Tools",2010,book-chapter,https://doi.org/10.4135/9781446268230.n16
Crossref,Q01,"""scientific novelty"" measurement indicator paper",8,10.1111/ejn.70162/v2/review2,10.1111/ejn.70162/v2/review2,"Review for ""Rearing Behavior as Indicator of Spatial Novelty and Memory in Developing Rats""",2025,peer-review,https://doi.org/10.1111/ejn.70162/v2/review2
Crossref,Q01,"""scientific novelty"" measurement indicator paper",9,10.1111/ejn.70162/v1/decision1,10.1111/ejn.70162/v1/decision1,"Decision letter for ""Rearing Behavior as Indicator of Spatial Novelty and Memory in Developing Rats""",2025,peer-review,https://doi.org/10.1111/ejn.70162/v1/decision1
Crossref,Q01,"""scientific novelty"" measurement indicator paper",10,10.1111/ejn.70162/v1/review3,10.1111/ejn.70162/v1/review3,"Review for ""Rearing Behavior as Indicator of Spatial Novelty and Memory in Developing Rats""",2025,peer-review,https://doi.org/10.1111/ejn.70162/v1/review3
Crossref,Q01,"""scientific novelty"" measurement indicator paper",11,10.1111/ejn.70162/v2/decision1,10.1111/ejn.70162/v2/decision1,"Decision letter for ""Rearing Behavior as Indicator of Spatial Novelty and Memory in Developing Rats""",2025,peer-review,https://doi.org/10.1111/ejn.70162/v2/decision1
Crossref,Q01,"""scientific novelty"" measurement indicator paper",12,10.1111/ejn.70162/v3/decision1,10.1111/ejn.70162/v3/decision1,"Decision letter for ""Rearing Behavior as Indicator of Spatial Novelty and Memory in Developing Rats""",2025,peer-review,https://doi.org/10.1111/ejn.70162/v3/decision1
Crossref,Q01,"""scientific novelty"" measurement indicator paper",13,10.1088/0950-7671/44/1/309,10.1088/0950-7671/44/1/309,The carbon paper pressure indicator,1967,journal-article,https://doi.org/10.1088/0950-7671/44/1/309
Crossref,Q01,"""scientific novelty"" measurement indicator paper",14,10.5194/hess-2016-230-sc2,10.5194/hess-2016-230-sc2,"scientific novelty, aims and scope",2016,peer-review,https://doi.org/10.5194/hess-2016-230-sc2
Crossref,Q01,"""scientific novelty"" measurement indicator paper",15,10.1038/d41586-025-01882-7,10.1038/d41586-025-01882-7,Could a novelty indicator improve science?,2025,journal-article,https://doi.org/10.1038/d41586-025-01882-7
Crossref,Q01,"""scientific novelty"" measurement indicator paper",16,10.1001/jama.1959.03010100019007,10.1001/jama.1959.03010100019007,MEASUREMENT OF FREE ACID IN GASTRIC JUICE BY MEANS OF INDICATOR PAPER,1959,journal-article,https://doi.org/10.1001/jama.1959.03010100019007
Crossref,Q01,"""scientific novelty"" measurement indicator paper",17,10.5194/amt-2019-394-rc2,10.5194/amt-2019-394-rc2,pH of aerosols using pH indicator paper,2020,peer-review,https://doi.org/10.5194/amt-2019-394-rc2
Crossref,Q01,"""scientific novelty"" measurement indicator paper",18,10.1016/j.joi.2022.101282,10.1016/j.joi.2022.101282,Combination of research questions and methods: A new measurement of scientific novelty,2022,journal-article,https://doi.org/10.1016/j.joi.2022.101282
Crossref,Q01,"""scientific novelty"" measurement indicator paper",19,10.17265/1537-1514/2013.03.010,10.17265/1537-1514/2013.03.010,Developing the New Qualitative Measurement Indicator and its Application in Scientific Papers,2013,journal-article,https://doi.org/10.17265/1537-1514/2013.03.010
Crossref,Q01,"""scientific novelty"" measurement indicator paper",20,10.1037/e516202012-023,10.1037/e516202012-023,Habituation to novelty as indicator for anxiety phenotype in inbred mice,2008,dataset,https://doi.org/10.1037/e516202012-023
Crossref,Q01,"""scientific novelty"" measurement indicator paper",21,10.1037/e627282012-033,10.1037/e627282012-033,Measurement and significance of reactions to novelty,1960,dataset,https://doi.org/10.1037/e627282012-033
Crossref,Q01,"""scientific novelty"" measurement indicator paper",22,10.1111/ejn.70162/v3/response1,10.1111/ejn.70162/v3/response1,"Author response for ""Rearing Behavior as Indicator of Spatial Novelty and Memory in Developing Rats""",2025,peer-review,https://doi.org/10.1111/ejn.70162/v3/response1
Crossref,Q01,"""scientific novelty"" measurement indicator paper",23,10.1111/ejn.70162/v2/response1,10.1111/ejn.70162/v2/response1,"Author response for ""Rearing Behavior as Indicator of Spatial Novelty and Memory in Developing Rats""",2025,peer-review,https://doi.org/10.1111/ejn.70162/v2/response1
Crossref,Q01,"""scientific novelty"" measurement indicator paper",24,10.1088/0950-7671/23/11/304,10.1088/0950-7671/23/11/304,The Electrical Measurement of Pressures and Indicator Diagrams,1946,journal-article,https://doi.org/10.1088/0950-7671/23/11/304
Crossref,Q01,"""scientific novelty"" measurement indicator paper",25,10.1016/j.wpi.2024.102283,10.1016/j.wpi.2024.102283,Modeling an indicator for statutory patent novelty,2024,journal-article,https://doi.org/10.1016/j.wpi.2024.102283
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",1,https://openalex.org/W4406854761,10.1007/s11192-025-05234-0,A review on the novelty measurements of academic papers,2025,article,https://doi.org/10.1007/s11192-025-05234-0
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",2,https://openalex.org/W4412609675,10.51408/issi2025_085,Scientific Travelers Associated with Less Disruption but Better Scientific Novelty,2025,conference-paper,https://doi.org/10.51408/issi2025_085
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",3,https://openalex.org/W4406887063,10.1162/rest_a_01561,Beyond Citations: Measuring Novel Scientific Ideas and their Impact in Publication Text,2025,article,https://doi.org/10.1162/rest_a_01561
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",4,https://openalex.org/W4293153363,10.55056/etq.56,From the experience of organizing artistic and productive activities of older preschool children by means of distance education in the conditions of quarantine measures for the spread of COVID-19,2021,article,https://doi.org/10.55056/etq.56
OpenAlex,Q01,"""scientific novelty"" measurement indicator paper",5,https://openalex.org/W4394642757,10.48550/arxiv.2404.04259,The prominent and heterogeneous gender disparities in scientific novelty: evidence from biomedical doctoral theses,2024,preprint,http://arxiv.org/abs/2404.04259
