source_community,target_community,weight,n_edges
2,6,443.63968573288986,136
2,0,543.9372174245069,138
2,1,785.2571419425805,201
2,4,2468.5166524628917,713
2,5,2924.707076240718,814
2,7,6246.396723612632,1747
2,3,8415.032563351284,2356
4,6,4908.6660661376045,1420
4,0,1482.5136719961226,331
4,1,3649.5298164633514,811
4,7,6889.5071463962,1923
4,3,5793.865520225802,1659
4,5,3642.8557792227152,1040
5,6,676.3905506162184,195
5,0,492.12119918918876,123
5,1,1430.5050760910026,350
5,3,581.0480003165229,176
5,7,2939.5935375442464,851
7,6,1653.9246541975594,484
7,1,1582.4610548150094,382
7,0,934.0430463420608,223
7,3,1183.3223799013736,360
6,3,1645.8061576249197,491
6,0,1007.5788929271786,218
6,1,888.9764214756872,232
1,3,1663.8857695508204,398
1,0,129.9103808331675,36
3,0,1373.645835443395,324
