id,short_id,doi,title,year,cited_by_count,primary_topic,community,community_label,display_community,display_label,anchor_label,anchor_citer,reference_stub
https://openalex.org/W2152997106,W2152997106,10.1093/genetics/155.3.1045,Functional Interaction of CCR4-NOT Proteins With TATAA-Binding Protein (TBP) and Its Associated Factors in Yeast,2000,84,Genomics and Chromatin Dynamics,1,Yccr4 / Factors,,,,0,0
https://openalex.org/W2009509178,W2009509178,10.1016/s0166-6851(99)00219-4,Targeting of proteins to the nuclei of Giardia lamblia,2000,23,Parasitic Infections and Diagnostics,7,Giardia / Lamblia,,,,0,0
https://openalex.org/W2148964223,W2148964223,10.1128/jvi.74.22.10341-10348.2000,Generation of Subgenomic RNA Directed by a Satellite RNA Associated with Bamboo Mosaic Potexvirus: Analyses of Potexvirus Subgenomic RNA Promoter,2000,16,Plant Virus Research Studies,131,Rna / Subgenomic,,,,0,0
https://openalex.org/W2117324669,W2117324669,10.1017/s1355838200000066,Sequence bias in edited kinetoplastid RNAs,2000,15,Trypanosoma species research and implications,9,Sequence / Rna,,,,0,0
https://openalex.org/W2167662103,W2167662103,10.1136/pmj.76.900.625,Association of anticardiolipin antibodies with vascular injury: possible mechanisms,2000,12,Atherosclerosis and Cardiovascular Diseases,11,Antibodies / Anticardiolipin,,,,0,0
https://openalex.org/W2623027757,W2623027757,10.1016/s1240-1307(00)88831-7,Untitled,2000,0,CRISPR and Genetic Engineering,22,Rna / Splicing Muscle,,,,0,0
https://openalex.org/W32271547,W32271547,10.1021/acssynbio.9b00489,"スポーツウェア用編地の放熱特性, および肌離れ性に関する研究 : 第2報:運動時の体温変化に及ぼす影響",2000,0,CRISPR and Genetic Engineering,24,Genetics Biotechnology / Genetics,,,,0,0
https://openalex.org/W2750560953,W2750560953,10.1016/s1240-1307(00)88829-9,Untitled,2000,0,CRISPR and Genetic Engineering,31,Untitled / Techniques Single-Cell,,,,0,0
https://openalex.org/W4231113323,W4231113323,10.1016/s1240-1307(00)80034-5,Untitled,2000,0,CRISPR and Genetic Engineering,33,Indel / Synthesis Mechanisms,,,,0,0
https://openalex.org/W1522601459,W1522601459,10.1186/1471-2164-2-9,"Identification of four families of yCCR4- and Mg2+-dependent endonuclease-related proteins in higher eukaryotes, and characterization of orthologs of yCCR4 with a conserved leucine-rich repeat essential for hCAF1/hPOP2 binding",2001,129,RNA Research and Splicing,1,Yccr4 / Factors,,,,0,0
https://openalex.org/W2141108207,W2141108207,10.1017/s1355838201018076,Guide RNAs of the recently isolated LEM125 strain of Leishmania tarentolae: An unexpected complexity,2001,29,Trypanosoma species research and implications,48,Rna / Leishmania,,,,0,0
https://openalex.org/W2069041269,W2069041269,10.1016/s0166-6851(01)00302-4,Negative selection of herpes simplex virus thymidine kinase in Toxoplasma gondii,2001,20,Toxoplasma gondii Research Studies,8,Toxoplasma / Toxoplasma Gondii,,,,0,0
https://openalex.org/W2028877521,W2028877521,10.1006/expr.2000.4577,Isolation and Characterization of a Cold-Sensitive Attachment/Invasion Mutant of Toxoplasma gondii,2001,9,Toxoplasma gondii Research Studies,12,Toxoplasma / Toxoplasma Gondii,,,,0,0
https://openalex.org/W1988210449,W1988210449,10.1146/annurev.bb.30.010101.100001,Preface by Robert M. Stroud,2001,1,CRISPR and Genetic Engineering,16,Stroud / Robert Stroud,,,,0,0
https://openalex.org/W1986002383,W1986002383,10.1016/s0531-5131(01)00398-3,Accumulation of segment 6 sgRNAs of influenza A viruses in the presence of neuraminidase inhibitors,2001,1,Influenza Virus Research Studies,19,Influenza / Neuraminidase,,,,0,0
https://openalex.org/W32467995,W32467995,10.3892/ijmm.2020.4609,キルケゴールvs.ヘーゲル--アブラハムを巡って,2001,0,CRISPR and Genetic Engineering,21,Neurodegenerative Diseases / Neur…,,,,0,0
https://openalex.org/W1979391469,W1979391469,10.1016/s1352-0237(01)00317-3,Review of UNDP booklets,2001,0,CRISPR and Genetic Engineering,25,Undp / Undp Booklets,,,,0,0
https://openalex.org/W34811503,W34811503,10.1038/s41416-021-01594-5,28aA35P 球形慣性静電核融合プラズマにおけるポテンシャル構造と中性子発生率(トカマク/炉設計・炉システム/新概念),2001,0,Glioma Diagnosis and Treatment,38,Treatment Cancer / Treatment,,,,0,0
