source_community,target_community,weight,n_edges
5,3,2460.7869296806816,969
5,7,333.77769565081826,130
5,4,700.0758382504723,261
5,6,59.067477200242074,20
5,2,94.66070551627831,41
5,0,12.788550469515918,5
5,1,6.332204510175204,3
3,4,10305.390968925489,3859
3,7,8614.08540145834,3087
3,2,487.61585859786305,201
3,0,161.64617965424316,66
3,1,136.31903728769015,49
3,6,222.50053860016092,83
7,4,6711.632651628538,2559
7,2,1516.1896735253986,573
7,0,132.79037155123615,64
7,1,219.13019566118285,79
7,6,198.83376629253019,81
2,0,1491.424067233196,422
2,1,3998.3837197955013,1400
2,4,249.62553398534965,112
2,6,4960.685264705046,1793
6,4,1957.0125791090106,755
6,1,1059.595449663569,411
6,0,1501.8645590348183,446
4,0,332.0504310320376,132
4,1,41.27180563936213,15
1,0,1968.9048113078802,646
