parameter,label,window_index,window,standardized_value
RTD,RTD (reference target diversity),1,1995-1999,-1.5442867530187872
RTD,RTD (reference target diversity),2,2000-2004,-0.7665868568871305
RTD,RTD (reference target diversity),3,2005-2009,0.8499357797107707
RTD,RTD (reference target diversity),4,2010-2014,1.0754055134880556
RTD,RTD (reference target diversity),5,2015-2019,0.3855323167070923
BurtIP,Burt IP (structural holes),1,1995-1999,-1.56792206989178
BurtIP,Burt IP (structural holes),2,2000-2004,-0.7791902090964645
BurtIP,Burt IP (structural holes),3,2005-2009,0.715943978177673
BurtIP,Burt IP (structural holes),4,2010-2014,1.029537659515313
BurtIP,Burt IP (structural holes),5,2015-2019,0.6016306412952579
B,$B$ (bridge centrality),1,1995-1999,-1.570463472075045
B,$B$ (bridge centrality),2,2000-2004,-0.7821557557036876
B,$B$ (bridge centrality),3,2005-2009,0.6706570336578247
B,$B$ (bridge centrality),4,2010-2014,1.0106831722935885
B,$B$ (bridge centrality),5,2015-2019,0.6712790218273202
DeltaQ,$\Delta Q$ directionality,1,1995-1999,0.0
DeltaQ,$\Delta Q$ directionality,2,2000-2004,2.479702451599148
DeltaQ,$\Delta Q$ directionality,3,2005-2009,1.0394185322197387
DeltaQ,$\Delta Q$ directionality,4,2010-2014,-0.3761018172810787
DeltaQ,$\Delta Q$ directionality,5,2015-2019,0.43419636875994033
