source_community,target_community,weight,n_edges
6,5,266.93125238896147,113
6,3,3643.2078433996007,1345
6,0,500.2241949258888,170
6,7,2725.6879032782076,1007
6,2,765.9528593245534,213
6,1,544.6504653546165,170
6,4,2233.6894768309908,868
4,5,123.5862401366303,54
4,3,2549.895433667805,907
4,7,638.5328063953851,240
4,0,645.2941229951425,206
4,2,843.2296562578911,225
4,1,508.97805537990365,159
7,5,7215.664433106299,2624
7,3,7971.656589132556,2854
7,0,630.428590306193,243
7,2,483.3313203443094,169
7,1,743.9860377114642,283
3,5,4100.288898765064,1559
3,2,378.4545311019868,159
3,0,519.2827902722925,206
3,1,335.4988028738689,134
5,1,1672.2074527502964,596
5,0,1921.438087726053,600
5,2,370.21910369676925,113
1,0,764.1360855547837,255
1,2,173.0589678153839,52
0,2,234.7103151374805,67
