source_community,target_community,weight,n_edges
1,2,37.21872519195425,28
1,6,867.946842038615,594
1,3,319.9116565447345,235
1,4,3582.6860880493873,2404
1,5,977.8562931937549,634
1,0,7790.171586294786,4812
1,7,636.8416486828542,439
0,2,115.16773129723656,85
0,6,2350.8009734574007,1644
0,3,365.65767932437683,229
0,7,680.468072989792,398
0,4,5801.5475129716515,3636
0,5,4009.3599428950793,2591
2,3,4148.1529869776095,2547
2,7,14.091483402338918,10
2,6,432.3670423974316,304
2,5,3235.41508112311,1976
2,4,106.81670878002767,71
7,6,180.26503208456282,147
7,3,22.77502119602598,19
7,5,185.22532966758556,105
7,4,625.4665598480806,472
3,6,3465.1228605237516,2101
3,5,2555.6304800229364,1522
3,4,491.4288249659815,354
5,6,2589.849456264971,1695
5,4,2696.46522929475,1742
4,6,1242.2358576318632,912
