id,short_id,doi,title,year,cited_by_count,primary_topic,community,community_label,display_community,display_label,anchor_label,anchor_citer,reference_stub
https://openalex.org/W1631260214,W1631260214,10.21437/icslp.2002-303,SRILM - an extensible language modeling toolkit,2002,4397,Natural Language Processing Techniques,273,Translation / Machine,5.0,Translation / Machine,,0,0
https://openalex.org/W3122167020,W3122167020,10.1287/mnsc.48.8.1086.166,A Jump-Diffusion Model for Option Pricing,2002,1909,Stochastic processes and financial applications,271,Diffusion / Jump,,,,0,0
https://openalex.org/W1934041838,W1934041838,10.1109/icassp.1995.479394,Improved backing-off for M-gram language modeling,2002,1493,Natural Language Processing Techniques,273,Translation / Machine,5.0,Translation / Machine,,0,0
https://openalex.org/W1904457459,W1904457459,10.1109/asru.1997.659110,A post-processing system to yield reduced word error rates: Recognizer Output Voting Error Reduction (ROVER),2002,1098,Speech and dialogue systems,273,Translation / Machine,5.0,Translation / Machine,,0,0
https://openalex.org/W4236451413,W4236451413,10.1109/pesw.2001.916993,Radial distribution test feeders,2002,1036,Vibration and Dynamic Analysis,74,Power / Transformer,,,,0,0
https://openalex.org/W2140417752,W2140417752,10.1109/mei.2002.1161455,Review of condition assessment of power transformers in service,2002,943,Power Transformer Diagnostics and Insulation,330,Transformer / Power,4.0,Transformer / Power,,0,0
https://openalex.org/W2006388199,W2006388199,10.3758/bf03196302,Estimating parameters of the diffusion model: Approaches to dealing with contaminant reaction times and parameter variability,2002,884,Advanced Neuroimaging Techniques and Applications,7,Psychology / Diffusion,,,,0,0
https://openalex.org/W2079168273,W2079168273,10.1145/564376.564429,Predicting query performance,2002,669,Topic Modeling,41,Language / Retrieval,,,,0,0
https://openalex.org/W1529355025,W1529355025,10.1007/3-540-70659-3_2,Machine Learning for Sequential Data: A Review,2002,668,Data Mining Algorithms and Applications,272,Language / Word,7.0,Language / Word,,0,0
https://openalex.org/W2106550864,W2106550864,10.1109/26.975762,Performance analysis of deliberately clipped OFDM signals,2002,666,PAPR reduction in OFDM,162,Optical / Ofdm,,,,0,0
https://openalex.org/W2103601587,W2103601587,10.1109/tpwrs.2002.1007886,Optimal power flow by enhanced genetic algorithm,2002,658,Optimal Power Flow Distribution,301,Power / Transformer,,,,0,0
https://openalex.org/W2148714802,W2148714802,10.1109/mei.2002.1014963,A review of faults detectable by gas-in-oil analysis in transformers,2002,624,Power Transformer Diagnostics and Insulation,330,Transformer / Power,4.0,Transformer / Power,,0,0
https://openalex.org/W2041855240,W2041855240,10.1109/57.981322,Vegetable oils for liquid-filled transformers,2002,610,Biodiesel Production and Applications,330,Transformer / Power,4.0,Transformer / Power,,0,0
https://openalex.org/W2155176760,W2155176760,10.1109/tdei.2002.1038663,"Partial discharges. Their mechanism, detection and measurement",2002,553,High voltage insulation and dielectric phenomena,330,Transformer / Power,4.0,Transformer / Power,,0,0
https://openalex.org/W2161792612,W2161792612,10.3115/1118693.1118711,"A phrase-based, joint probability model for statistical machine translation",2002,476,Natural Language Processing Techniques,273,Translation / Machine,5.0,Translation / Machine,,0,0
https://openalex.org/W2131736450,W2131736450,10.1109/22.981284,Distributed active transformer-a new power-combining and impedance-transformation technique,2002,433,Radio Frequency Integrated Circuit Design,17,Cmos / Amplifier,,,,0,0
https://openalex.org/W2137263702,W2137263702,10.1109/tpel.2002.802170,Control of circulating current in two parallel three-phase boost rectifiers,2002,422,Microgrid Control and Optimization,2,Control / Current,,,,0,0
https://openalex.org/W2146194791,W2146194791,10.21437/icslp.2002-74,Approaches to language identification using Gaussian mixture models and shifted delta cepstral features,2002,393,Speech Recognition and Synthesis,41,Language / Retrieval,,,,0,0
https://openalex.org/W1514944708,W1514944708,10.21437/icslp.2002-559,Prosody-based automatic detection of annoyance and frustration in human-computer dialog,2002,388,Emotion and Mood Recognition,3,Frustration / Annoyance,,,,0,0
https://openalex.org/W2002933331,W2002933331,10.1007/s002850200145,Analysis of linear determinacy for spread in cooperative models,2002,387,Mathematical and Theoretical Epidemiology and Ecology Models,163,Diffusion / Reaction,,,,0,0
https://openalex.org/W2102510845,W2102510845,10.1109/pimrc.1995.476406,Envelope variations and spectral splatter in clipped multicarrier signals,2002,368,Advanced Power Amplifier Design,162,Optical / Ofdm,,,,0,0
https://openalex.org/W2130722890,W2130722890,10.1109/icassp.1995.479278,WSJCAMO: a British English speech corpus for large vocabulary continuous speech recognition,2002,357,Speech Recognition and Synthesis,4,Speech / Speech Recognition,,,,0,0
https://openalex.org/W2150194744,W2150194744,10.1109/4.987090,Fully integrated CMOS power amplifier design using the distributed active-transformer architecture,2002,356,Radio Frequency Integrated Circuit Design,17,Cmos / Amplifier,,,,0,0
https://openalex.org/W2098901553,W2098901553,10.1109/ias.1994.377528,Comparison of multilevel inverters for static VAr compensation,2002,353,Multilevel Inverters and Converters,275,Transformer / Converters,6.0,Transformer / Converters,,0,0
https://openalex.org/W2098702839,W2098702839,10.1109/tia.2002.800776,Multi-input DC/DC converter based on the multiwinding transformer for renewable energy applications,2002,348,Advanced DC-DC Converters,275,Transformer / Converters,6.0,Transformer / Converters,,0,0
https://openalex.org/W2027900643,W2027900643,10.3758/bf03196283,A diffusion model account of response time and accuracy in a brightness discrimination task: Fitting real data and failing to fit fake but plausible data,2002,347,Visual perception and processing mechanisms,7,Psychology / Diffusion,,,,0,0
https://openalex.org/W2141571677,W2141571677,10.1073/pnas.162158799,Y genetic data support the Neolithic demic diffusion model,2002,334,Forensic and Genetic Research,6,Demic / Demic Diffusion,,,,0,0
