source_community,target_community,weight,n_edges
0,2,989.111927452558,287
0,7,17.608845159226178,6
0,6,1965.1908985261437,509
0,4,4119.471346534651,1015
0,1,335.7602609402091,80
0,3,1737.448933044662,445
0,5,887.3750645408512,251
4,2,4030.761342622252,1362
4,6,6789.999363301975,2112
4,3,8411.440605799577,2745
4,5,1479.2040130860833,492
4,1,2833.021851418865,751
4,7,6.044522437723423,2
3,2,1646.941860474323,525
3,7,12.366991871627116,3
3,1,1332.4019540492914,331
3,6,1351.0195142961616,481
3,5,3825.033079568711,1230
5,2,10236.43686060898,2898
5,1,701.8643934164579,164
5,6,3119.06634426278,1002
5,7,2.079441541679836,1
2,6,1586.3792904387803,506
2,1,1170.5851780641894,266
2,7,114.50304697249676,35
6,7,3.0,1
6,1,857.9180926041913,216
1,7,3.5545177444479563,1
