,B,degree,pagerank,closeness,RS,field_shannon,field_simpson,field_variety,DeltaQ0,conductance_delta,Uzzi,pair_surprisal,RTD,community_simpson,BurtIP,effective_size,constraint_inv,PDE,field_entropy_norm
B,1.0,-0.06231861294613221,0.2569405996145383,,0.10056040490808787,0.03526520092738181,0.05681722435902715,0.0035544259124058028,0.1282303883275544,0.12825857286107845,0.10527572866340774,0.12021015378826058,0.057182214132930745,0.057182214132930745,0.3897826095708685,0.0727912915460266,0.3897826095708685,0.03526520092738181,0.14377106876752888
degree,-0.06231861294613221,1.0,-0.9157581123315,,0.44905836331532784,0.5494643155218426,0.46167980455637664,0.6830087055675813,0.28697574537268006,0.28693251410778525,-0.004202747008714384,0.08545648543388175,0.4622930812150524,0.4622930812150524,-0.07831841977968158,0.9444565554878271,-0.07831841977968158,0.5494643155218426,0.06704438174391014
pagerank,0.2569405996145383,-0.9157581123315,1.0,,-0.34904296652803585,-0.4730528914706175,-0.39179831069373733,-0.5982320884884892,-0.1532828798468148,-0.15325214885367594,0.03196070762917267,-0.04401040590950589,-0.3916894967803869,-0.3916894967803869,0.3596107473296743,-0.7764605319723151,0.3596107473296743,-0.4730528914706175,-0.028188288772651744
closeness,,,,,,,,,,,,,,,,,,,
RS,0.10056040490808787,0.44905836331532784,-0.34904296652803585,,1.0,0.8780918521921007,0.8852253635117665,0.8013496798996393,0.3077406776823828,0.3078608560639018,0.10363672795660452,0.23965957738983654,0.8842809245397344,0.8842809245397344,0.11457089171794495,0.47582107719029565,0.11457089171794495,0.8780918521921007,0.6792230172330008
field_shannon,0.03526520092738181,0.5494643155218426,-0.4730528914706175,,0.8780918521921007,1.0,0.9681772733145242,0.9311634329680681,0.26704729087734574,0.2671178097759765,0.03457603430031423,0.20541320718531167,0.9672820355337796,0.9672820355337796,0.07266319479072518,0.5551410248817219,0.07266319479072518,1.0,0.6364038725387658
field_simpson,0.05681722435902715,0.46167980455637664,-0.39179831069373733,,0.8852253635117665,0.9681772733145242,1.0,0.8509015551737478,0.24269213547229745,0.2427683552583169,0.03372784493261162,0.2018681480701514,0.9981177886238868,0.9981177886238868,0.05413503664052406,0.4695134390018661,0.05413503664052406,0.9681772733145242,0.7467955191081999
field_variety,0.0035544259124058028,0.6830087055675813,-0.5982320884884892,,0.8013496798996393,0.9311634329680681,0.8509015551737478,1.0,0.28758974487553807,0.287608018387662,0.03873211709050865,0.214284458438038,0.8506101960860933,0.8506101960860933,0.08665602012634664,0.679143615556027,0.08665602012634664,0.9311634329680681,0.4359684632123583
DeltaQ0,0.1282303883275544,0.28697574537268006,-0.1532828798468148,,0.3077406776823828,0.26704729087734574,0.24269213547229745,0.28758974487553807,1.0,0.9999899610138584,0.07622817786644069,0.09922817393631418,0.24382605774356292,0.24382605774356292,0.3359509605065147,0.3582083161295176,0.3359509605065147,0.26704729087734574,0.06834423282930609
conductance_delta,0.12825857286107845,0.28693251410778525,-0.15325214885367594,,0.3078608560639018,0.2671178097759765,0.2427683552583169,0.287608018387662,0.9999899610138584,1.0,0.07639756492768993,0.09930536951148482,0.2439032699602247,0.2439032699602247,0.3359507662777616,0.35816970013329746,0.3359507662777616,0.2671178097759765,0.06845914151565241
Uzzi,0.10527572866340774,-0.004202747008714384,0.03196070762917267,,0.10363672795660452,0.03457603430031423,0.03372784493261162,0.03873211709050865,0.07622817786644069,0.07639756492768993,1.0,0.9250627314399132,0.03416238421225626,0.03416238421225626,0.05750185147456608,0.01810386909533796,0.05750185147456608,0.03457603430031423,0.036485333531536455
pair_surprisal,0.12021015378826058,0.08545648543388175,-0.04401040590950589,,0.23965957738983654,0.20541320718531167,0.2018681480701514,0.214284458438038,0.09922817393631418,0.09930536951148482,0.9250627314399132,1.0,0.2022382658985776,0.2022382658985776,0.05109612378424055,0.1143254438278258,0.05109612378424055,0.20541320718531167,0.19710495172802994
RTD,0.057182214132930745,0.4622930812150524,-0.3916894967803869,,0.8842809245397344,0.9672820355337796,0.9981177886238868,0.8506101960860933,0.24382605774356292,0.2439032699602247,0.03416238421225626,0.2022382658985776,1.0,1.0,0.05521769690360537,0.47031691804683146,0.05521769690360537,0.9672820355337796,0.7453188966731145
community_simpson,0.057182214132930745,0.4622930812150524,-0.3916894967803869,,0.8842809245397344,0.9672820355337796,0.9981177886238868,0.8506101960860933,0.24382605774356292,0.2439032699602247,0.03416238421225626,0.2022382658985776,1.0,1.0,0.05521769690360537,0.47031691804683146,0.05521769690360537,0.9672820355337796,0.7453188966731145
BurtIP,0.3897826095708685,-0.07831841977968158,0.3596107473296743,,0.11457089171794495,0.07266319479072518,0.05413503664052406,0.08665602012634664,0.3359509605065147,0.3359507662777616,0.05750185147456608,0.05109612378424055,0.05521769690360537,0.05521769690360537,1.0,0.15041371415113164,1.0,0.07266319479072518,-0.026558170795321998
effective_size,0.0727912915460266,0.9444565554878271,-0.7764605319723151,,0.47582107719029565,0.5551410248817219,0.4695134390018661,0.679143615556027,0.3582083161295176,0.35816970013329746,0.01810386909533796,0.1143254438278258,0.47031691804683146,0.47031691804683146,0.15041371415113164,1.0,0.15041371415113164,0.5551410248817219,0.08569186067706977
constraint_inv,0.3897826095708685,-0.07831841977968158,0.3596107473296743,,0.11457089171794495,0.07266319479072518,0.05413503664052406,0.08665602012634664,0.3359509605065147,0.3359507662777616,0.05750185147456608,0.05109612378424055,0.05521769690360537,0.05521769690360537,1.0,0.15041371415113164,1.0,0.07266319479072518,-0.026558170795321998
PDE,0.03526520092738181,0.5494643155218426,-0.4730528914706175,,0.8780918521921007,1.0,0.9681772733145242,0.9311634329680681,0.26704729087734574,0.2671178097759765,0.03457603430031423,0.20541320718531167,0.9672820355337796,0.9672820355337796,0.07266319479072518,0.5551410248817219,0.07266319479072518,1.0,0.6364038725387658
field_entropy_norm,0.14377106876752888,0.06704438174391014,-0.028188288772651744,,0.6792230172330008,0.6364038725387658,0.7467955191081999,0.4359684632123583,0.06834423282930609,0.06845914151565241,0.036485333531536455,0.19710495172802994,0.7453188966731145,0.7453188966731145,-0.026558170795321998,0.08569186067706977,-0.026558170795321998,0.6364038725387658,1.0
