paper_id,title,domain,year,primary_field,is_landmark,reference_count,B,degree,RS,field_simpson,field_variety,DeltaQ0,Uzzi,RTD,community_variety,BurtIP,effective_size,constraint_inv,PDE
graphene_2d_materials::https://openalex.org/W2091804031,"Heteroepitaxial growth by Van der Waals interaction in one-, two- and three-dimensional materials",graphene_2d_materials,1991,2D Materials and Applications,0,5,0.55,5.0,0.32,0.3199999999999998,2.0,-0.375,0.0,0.3199999999999998,2.0,0.76,3.8,2.094240837696335,0.5004024235361879
graphene_2d_materials::https://openalex.org/W1542482684,MoS2 structures in high-activity hydrotreating catalysts,graphene_2d_materials,1993,Catalysis and Hydrodesulfurization Studies,0,12,0.8939393939393939,12.0,0.4985978662318902,0.5277777777777779,5.0,-0.0202076124567474,0.7811467518078925,0.5277777777777779,5.0,0.9305555555555556,11.166666666666666,6.12947088383092,1.0986122886631098
graphene_2d_materials::https://openalex.org/W1964642922,Crystal reorientation and wear mechanisms in MoS<sub>2</sub> lubricating thin films investigated by TEM,graphene_2d_materials,1993,Metal and Thin Film Mechanics,0,6,0.9333333333333332,6.0,0.2585173542977351,0.2777777777777777,2.0,0.010204081632653,1.069299703901542,0.2777777777777777,2.0,0.9444444444444444,5.666666666666667,4.235294117647059,0.4505612088643047
graphene_2d_materials::https://openalex.org/W1968164954,Self-assembled alkane monolayers on MoSe2 and MoS2,graphene_2d_materials,1993,Surface Chemistry and Catalysis,0,5,0.9,5.0,0.7200000000000002,0.72,4.0,0.0833333333333333,0.2294952127344983,0.72,4.0,0.92,4.6,3.333333333333333,1.3321790402061222
graphene_2d_materials::https://openalex.org/W2069810599,MoS2 structures in high activity hydrotreating catalysts. II. Evolution of the active phase during the catalyst life cycle. Deactivation model,graphene_2d_materials,1993,Catalysis and Hydrodesulfurization Studies,0,9,0.9027777777777776,9.0,0.5900999103381752,0.6419753086419753,5.0,-0.0868055555555555,0.7811467518078925,0.6419753086419753,5.0,0.925925925925926,8.333333333333334,5.044982698961938,1.303092403756719
graphene_2d_materials::https://openalex.org/W1998846705,"Development, testing and characterization of MoS2 thin film bearings",graphene_2d_materials,1994,Metal and Thin Film Mechanics,0,5,0.75,5.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,0.8400000000000001,4.2,2.6162790697674416,-1.000088900581841e-12
graphene_2d_materials::https://openalex.org/W2042663049,Ultrahigh vacuum high resolution transmission electron microscopy of sputter-deposited MoS2 thin films,graphene_2d_materials,1994,Metal and Thin Film Mechanics,0,6,0.411111111111111,6.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,0.6666666666666666,4.0,2.164509394572025,-1.000088900581841e-12
graphene_2d_materials::https://openalex.org/W2042845138,Fracture in MoS2 solid lubricant films,graphene_2d_materials,1994,Metal and Thin Film Mechanics,0,6,0.6,6.0,0.2777777777777778,0.2777777777777777,2.0,0.0049999999999999,0.4923499214963333,0.2777777777777777,2.0,0.7777777777777778,4.666666666666667,2.4983132530120487,0.4505612088643047
graphene_2d_materials::https://openalex.org/W2057851761,Electronic band structure of multilayered carbon tubules,graphene_2d_materials,1994,Graphene research and applications,0,5,0.9,5.0,0.2188071148746118,0.3199999999999998,2.0,0.0138888888888887,0.0,0.3199999999999998,2.0,0.92,4.6,3.333333333333333,0.5004024235361879
graphene_2d_materials::https://openalex.org/W2334006453,Epitaxial Growth of Two-Dimensional Dichalcogenides and Modification of Their Surfaces with Scanning Probe Microscopes,graphene_2d_materials,1994,2D Materials and Applications,0,6,0.4555555555555555,6.0,0.2013862363587601,0.2777777777777777,2.0,-0.1354166666666667,0.0,0.2777777777777777,2.0,0.6666666666666666,4.0,2.2542658850950588,0.4505612088643047
graphene_2d_materials::https://openalex.org/W1983956165,"On the correlation between the scanning tunneling microscopy image imperfections and point defects of layered chalcogenides 2HMX2 (M = Mo, W; X = S, Se)",graphene_2d_materials,1995,2D Materials and Applications,0,6,1.0,6.0,0.758651934092803,0.7777777777777777,5.0,0.2222222222222221,0.4135835212991113,0.7777777777777777,5.0,1.0,6.0,6.0,1.5607104090364068
graphene_2d_materials::https://openalex.org/W2013005775,EXAFS of sputter-deposited MoS2 films,graphene_2d_materials,1995,Metal and Thin Film Mechanics,0,8,0.8035714285714285,8.0,0.1959437359625074,0.21875,2.0,0.0034722222222221,0.0,0.21875,2.0,0.875,7.0,3.9861591695501737,0.3767701612544368
graphene_2d_materials::https://openalex.org/W2018823200,"The effect of phosphorus on the HDN reaction of piperidine, decahydroquinoline and ortho-propylaniline over Ni-MoS2/Al2O3 catalysts",graphene_2d_materials,1995,Catalysis and Hydrodesulfurization Studies,0,5,1.0,5.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,1.0,5.0,4.999999999999999,-1.000088900581841e-12
graphene_2d_materials::https://openalex.org/W2040403588,Carbon nanotubes with single-layer walls,graphene_2d_materials,1995,Carbon Nanotubes in Composites,0,6,0.7333333333333333,6.0,0.5454639516379642,0.6666666666666667,3.0,-0.1604938271604938,0.0509432825644888,0.6666666666666667,3.0,0.8333333333333334,5.0,2.932126696832579,1.0986122886651095
graphene_2d_materials::https://openalex.org/W2049449367,Structural change of supported NiMo sulfide catalysts during the hydrogenation of coal-derived liquids,graphene_2d_materials,1995,Catalysis and Hydrodesulfurization Studies,0,5,0.9,5.0,0.4925261971540355,0.72,4.0,-0.3472222222222222,0.0,0.72,4.0,0.92,4.6,3.333333333333333,1.3321790402061222
graphene_2d_materials::https://openalex.org/W2056663269,Anomalous wear behavior of MoS2 films in moderate vacuum and dry nitrogen,graphene_2d_materials,1995,Metal and Thin Film Mechanics,0,5,0.65,5.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,0.76,3.8,2.073732718894009,-1.000088900581841e-12
graphene_2d_materials::https://openalex.org/W2061817967,"Low-friction, high-endurance, ion-beam-deposited PbMoS coatings",graphene_2d_materials,1995,Metal and Thin Film Mechanics,0,10,0.8222222222222223,10.0,0.1612337027348633,0.1799999999999999,2.0,-0.0060763888888887,0.0,0.1799999999999999,2.0,0.8800000000000001,8.8,4.167872648335745,0.3250829733894482
graphene_2d_materials::https://openalex.org/W2073484000,Effects of temperature and ion-to-atom ratio on the orientation of IBAD MoS2 coatings,graphene_2d_materials,1995,Metal and Thin Film Mechanics,0,6,0.8333333333333334,6.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,0.8888888888888888,5.333333333333333,3.410526315789474,-1.000088900581841e-12
graphene_2d_materials::https://openalex.org/W2077704487,Relationship of Endurance to Microstructure of IBAD MoS<sub>2</sub>Coatings,graphene_2d_materials,1995,Metal and Thin Film Mechanics,0,7,0.8809523809523809,7.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,0.9183673469387756,6.428571428571429,4.240384615384616,-1.000088900581841e-12
graphene_2d_materials::https://openalex.org/W2092640920,Nanostructure of Au-20% Pd layers in MoS2 multilayer solid lubricant films,graphene_2d_materials,1995,Metal and Thin Film Mechanics,0,7,0.246031746031746,7.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,0.5918367346938774,4.142857142857142,2.168492978163038,-1.000088900581841e-12
graphene_2d_materials::https://openalex.org/W2163927137,Pyridine interaction with a partially hydrogenated MoS2 modelled surface. A molecular orbital study,graphene_2d_materials,1995,Molecular Junctions and Nanostructures,0,5,1.0,5.0,0.32,0.3199999999999998,2.0,0.42,0.0,0.3199999999999998,2.0,1.0,5.0,4.999999999999999,0.5004024235361879
graphene_2d_materials::https://openalex.org/W1600061017,Super-low friction of MoS2 coatings in various environments,graphene_2d_materials,1996,Metal and Thin Film Mechanics,0,5,0.6000000000000001,5.0,0.32,0.3199999999999998,2.0,0.0078125,0.0,0.3199999999999998,2.0,0.76,3.8,2.216748768472906,0.5004024235361879
graphene_2d_materials::https://openalex.org/W1988926593,H2 interaction with S atoms of a MoS2 modelled catalytic site: electronic density analysis for SH formation,graphene_2d_materials,1996,2D Materials and Applications,0,7,0.9523809523809524,7.0,0.2148100350938472,0.2448979591836735,2.0,0.3203125,0.0,0.2448979591836735,2.0,0.9591836734693878,6.714285714285714,5.157894736842105,0.410116318286409
graphene_2d_materials::https://openalex.org/W1995989150,Mechanics and Chemistry of Solids in Sliding Contact,graphene_2d_materials,1996,Metal and Thin Film Mechanics,0,6,0.6222222222222222,6.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,0.7222222222222222,4.333333333333333,2.599799398194584,-1.000088900581841e-12
graphene_2d_materials::https://openalex.org/W2004704360,High resolution transmission electron microscopy study of quasi-amorphous MoSx coatings,graphene_2d_materials,1996,Metal and Thin Film Mechanics,0,5,0.2666666666666666,5.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,0.6,3.0,1.7795353435491843,-1.000088900581841e-12
graphene_2d_materials::https://openalex.org/W2025970651,Molecular mechanics study of the interaction of molybdenum disulfide layers with a γ-alumina support in hydrotreating catalysts,graphene_2d_materials,1996,Catalysis and Hydrodesulfurization Studies,0,10,0.8777777777777778,10.0,0.1578853757939777,0.1799999999999999,2.0,-0.0111111111111112,0.0,0.1799999999999999,2.0,0.9,9.0,5.027932960893854,0.3250829733894482
graphene_2d_materials::https://openalex.org/W2031535575,Characterization and aging of hydrotreating catalysts exposed to industrial processing conditions,graphene_2d_materials,1996,Catalysis and Hydrodesulfurization Studies,0,8,0.9107142857142856,8.0,0.21875,0.21875,2.0,0.0049999999999999,0.7754750630250313,0.21875,2.0,0.9375,7.5,5.097345132743363,0.3767701612544368
graphene_2d_materials::https://openalex.org/W2032445821,IBAD MoS2 lubrication of titanium alloys,graphene_2d_materials,1996,Metal and Thin Film Mechanics,0,5,0.4333333333333333,5.0,0.0,0.0,1.0,-0.0,0.0,0.0,1.0,0.6,3.0,1.9459459459459456,-1.000088900581841e-12
graphene_2d_materials::https://openalex.org/W2061192414,Powder x-ray diffraction of two-dimensional materials,graphene_2d_materials,1996,X-ray Diffraction in Crystallography,0,6,0.9333333333333332,6.0,0.7750797614934521,0.7777777777777777,5.0,-0.2448979591836735,0.9140065011128058,0.7777777777777777,5.0,0.9444444444444444,5.666666666666667,4.235294117647059,1.5607104090364068
graphene_2d_materials::https://openalex.org/W2062234263,Advanced solid lubricant coatings for high vacuum environments,graphene_2d_materials,1996,Diamond and Carbon-based Materials Research,0,5,0.9,5.0,0.56,0.5599999999999999,3.0,0.0972222222222222,0.5297305652415484,0.5599999999999999,3.0,0.92,4.6,3.333333333333333,0.9502705392302344
ipsc_reprogramming::https://openalex.org/W2054275704,In vitro differentiation of murine embryonic stem cells. New approaches to old problems.,ipsc_reprogramming,1996,Pluripotent Stem Cells Research,0,5,1.0,5.0,0.6595256843185238,0.72,4.0,0.1199999999999999,0.0,0.72,4.0,1.0,5.0,4.999999999999999,1.3321790402061222
graphene_2d_materials::https://openalex.org/W1966888697,Model parametric Hamiltonians and bonding theoretical tools in simulation of catalytic reaction steps. Hydrotreatment of oil components,graphene_2d_materials,1997,Advanced Chemical Physics Studies,0,5,0.45,5.0,0.6869496809861537,0.72,4.0,-0.0590277777777777,1.2473632358777524,0.72,4.0,0.6799999999999999,3.4,1.914893617021276,1.3321790402061222
graphene_2d_materials::https://openalex.org/W1969811081,Relationship between HDS activity and Mo site fine structure of variously pretreated Co Mo/Al2O3 and Mo/Al2O3,graphene_2d_materials,1997,Catalysis and Hydrodesulfurization Studies,0,5,1.0,5.0,0.2514005659429965,0.3199999999999998,2.0,0.02,0.0,0.3199999999999998,2.0,1.0,5.0,4.999999999999999,0.5004024235361879
