,B,degree,RS,field_simpson,field_variety,DeltaQ0,Uzzi,RTD,community_variety,BurtIP,effective_size,constraint_inv,PDE
B,1.0,-0.1441456816076589,0.3485255073457958,0.3043167886994443,0.202692076792903,0.2450867544155004,0.1590410033501213,0.3043167886994443,0.202692076792903,0.925373742030746,0.1773404606673977,0.2711032899840137,0.2967615216440442
degree,-0.144145681607659,1.0,-0.1688163231961707,-0.1413190255863828,0.3922902302658252,0.1341142593999451,0.0900835261752103,-0.1413190255863828,0.3922902302658252,0.0796112504111551,0.9238546302643632,0.8477579871908972,-0.0004160916745995
RS,0.3485255073457958,-0.1688163231961707,1.0,0.9632873363058851,0.7097693967736217,0.1494107828500893,0.3085354718867931,0.9632873363058851,0.7097693967736217,0.299254385876074,-0.0670870201568432,-0.0258889064416787,0.9491610123630376
field_simpson,0.3043167886994443,-0.1413190255863828,0.9632873363058851,1.0,0.7148550230690626,0.1408021117151709,0.2648671891565364,1.0,0.7148550230690626,0.2595777209362421,-0.0601705730169723,-0.0215652377049363,0.9689750315466508
field_variety,0.202692076792903,0.3922902302658253,0.7097693967736218,0.7148550230690625,1.0,0.1248152230114982,0.3645842955245524,0.7148550230690625,1.0,0.3072999922421118,0.4413534151728328,0.4496384336583645,0.8443447497552062
DeltaQ0,0.2450867544155004,0.1341142593999451,0.1494107828500893,0.1408021117151709,0.1248152230114982,0.9999999999999998,0.0400533705271981,0.1408021117151709,0.1248152230114982,0.2642527974840533,0.2086266300053832,0.2321122504344428,0.1397026182932183
Uzzi,0.1590410033501213,0.0900835261752103,0.3085354718867931,0.2648671891565364,0.3645842955245524,0.0400533705271981,1.0,0.2648671891565364,0.3645842955245524,0.1862112619318926,0.1335005976197373,0.161023714677429,0.3148690110515979
RTD,0.3043167886994443,-0.1413190255863828,0.9632873363058851,1.0,0.7148550230690626,0.1408021117151709,0.2648671891565364,1.0,0.7148550230690626,0.2595777209362421,-0.0601705730169723,-0.0215652377049363,0.9689750315466508
community_variety,0.202692076792903,0.3922902302658253,0.7097693967736218,0.7148550230690625,1.0,0.1248152230114982,0.3645842955245524,0.7148550230690625,1.0,0.3072999922421118,0.4413534151728328,0.4496384336583645,0.8443447497552062
BurtIP,0.925373742030746,0.0796112504111551,0.299254385876074,0.2595777209362421,0.3072999922421119,0.2642527974840533,0.1862112619318926,0.2595777209362421,0.3072999922421119,1.0,0.399933273729716,0.4828795608223266,0.2905153809518975
effective_size,0.1773404606673977,0.9238546302643632,-0.0670870201568432,-0.0601705730169723,0.4413534151728328,0.2086266300053832,0.1335005976197373,-0.0601705730169723,0.4413534151728328,0.399933273729716,1.0,0.9337729989388523,0.0764264751850112
constraint_inv,0.2711032899840137,0.8477579871908972,-0.0258889064416787,-0.0215652377049363,0.4496384336583645,0.2321122504344429,0.161023714677429,-0.0215652377049363,0.4496384336583645,0.4828795608223266,0.9337729989388523,1.0,0.1085669614686468
PDE,0.2967615216440442,-0.0004160916745995,0.9491610123630376,0.9689750315466508,0.8443447497552063,0.1397026182932183,0.3148690110515979,0.9689750315466508,0.8443447497552063,0.2905153809518975,0.0764264751850112,0.1085669614686468,1.0
