paper_id,title,domain,year,primary_field,profile_type,control_tier,n_controls
graphene_2d_materials::https://openalex.org/W2058122340,Electric Field Effect in Atomically Thin Carbon Films,graphene_2d_materials,2004,Graphene research and applications,landmark,all_non_landmark,5921
ipsc_reprogramming::https://openalex.org/W2125987139,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,ipsc_reprogramming,2006,Pluripotent Stem Cells Research,landmark,field_year_refbin,171
ipsc_reprogramming::https://openalex.org/W2138977668,Induction of Pluripotent Stem Cells from Adult Human Fibroblasts by Defined Factors,ipsc_reprogramming,2007,Pluripotent Stem Cells Research,landmark,field_year_refbin,169
ipsc_reprogramming::https://openalex.org/W2142046859,Induced Pluripotent Stem Cell Lines Derived from Human Somatic Cells,ipsc_reprogramming,2007,Pluripotent Stem Cells Research,landmark,field_year_refbin,50
crispr::https://openalex.org/W2045435533,A Programmable Dual-RNA–Guided DNA Endonuclease in Adaptive Bacterial Immunity,crispr,2012,CRISPR and Genetic Engineering,landmark,field_year_refbin,160
crispr::https://openalex.org/W2003171404,RNA-Guided Human Genome Engineering via Cas9,crispr,2013,CRISPR and Genetic Engineering,landmark,field_year_refbin,355
crispr::https://openalex.org/W2064815984,Multiplex Genome Engineering Using CRISPR/Cas Systems,crispr,2013,CRISPR and Genetic Engineering,landmark,field_year_refbin,355
crispr::https://openalex.org/W1995174577,Legionella pneumophila Sequence Type 1/Paris Pulsotype Subtyping by Spoligotyping,crispr,2011,Legionella and Acanthamoeba research,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2012453729,Identification and characterization of two novel classes of small RNAs in the mouse germline: retrotransposon-derived siRNAs in oocytes and germline small RNAs in testes,crispr,2006,MicroRNA in disease regulation,future_top_decile,field_all_years,56
crispr::https://openalex.org/W2151385348,Gene silencing by the tRNA maturase tRNase ZL under the direction of small-guide RNA,crispr,2006,RNA modifications and cancer,future_top_decile,field_year3,78
crispr::https://openalex.org/W2137557128,RNA-specific ribonucleotidyl transferases,crispr,2007,DNA and Nucleic Acid Chemistry,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W1986551230,Novel non-coding RNAs in Dictyostelium discoideum and their expression during development,crispr,2004,RNA Interference and Gene Delivery,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W1963921985,MicroRNAs in Gene Regulation: When the Smallest Governs It All,crispr,2006,MicroRNA in disease regulation,future_top_decile,field_all_years,56
crispr::https://openalex.org/W2151804955,"snoRNA-LBME-db, a comprehensive database of human H/ACA and C/D box snoRNAs",crispr,2005,RNA modifications and cancer,future_top_decile,field_year3,65
crispr::https://openalex.org/W2111452477,Structural basis for 5′-nucleotide base-specific recognition of guide RNA by human AGO2,crispr,2010,RNA modifications and cancer,future_top_decile,field_all_years,95
crispr::https://openalex.org/W1976124466,A common sequence motif determines the Cajal body-specific localization of box H/ACA scaRNAs,crispr,2003,RNA modifications and cancer,future_top_decile,field_all_years,95
crispr::https://openalex.org/W2001142671,"A Large Collection of Compact Box C/D snoRNAs and their Isoforms in Euglena gracilis: Structural, Functional and Evolutionary Insights",crispr,2006,Advanced biosensing and bioanalysis techniques,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2038838144,CRISPR Inhibition of Prophage Acquisition in Streptococcus pyogenes,crispr,2011,Streptococcal Infections and Treatments,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2058615001,The rise of regulatory RNA,crispr,2014,RNA modifications and cancer,future_top_decile,field_all_years,95
crispr::https://openalex.org/W1965404910,CRISPR — a widespread system that provides acquired resistance against phages in bacteria and archaea,crispr,2007,Bacteriophages and microbial interactions,future_top_decile,field_all_years,55
crispr::https://openalex.org/W2147828217,Efficient Gene Disruption in Diverse Strains of Toxoplasma gondii Using CRISPR/CAS9,crispr,2014,Toxoplasma gondii Research Studies,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2137721714,CRISPRFinder: a web tool to identify clustered regularly interspaced short palindromic repeats,crispr,2007,CRISPR and Genetic Engineering,future_top_decile,field_year3,99
crispr::https://openalex.org/W1990570898,Interference with histidyl-tRNA synthetase by a CRISPR spacer sequence as a factor in the evolution of Pelobacter carbinolicus,crispr,2010,Microbial Fuel Cells and Bioremediation,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2119528722,Genome-Wide Analysis of C/D and H/ACA-Like Small Nucleolar RNAs in <i>Leishmania major</i> Indicates Conservation among Trypanosomatids in the Repertoire and in Their rRNA Targets,crispr,2006,Trypanosoma species research and implications,future_top_decile,field_year3,60
crispr::https://openalex.org/W2104135642,"Organization of the <i>Caenorhabditis elegans</i> small non-coding transcriptome: Genomic features, biogenesis, and expression",crispr,2005,CRISPR and Genetic Engineering,future_top_decile,field_all_years,907
crispr::https://openalex.org/W2161762698,Genomics of bacteria and archaea: the emerging dynamic view of the prokaryotic world,crispr,2008,Genomics and Phylogenetic Studies,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2160361990,Biogenesis of small nuclear RNPs,crispr,2004,RNA Research and Splicing,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2034394760,"Nucleation, propagation and cleavage of target RNAs in Ago silencing complexes",crispr,2009,RNA and protein synthesis mechanisms,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2093788725,Modulation of Gene Expression by Human Cytosolic tRNase ZL through 5′-Half-tRNA,crispr,2009,RNA modifications and cancer,future_top_decile,field_year3,58
crispr::https://openalex.org/W2062344134,Mammalian Small Nucleolar RNAs Are Mobile Genetic Elements,crispr,2006,Chromosomal and Genetic Variations,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2125022130,A genome-wide analysis of C/D and H/ACA-like small nucleolar RNAs in <i>Trypanosoma brucei</i> reveals a trypanosome-specific pattern of rRNA modification,crispr,2005,RNA modifications and cancer,future_top_decile,field_year3,65
crispr::https://openalex.org/W2134548871,"Small nucleolar RNAs that guide modification in trypanosomatids: repertoire, targets, genome organisation, and unique functions",crispr,2004,RNA modifications and cancer,future_top_decile,field_year3,59
crispr::https://openalex.org/W1990591051,Evidence for U-tail Stabilization of gRNA/mRNA Interactions in Kinetoplastid RNA Editing,crispr,2004,RNA and protein synthesis mechanisms,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2062280978,"The Small, Slow and Specialized CRISPR and Anti-CRISPR of Escherichia and Salmonella",crispr,2010,CRISPR and Genetic Engineering,future_top_decile,field_year,103
crispr::https://openalex.org/W2127391962,CRISPR Recognition Tool (CRT): a tool for automatic detection of clustered regularly \ninterspaced palindromic repeats,crispr,2007,CRISPR and Genetic Engineering,future_top_decile,field_year3,99
crispr::https://openalex.org/W1991772727,Modification of Sm small nuclear RNAs occurs in the nucleoplasmic Cajal body following import from the cytoplasm,crispr,2003,RNA modifications and cancer,future_top_decile,field_all_years,95
crispr::https://openalex.org/W2136645624,Interactions of mRNAs and gRNAs involved in trypanosome mitochondrial RNA editing: Structure probing of a gRNA bound to its cognate mRNA,crispr,2006,Trypanosoma species research and implications,future_top_decile,field_year3,60
crispr::https://openalex.org/W2033713984,"The tRNAscan-SE, snoscan and snoGPS web servers for the detection of tRNAs and snoRNAs",crispr,2005,RNA modifications and cancer,future_top_decile,field_year3,65
crispr::https://openalex.org/W4212941976,MicroRNAs in plants,crispr,2002,Plant Molecular Biology Research,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2033704741,Guide RNAs with 5′ Caps and Novel Box C/D snoRNA-like Domains for Modification of snRNAs in Metazoa,crispr,2004,RNA modifications and cancer,future_top_decile,field_year3,59
crispr::https://openalex.org/W2101607974,Arginine methylation regulates mitochondrial gene expression in <i>Trypanosoma brucei</i> through multiple effector proteins,crispr,2006,Cancer-related gene regulation,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2134023754,PILER-CR: Fast and accurate identification of CRISPR repeats,crispr,2007,CRISPR and Genetic Engineering,future_top_decile,field_year3,99
crispr::https://openalex.org/W2093933502,Erwinia amylovora CRISPR Elements Provide New Tools for Evaluating Strain Diversity and for Microbial Source Tracking,crispr,2012,Plant Pathogenic Bacteria Studies,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2020255631,Argonaute: a scaffold for the function of short regulatory RNAs,crispr,2006,RNA and protein synthesis mechanisms,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2123965484,"A putative RNA-interference-based immune system in prokaryotes: computational analysis of the predicted enzymatic machinery, functional analogies with eukaryotic RNAi, and hypothetical mechanisms of action",crispr,2006,Bacterial Genetics and Biotechnology,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2172072644,"hNaf1 is required for accumulation of human box H/ACA snoRNPs, scaRNPs, and telomerase",crispr,2006,"Telomeres, Telomerase, and Senescence",future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2163997753,Small Nucleolar RNA Clusters in Trypanosomatid Leptomonas collosoma,crispr,2004,Plant Virus Research Studies,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2043610929,Comparative genomic analyses of Streptococcus mutans provide insights into chromosomal shuffling and species-specific content,crispr,2009,Oral microbiology and periodontitis research,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2110277124,"Identification, cloning, and functional analysis of the human U6 snRNA-specific terminal uridylyl transferase",crispr,2006,RNA modifications and cancer,future_top_decile,field_year3,78
crispr::https://openalex.org/W2146180278,Slicer function of <i>Drosophila</i> Argonautes and its involvement in RISC formation,crispr,2005,RNA Research and Splicing,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2064904514,Identification of 13 novel human modification guide RNAs,crispr,2003,RNA modifications and cancer,future_top_decile,field_all_years,95
crispr::https://openalex.org/W2138215612,"TbAGO1, an Argonaute protein required for RNA interference, is involved in mitosis and chromosome segregation in Trypanosoma brucei",crispr,2003,Trypanosoma species research and implications,future_top_decile,field_all_years,79
crispr::https://openalex.org/W2126377820,HIV-l and the microRNA-guided silencing pathway: An intricate and multifaceted encounter,crispr,2006,RNA Interference and Gene Delivery,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2048227919,Eukaryote-Specific Insertion Elements Control Human ARGONAUTE Slicer Activity,crispr,2013,RNA and protein synthesis mechanisms,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W1998362213,"A novel link between Campylobacter jejuni bacteriophage defence, virulence and Guillain–Barré syndrome",crispr,2012,Bacteriophages and microbial interactions,future_top_decile,field_all_years,55
crispr::https://openalex.org/W1976290779,"Genome Analyses of Icelandic Strains of<i>Sulfolobus islandicus</i>, Model Organisms for Genetic and Virus-Host Interaction Studies",crispr,2011,Bacteriophages and microbial interactions,future_top_decile,field_year3,51
crispr::https://openalex.org/W1993717431,Small Cajal Body–specific RNAs of<i>Drosophila</i>Function in the Absence of Cajal Bodies,crispr,2009,RNA Research and Splicing,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2102292691,Structure of yeast Argonaute with guide RNA,crispr,2012,RNA and protein synthesis mechanisms,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2000195233,TRUE Gene Silencing : Unique Gene Silencing by the tRNA Maturase tRNase ZL under the Direction of Small-guide RNA,crispr,2007,Cancer-related gene regulation,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2153474831,Structural Biology of RNA Silencing and Its Functional Implications,crispr,2006,RNA Interference and Gene Delivery,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2108038926,Engineered red blood cells as carriers for systemic delivery of a wide array of functional probes,crispr,2014,RNA Interference and Gene Delivery,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2098085279,Prokaryotic homologs of Argonaute proteins are predicted to function as key components of a novel system of defense against mobile genetic elements,crispr,2009,RNA Research and Splicing,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2095091370,Biogenesis and Intranuclear Trafficking of Human Box C/D and H/ACA RNPs,crispr,2006,RNA modifications and cancer,future_top_decile,field_year3,78
crispr::https://openalex.org/W2114838239,TAL Effector-Nucleotide Targeter (TALE-NT) 2.0: tools for TAL effector design and target prediction,crispr,2012,Plant Virus Research Studies,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2157413902,CRISPRcompar: a website to compare clustered regularly interspaced short palindromic repeats,crispr,2008,CRISPR and Genetic Engineering,future_top_decile,field_year,50
crispr::https://openalex.org/W2169244146,CRISPR Provides Acquired Resistance Against Viruses in Prokaryotes,crispr,2007,Bacteriophages and microbial interactions,future_top_decile,field_all_years,55
crispr::https://openalex.org/W2010791234,Perspective: machines for RNAi,crispr,2005,RNA Interference and Gene Delivery,future_top_decile,all_non_landmark,5920
crispr::https://openalex.org/W2080884018,Deficiency of the tRNA Tyr :Ψ35-synthase aPus7 in Archaea of the Sulfolobales order might be rescued by the H/ACA sRNA-guided machinery,crispr,2009,RNA modifications and cancer,future_top_decile,field_year3,58
