community,label,x,y
0,3D Printing in Biomedical Research,-0.0470435835151938,0.0003051234384475
1,ATP Synthase and ATPases Research,0.4802977719092731,0.8279759915541814
2,Academic Publishing and Open Access,0.9765872864423476,-0.0080470497147534
3,Academic and Historical Perspectives in Psychology,0.3198039578418992,0.7319357048279749
4,Accounting Education and Careers,0.3871693210858722,0.6633718541252465
5,Acne and Rosacea Treatments and Effects,-0.1315255393117805,0.0137448642618121
6,Acoustic Wave Resonator Technologies,-0.753524341587221,0.6201354800057214
7,Actinomycetales infections and treatment,-0.1094498789072677,0.1535909544099247
8,Acupuncture Treatment Research Studies,-0.6837220185786471,-0.3948781722418112
9,Acute Myeloid Leukemia Research,0.0436637953175168,-0.0746113288144277
10,Adipose Tissue and Metabolism,0.0694902236803516,-0.0818298688302924
11,Administrative Law and Governance,-0.324095713008021,0.9005025630501259
12,Advanced Breast Cancer Therapies,0.0394026135897977,0.0975974027274043
13,Advanced Chemical Physics Studies,0.2402679013364608,0.8470585041043218
14,Advanced Data Compression Techniques,-0.9046878781112532,0.4461303496629419
15,Advanced Data Storage Technologies,0.5259429230167993,-0.8203811455672875
16,Advanced Database Systems and Queries,0.7510106678801137,0.0917383374391711
17,Advanced Drug Delivery Systems,-0.0402749826362431,0.9410152481689216
18,Advanced Fluorescence Microscopy Techniques,-0.0479704358919116,-0.044066499970755
19,Advanced MRI Techniques and Applications,0.6025591170269899,-0.4075884840002318
20,Advanced Mathematical Theories and Applications,-0.0669118325113602,0.1167859421747621
21,Advanced Measurement and Detection Methods,0.7950449781281035,-0.439699817084806
22,Advanced Multi-Objective Optimization Algorithms,-0.1708521116716949,-0.7256045237533809
23,Advanced Nanomaterials in Catalysis,-0.1164504631664874,0.1489270183657516
24,Advanced Proteomics Techniques and Applications,-0.0474043398746015,-0.0810475676499893
25,Advanced Statistical Process Monitoring,0.7022296728686146,0.20078615196878
26,Advanced Surface Polishing Techniques,-0.6519981544326663,-0.7084602650560887
27,Advanced Text Analysis Techniques,-0.188823472492059,-0.0757778841202959
28,Advanced Theoretical and Applied Studies in Material Sciences and Geometry,0.8466441144381042,0.377279122639421
29,Advanced Topics in Algebra,-0.1922714900393574,0.0685935749794805
30,Advanced biosensing and bioanalysis techniques,-0.0364730826508622,0.0161312763234551
31,Advancements in Transdermal Drug Delivery,0.7634161733434792,-0.1291734784824206
32,Advances in Cucurbitaceae Research,-0.6799970448991499,-0.5495916909720864
33,Aerogels and thermal insulation,0.0088055434292775,0.7821687765600751
34,"Aging, Health, and Disability",0.8106068709663625,0.5568838516425392
35,Agricultural Science and Fertilization,-0.0120744725210181,-0.8870823314673784
36,Agricultural and Biological Research,0.8466891834050463,-0.1913769610897251
37,Agricultural and Environmental Management,-0.4907632307917472,0.7631428938963735
38,Agricultural and Food Production Studies,-0.7482404205954876,-0.4942353866287053
39,Agriculture and Rural Development Research,0.605581281299439,0.4251416882146128
40,Air Traffic Management and Optimization,0.8977432106502082,-0.039759050420538
41,Algal biology and biofuel production,-0.0221121903810942,0.0265552868282751
42,Algebraic Geometry and Number Theory,-0.5886523472658268,-0.6251165659783605
43,Algorithms and Data Compression,-0.2394235195405142,-0.7587500573427748
44,Aluminum Alloy Microstructure Properties,0.833822501390382,-0.5728780632361794
45,Alzheimer's disease research and treatments,0.0023127410462068,0.0659742676699665
46,American Political and Social Dynamics,-0.6687232015292108,-0.7389709055748219
47,"Amyloidosis: Diagnosis, Treatment, Outcomes",-0.0581973150472001,-0.0053365018065912
48,Amyotrophic Lateral Sclerosis Research,0.0003961322878456,0.048430845608154
49,Anaerobic Digestion and Biogas Production,-0.0813773351775056,-0.0040542055048409
50,Analytical chemistry methods development,0.2959047485176491,0.8564055338859288
51,Ancient Egypt and Archaeology,-0.4728049980770873,-0.5850418592265875
52,Ancient and Medieval Archaeology Studies,0.6907846127674001,-0.5319662724239218
53,Angiogenesis and VEGF in Cancer,-0.0422183642061826,0.1184970899819285
54,Animal Behavior and Reproduction,-0.4711652213645917,-0.8229223026392863
55,Animal Behavior and Welfare Studies,0.5289164530727049,-0.6665854983877286
56,Animal Disease Management and Epidemiology,-0.0798533345524113,0.0125852938883361
57,Animal Genetics and Reproduction,-0.027933561150773,0.0449763759723981
58,Animal Law and Welfare,-0.6061751280552738,0.5434568518095828
59,Animal Nutrition and Physiology,0.585289317214084,-0.5899769831163226
60,Animal Virus Infections Studies,-0.086591614384455,0.022680860909782
61,Antibiotic Resistance in Bacteria,-0.0368481005108619,-0.0423003859080306
62,Antifungal resistance and susceptibility,0.0160507879140041,0.0491001795008381
63,Antimicrobial Peptides and Activities,-0.1120441584680779,0.0820520914770577
64,Antimicrobial Resistance in Staphylococcus,-0.0474353541804339,0.0511185207659221
65,Antioxidant Activity and Oxidative Stress,-0.066092920725913,-0.037727676060561
66,Aquaculture Nutrition and Growth,-0.5982770137872382,-0.7389313166440127
67,Aquaculture disease management and microbiota,-0.0183194178327829,-0.0416994714822222
68,Aquatic life and conservation,0.835440300226801,0.4244193303872217
69,Archaeological and Geological Studies,-0.278350459865785,0.757318699919117
70,Archaeological and Historical Studies,0.0854448542178824,-0.087176864901693
71,Archaeology and Cultural Heritage,0.3814928927921072,-0.9177501783661016
72,Archaeology and Rock Art Studies,-0.2470313485226017,-0.7833298443465313
73,"Architecture, Art, Education",-0.4733902284641654,-0.6367677528668289
74,"Architecture, Design, and Social History",0.0129587980371456,-0.1671370672946449
75,Arctic and Russian Policy Studies,0.311597054714705,-0.910946086905236
76,"Art, Politics, and Modernism",0.1745790946515437,-0.8236569397049347
77,"Arts, Culture, and Music Studies",0.0263091698728036,-0.7335511298413632
78,Asphalt Pavement Performance Evaluation,-0.8192635883265352,0.0443638823895572
79,Astro and Planetary Science,-0.6647994454706467,-0.639494650545889
80,Astrophysics and Cosmic Phenomena,0.7823498769785984,-0.1676445139104571
81,Atherosclerosis and Cardiovascular Diseases,0.0241514226250326,0.1216571381470973
82,Atmospheric and Environmental Gas Dynamics,0.749194719686556,0.5442597397606084
83,Attention Deficit Hyperactivity Disorder,0.4248784227793046,-0.8352267398880896
84,Auction Theory and Applications,0.8476441557736942,0.1823016662681254
85,Augmented Reality Applications,0.8208600569213436,0.1448836383910476
86,Australian History and Society,-0.6925100947338338,0.7515384879839418
87,Authorship Attribution and Profiling,-0.815561408888322,0.4390152969403605
88,Autism Spectrum Disorder Research,-0.0149296026195131,-0.0923581468114117
89,Autoimmune and Inflammatory Disorders Research,-0.0917759177708703,-0.0368202411471184
90,Automotive and Human Injury Biomechanics,-0.6214781341934595,0.4348346115955595
91,Autophagy in Disease and Therapy,-0.087441232646493,0.0422697271792464
92,Aviation Industry Analysis and Trends,-0.86822686496038,-0.246352681923293
93,Axon Guidance and Neuronal Signaling,0.0109734661058102,-0.1181514569231462
94,BRCA gene mutations in cancer,-0.8452801867683715,-0.085970536967918
95,Bacillus and Francisella bacterial research,-0.0589356580216909,0.0027598204251194
96,Bacterial Genetics and Biotechnology,-0.0470634236076825,0.0091537963725505
97,Bacterial Identification and Susceptibility Testing,0.0685499538907806,-0.0443465581762846
98,Bacterial Infections and Vaccines,0.0325844161957003,-0.0434515220356832
99,Bacterial biofilms and quorum sensing,0.0091728646756246,0.0173576726003373
100,Bacteriophages and microbial interactions,-0.0381894868303475,0.0115559143903953
101,Banana Cultivation and Research,-0.0458887242491997,0.0421390149604919
102,Barrier Structure and Function Studies,0.0571605451825209,-0.0348996293295229
103,Basque language and culture studies,-0.1093445173004789,0.0420743787703553
104,Bayesian Methods and Mixture Models,-0.1472829593470458,0.1906507557711613
105,Behavioral Health and Interventions,-0.6219072232817534,0.6065435187364286
106,Bioactive Natural Diterpenoids Research,-0.4546052357276494,0.8660072917660832
107,Biochemical and Molecular Research,-0.0254856693494572,-0.0433011158413167
108,Biochemical and biochemical processes,0.0603134782994312,-0.0065246318539574
109,Biodiesel Production and Applications,-0.7033227453352212,-0.4922176150982099
110,Biofuel production and bioconversion,-0.0807490152566485,-0.0172545422543819
111,Bioinformatics and Genomic Networks,-0.0013412044782818,-0.0344114033712253
112,Biomedical Ethics and Regulation,-0.5453777684013419,0.6571589295942545
113,Biopolymer Synthesis and Applications,-0.5009109958706364,-0.5613425272632687
114,Biosensors and Analytical Detection,-0.0192888661960078,-0.0023527610969933
115,Biotechnology and Related Fields,-0.4168080172029486,-0.6975727485026352
116,"Birth, Development, and Health",-0.9134663558818592,0.034845479891713
117,Black Holes and Theoretical Physics,0.7165619207721196,-0.3007174543839598
118,Bone Metabolism and Diseases,0.0259600809822601,0.1161522554641425
119,Botanical Research and Chemistry,-0.4513136023372066,0.7027312439022814
120,Brazilian cultural history and politics,-0.0100594325443841,0.8634126608143107
121,Building Energy and Comfort Optimization,-0.0138775200044162,0.021036344323746
122,"Bullying, Victimization, and Aggression",-0.9487920118432892,0.2545841929861794
123,Burkholderia infections and melioidosis,-0.0746531128147373,-0.0862266075728184
124,Business Process Modeling and Analysis,-0.8335641193274977,-0.5405489454033781
