source,target
https://openalex.org/W2059611774,https://openalex.org/W2014935324
https://openalex.org/W2059611774,https://openalex.org/W2037786012
https://openalex.org/W2059611774,https://openalex.org/W2058122340
https://openalex.org/W2059611774,https://openalex.org/W2101977779
https://openalex.org/W2059611774,https://openalex.org/W2138159532
https://openalex.org/W2039784110,https://openalex.org/W1508109752
https://openalex.org/W2039784110,https://openalex.org/W1760544772
https://openalex.org/W2039784110,https://openalex.org/W1842700753
https://openalex.org/W2039784110,https://openalex.org/W1965319603
https://openalex.org/W2039784110,https://openalex.org/W1979930791
https://openalex.org/W2039784110,https://openalex.org/W1980776424
https://openalex.org/W2039784110,https://openalex.org/W1986570185
https://openalex.org/W2039784110,https://openalex.org/W1997362608
https://openalex.org/W2039784110,https://openalex.org/W2012373131
https://openalex.org/W2039784110,https://openalex.org/W2014935324
https://openalex.org/W2039784110,https://openalex.org/W2021788613
https://openalex.org/W2039784110,https://openalex.org/W2025570297
https://openalex.org/W2039784110,https://openalex.org/W2041435048
https://openalex.org/W2039784110,https://openalex.org/W2042954971
https://openalex.org/W2039784110,https://openalex.org/W2043826711
https://openalex.org/W2039784110,https://openalex.org/W2052976411
https://openalex.org/W2039784110,https://openalex.org/W2054921835
https://openalex.org/W2039784110,https://openalex.org/W2055172486
https://openalex.org/W2039784110,https://openalex.org/W2058122340
https://openalex.org/W2039784110,https://openalex.org/W2060724751
https://openalex.org/W2039784110,https://openalex.org/W2062712520
https://openalex.org/W2039784110,https://openalex.org/W2069903160
https://openalex.org/W2039784110,https://openalex.org/W2076037500
https://openalex.org/W2039784110,https://openalex.org/W2077119631
https://openalex.org/W2039784110,https://openalex.org/W2079332515
https://openalex.org/W2039784110,https://openalex.org/W2079480403
https://openalex.org/W2039784110,https://openalex.org/W2082472058
https://openalex.org/W2039784110,https://openalex.org/W2084199949
https://openalex.org/W2039784110,https://openalex.org/W2087980253
https://openalex.org/W2039784110,https://openalex.org/W2088614068
https://openalex.org/W2039784110,https://openalex.org/W2095122888
https://openalex.org/W2039784110,https://openalex.org/W2095238241
https://openalex.org/W2039784110,https://openalex.org/W2118492507
https://openalex.org/W2039784110,https://openalex.org/W2123510746
https://openalex.org/W2039784110,https://openalex.org/W2125284466
https://openalex.org/W2039784110,https://openalex.org/W2137405619
https://openalex.org/W2039784110,https://openalex.org/W2147941425
https://openalex.org/W2039784110,https://openalex.org/W2148226925
https://openalex.org/W2039784110,https://openalex.org/W2155422709
https://openalex.org/W2039784110,https://openalex.org/W2156495040
https://openalex.org/W2039784110,https://openalex.org/W2169767991
https://openalex.org/W2039784110,https://openalex.org/W2170068899
https://openalex.org/W2039784110,https://openalex.org/W2172257011
https://openalex.org/W2039784110,https://openalex.org/W2255475807
https://openalex.org/W2059759061,https://openalex.org/W1988846772
https://openalex.org/W2059759061,https://openalex.org/W1998050200
https://openalex.org/W2059759061,https://openalex.org/W2005203920
https://openalex.org/W2059759061,https://openalex.org/W2010971702
https://openalex.org/W2059759061,https://openalex.org/W2014935324
https://openalex.org/W2059759061,https://openalex.org/W2015673981
https://openalex.org/W2059759061,https://openalex.org/W2028717487
https://openalex.org/W2059759061,https://openalex.org/W2038326657
https://openalex.org/W2059759061,https://openalex.org/W2039892357
https://openalex.org/W2059759061,https://openalex.org/W2046758551
https://openalex.org/W2059759061,https://openalex.org/W2052199607
https://openalex.org/W2059759061,https://openalex.org/W2058122340
https://openalex.org/W2059759061,https://openalex.org/W2072836371
https://openalex.org/W2059759061,https://openalex.org/W2087638855
https://openalex.org/W2059759061,https://openalex.org/W2088069933
https://openalex.org/W2059759061,https://openalex.org/W2099779584
https://openalex.org/W2059759061,https://openalex.org/W2102415385
https://openalex.org/W2059759061,https://openalex.org/W2108376819
https://openalex.org/W2059759061,https://openalex.org/W2120041335
https://openalex.org/W2059759061,https://openalex.org/W2120819722
https://openalex.org/W2059759061,https://openalex.org/W2125612486
https://openalex.org/W2059759061,https://openalex.org/W2125631448
https://openalex.org/W2059759061,https://openalex.org/W2128976858
https://openalex.org/W2059759061,https://openalex.org/W2136334331
https://openalex.org/W2059759061,https://openalex.org/W2152832683
https://openalex.org/W2059759061,https://openalex.org/W2161538601
https://openalex.org/W2059759061,https://openalex.org/W2169767991
https://openalex.org/W2059759061,https://openalex.org/W4229601930
https://openalex.org/W3101414103,https://openalex.org/W1757987097
https://openalex.org/W3101414103,https://openalex.org/W1991487493
https://openalex.org/W1981061654,https://openalex.org/W1964391885
https://openalex.org/W1981061654,https://openalex.org/W2003527655
https://openalex.org/W1981061654,https://openalex.org/W2014935324
https://openalex.org/W1981061654,https://openalex.org/W2023233160
https://openalex.org/W1981061654,https://openalex.org/W2045372895
https://openalex.org/W1981061654,https://openalex.org/W2058122340
https://openalex.org/W1981061654,https://openalex.org/W2060009331
https://openalex.org/W1981061654,https://openalex.org/W2093844373
https://openalex.org/W1981061654,https://openalex.org/W2110835769
https://openalex.org/W1981061654,https://openalex.org/W2131413613
https://openalex.org/W1981061654,https://openalex.org/W2136334331
https://openalex.org/W1981061654,https://openalex.org/W2138159532
https://openalex.org/W1981061654,https://openalex.org/W2148226925
https://openalex.org/W1981061654,https://openalex.org/W2148736366
https://openalex.org/W1981061654,https://openalex.org/W2169767991
https://openalex.org/W1981061654,https://openalex.org/W3103999162
https://openalex.org/W1982250527,https://openalex.org/W1987112649
https://openalex.org/W2032864111,https://openalex.org/W2027281151
https://openalex.org/W2032864111,https://openalex.org/W2058122340
https://openalex.org/W2032864111,https://openalex.org/W2068824512
https://openalex.org/W2032864111,https://openalex.org/W2102415385
https://openalex.org/W2032864111,https://openalex.org/W2118492507
https://openalex.org/W2032864111,https://openalex.org/W2125284466
https://openalex.org/W2032864111,https://openalex.org/W2155422709
https://openalex.org/W1986410538,https://openalex.org/W2009053027
https://openalex.org/W1986410538,https://openalex.org/W2020306845
https://openalex.org/W1986410538,https://openalex.org/W2023297050
https://openalex.org/W1986410538,https://openalex.org/W2023318824
https://openalex.org/W1986410538,https://openalex.org/W2030150889
https://openalex.org/W1986410538,https://openalex.org/W2069494184
https://openalex.org/W1986410538,https://openalex.org/W2108567026
https://openalex.org/W1986410538,https://openalex.org/W2153110626
https://openalex.org/W2065819992,https://openalex.org/W1972065627
https://openalex.org/W2065819992,https://openalex.org/W1980419364
https://openalex.org/W2065819992,https://openalex.org/W1984473516
https://openalex.org/W2065819992,https://openalex.org/W1985167115
https://openalex.org/W2065819992,https://openalex.org/W2014935324
https://openalex.org/W2065819992,https://openalex.org/W2018652376
https://openalex.org/W2065819992,https://openalex.org/W2019460060
https://openalex.org/W2065819992,https://openalex.org/W2029285107
https://openalex.org/W2065819992,https://openalex.org/W2030677057
https://openalex.org/W2065819992,https://openalex.org/W2072214543
https://openalex.org/W2065819992,https://openalex.org/W2080770744
https://openalex.org/W2065819992,https://openalex.org/W2082540105
https://openalex.org/W2065819992,https://openalex.org/W2094733040
https://openalex.org/W2065819992,https://openalex.org/W2099779584
https://openalex.org/W2065819992,https://openalex.org/W2101977779
https://openalex.org/W2065819992,https://openalex.org/W2102415385
https://openalex.org/W2065819992,https://openalex.org/W2169767991
https://openalex.org/W2134233006,https://openalex.org/W2057008393
https://openalex.org/W2134233006,https://openalex.org/W2058122340
https://openalex.org/W2134233006,https://openalex.org/W2121772044
https://openalex.org/W2134233006,https://openalex.org/W2135222968
https://openalex.org/W2134233006,https://openalex.org/W2476433526
https://openalex.org/W2051729048,https://openalex.org/W1535106284
https://openalex.org/W2051729048,https://openalex.org/W1965148167
https://openalex.org/W2051729048,https://openalex.org/W1968962150
https://openalex.org/W2051729048,https://openalex.org/W1977087560
https://openalex.org/W2051729048,https://openalex.org/W1982556384
https://openalex.org/W2051729048,https://openalex.org/W1995622101
https://openalex.org/W2051729048,https://openalex.org/W1996602005
https://openalex.org/W2051729048,https://openalex.org/W1999329025
https://openalex.org/W2051729048,https://openalex.org/W2010196525
https://openalex.org/W2051729048,https://openalex.org/W2012304502
https://openalex.org/W2051729048,https://openalex.org/W2014935324
https://openalex.org/W2051729048,https://openalex.org/W2020868140
https://openalex.org/W2051729048,https://openalex.org/W2023792996
https://openalex.org/W2051729048,https://openalex.org/W2026017706
https://openalex.org/W2051729048,https://openalex.org/W2030628997
https://openalex.org/W2051729048,https://openalex.org/W2033393366
https://openalex.org/W2051729048,https://openalex.org/W2038326657
https://openalex.org/W2051729048,https://openalex.org/W2045416062
https://openalex.org/W2051729048,https://openalex.org/W2056804942
https://openalex.org/W2051729048,https://openalex.org/W2069520391
https://openalex.org/W2051729048,https://openalex.org/W2087638855
https://openalex.org/W2051729048,https://openalex.org/W2087899039
https://openalex.org/W2051729048,https://openalex.org/W2088434378
https://openalex.org/W2051729048,https://openalex.org/W2108680877
https://openalex.org/W2051729048,https://openalex.org/W2121500372
https://openalex.org/W2051729048,https://openalex.org/W2154039104
https://openalex.org/W2051729048,https://openalex.org/W2169767991
https://openalex.org/W2022041481,https://openalex.org/W1576348190
https://openalex.org/W2022041481,https://openalex.org/W1965319603
https://openalex.org/W2022041481,https://openalex.org/W1991983698
https://openalex.org/W2022041481,https://openalex.org/W1995989011
https://openalex.org/W2022041481,https://openalex.org/W2014935324
https://openalex.org/W2022041481,https://openalex.org/W2061557594
https://openalex.org/W2022041481,https://openalex.org/W2077969050
https://openalex.org/W2022041481,https://openalex.org/W2088321686
https://openalex.org/W2022041481,https://openalex.org/W2099452508
https://openalex.org/W2022041481,https://openalex.org/W2105908053
https://openalex.org/W2022041481,https://openalex.org/W2154054997
https://openalex.org/W2022041481,https://openalex.org/W3098586357
https://openalex.org/W2022041481,https://openalex.org/W3101195342
https://openalex.org/W2022041481,https://openalex.org/W4211172053
https://openalex.org/W2026971412,https://openalex.org/W2028390359
https://openalex.org/W2117092799,https://openalex.org/W2007195468
https://openalex.org/W2117092799,https://openalex.org/W2010831213
https://openalex.org/W2117092799,https://openalex.org/W2021994802
https://openalex.org/W2117092799,https://openalex.org/W2058137697
https://openalex.org/W2117092799,https://openalex.org/W2108114741
https://openalex.org/W2117092799,https://openalex.org/W2157876253
https://openalex.org/W2117092799,https://openalex.org/W2170539287
https://openalex.org/W2117092799,https://openalex.org/W2325211342
https://openalex.org/W2117092799,https://openalex.org/W2335685603
https://openalex.org/W2117092799,https://openalex.org/W2963786698
https://openalex.org/W2023320283,https://openalex.org/W1970447974
https://openalex.org/W2023320283,https://openalex.org/W2004277091
https://openalex.org/W2023320283,https://openalex.org/W2014935324
https://openalex.org/W2023320283,https://openalex.org/W2049923364
https://openalex.org/W2023320283,https://openalex.org/W2058122340
https://openalex.org/W2023320283,https://openalex.org/W2074684620
https://openalex.org/W2023320283,https://openalex.org/W2099779584
https://openalex.org/W2023320283,https://openalex.org/W2112304948
https://openalex.org/W2023320283,https://openalex.org/W3102587486
https://openalex.org/W2139628292,https://openalex.org/W1966681574
https://openalex.org/W2139628292,https://openalex.org/W1968867224
https://openalex.org/W2139628292,https://openalex.org/W1975233440
https://openalex.org/W2139628292,https://openalex.org/W2003582248
https://openalex.org/W2139628292,https://openalex.org/W2014935324
https://openalex.org/W2139628292,https://openalex.org/W2018809718
https://openalex.org/W2139628292,https://openalex.org/W2021399517
https://openalex.org/W2139628292,https://openalex.org/W2025456766
https://openalex.org/W2139628292,https://openalex.org/W2034103944
https://openalex.org/W2139628292,https://openalex.org/W2044813093
https://openalex.org/W2139628292,https://openalex.org/W2058122340
https://openalex.org/W2139628292,https://openalex.org/W2086657760
https://openalex.org/W2139628292,https://openalex.org/W2086687715
https://openalex.org/W2139628292,https://openalex.org/W2087638855
https://openalex.org/W2139628292,https://openalex.org/W2094624655
https://openalex.org/W2139628292,https://openalex.org/W2101977779
https://openalex.org/W2139628292,https://openalex.org/W2102415385
https://openalex.org/W2139628292,https://openalex.org/W2108376819
https://openalex.org/W2139628292,https://openalex.org/W2125612486
https://openalex.org/W2139628292,https://openalex.org/W2134233006
https://openalex.org/W2139628292,https://openalex.org/W2148144129
https://openalex.org/W2139628292,https://openalex.org/W2149070465
https://openalex.org/W2139628292,https://openalex.org/W2164856334
https://openalex.org/W2139628292,https://openalex.org/W2169767991
https://openalex.org/W2021319645,https://openalex.org/W2039494114
https://openalex.org/W2021319645,https://openalex.org/W2048345250
https://openalex.org/W2021319645,https://openalex.org/W2051662192
https://openalex.org/W2021319645,https://openalex.org/W2067772603
https://openalex.org/W2021319645,https://openalex.org/W2069395957
https://openalex.org/W2145174799,https://openalex.org/W1994353555
https://openalex.org/W2145174799,https://openalex.org/W1997742207
https://openalex.org/W2145174799,https://openalex.org/W2012805470
https://openalex.org/W2145174799,https://openalex.org/W2056419728
https://openalex.org/W2145174799,https://openalex.org/W2079860052
https://openalex.org/W2145174799,https://openalex.org/W2099454026
https://openalex.org/W2145174799,https://openalex.org/W2135779548
https://openalex.org/W2145174799,https://openalex.org/W2147405339
https://openalex.org/W2044285822,https://openalex.org/W1973518159
https://openalex.org/W2044285822,https://openalex.org/W1989563826
https://openalex.org/W2044285822,https://openalex.org/W2000105557
https://openalex.org/W2044285822,https://openalex.org/W2010197973
https://openalex.org/W2044285822,https://openalex.org/W2010971702
https://openalex.org/W2044285822,https://openalex.org/W2042454875
https://openalex.org/W2044285822,https://openalex.org/W2055141604
https://openalex.org/W2044285822,https://openalex.org/W2061436813
https://openalex.org/W2044285822,https://openalex.org/W2065062234
https://openalex.org/W2044285822,https://openalex.org/W2067944391
https://openalex.org/W2044285822,https://openalex.org/W2068308573
https://openalex.org/W2044285822,https://openalex.org/W2085198296
https://openalex.org/W2044285822,https://openalex.org/W2095964024
