source_community,target_community,weight
0,14,3
0,19,4
0,21,5
0,27,4
0,28,7
0,32,3
0,43,44
0,47,5
0,56,12
0,61,64
0,63,2
0,83,2
0,91,9
0,131,9
0,144,17
0,145,2
0,150,99
0,152,1
0,157,76
0,158,10
0,176,1
0,195,16
0,206,9
0,228,4
0,248,1
0,276,155
0,278,9
0,287,8
0,311,1
0,315,6
0,322,3
0,328,31
0,334,7
0,335,19
0,340,1
0,345,73
0,370,3
0,372,12
0,373,2478
0,374,2
0,393,1
0,417,2
0,418,1
0,440,7
0,441,4
0,455,2
0,458,3
0,477,2
0,487,2
0,495,6
0,499,78
0,500,1
0,503,1
0,524,8
0,547,40
0,572,26
0,577,1
0,586,3
0,603,6
0,624,4
0,626,9
0,627,12
0,630,3
0,657,32
0,661,21
0,673,49
0,685,2
0,699,4
0,703,1
0,752,10
0,757,4
0,770,2
0,787,40
0,792,5
0,796,2
0,804,1
0,810,8
0,812,13
0,817,1
0,819,5
0,825,5
0,828,1
0,859,2
0,866,16
14,544,1
14,547,2
16,56,1
16,60,1
16,208,1
16,277,1
16,372,5
16,373,30
16,585,2
16,787,1
17,373,6
19,38,1
19,43,1
19,61,16
19,157,1
19,195,1
19,322,1
19,373,19
19,572,1
19,685,1
19,752,1
19,787,11
21,0,4
21,144,2
21,150,13
21,154,2
21,157,2
21,215,1
21,276,1
21,285,1
21,316,1
21,328,1
21,373,4
21,547,2
21,572,2
21,796,1
21,813,1
27,373,19
27,572,1
28,0,21
28,144,6
28,345,1
28,373,104
28,374,2
28,455,1
28,499,4
28,524,1
28,603,6
28,673,1
28,787,1
32,0,1
32,328,2
32,792,1
33,47,1
33,144,2
33,155,1
33,372,2
33,373,51
33,624,1
33,787,3
37,144,1
37,373,13
37,787,1
38,19,1
38,373,6
38,787,1
39,56,1
39,278,1
39,372,2
39,373,6
39,787,1
43,0,48
43,19,1
43,39,1
43,56,5
43,61,71
43,64,1
43,83,1
43,131,2
43,144,5
43,145,11
43,150,15
43,153,2
43,157,6
43,195,4
43,202,2
43,206,3
43,276,112
43,278,12
43,285,1
43,315,1
43,334,3
43,340,1
43,345,3
43,372,43
43,373,619
43,417,1
43,477,1
43,495,1
43,497,1
43,499,3
43,524,3
43,540,1
43,543,1
43,547,2
43,548,2
43,572,4
43,603,1
43,624,6
43,657,1
43,664,1
43,673,2
43,699,7
43,752,2
43,787,67
43,817,4
43,862,2
46,827,1
47,0,11
47,28,2
47,33,1
47,43,4
47,56,4
47,61,7
47,144,5
47,158,1
47,195,2
47,276,1
47,328,2
47,340,1
47,345,2
47,372,3
47,373,208
47,488,1
47,524,1
47,572,1
47,589,1
47,624,4
