community,label,x,y
0,14-3-3 protein interactions,0.1511649136360125,-0.0292061086670007
1,3D Printing in Biomedical Research,0.0056880174834855,0.012337362657546
2,ATP Synthase and ATPases Research,0.1622688976889155,0.0575689356674551
3,Acute Ischemic Stroke Management,0.1370572044878548,-0.0083995289880366
4,Acute Lymphoblastic Leukemia research,0.4649695313409574,0.7467987613479373
5,Acute Myeloid Leukemia Research,-0.0361249096308724,-0.0037433228555574
6,Adenosine and Purinergic Signaling,0.0748219409673667,-0.0285936298554676
7,Adipose Tissue and Metabolism,0.0122046175497292,0.0313949703651282
8,Advanced Data Storage Technologies,-0.7133750823552405,-0.4164123417472324
9,Advanced Fluorescence Microscopy Techniques,-0.0914951252419318,0.0806264413073171
10,Advanced Glycation End Products research,0.0731960817804643,-0.0395678306895963
11,Advanced MRI Techniques and Applications,-0.016193471057391,0.0635138575371607
12,Advanced NMR Techniques and Applications,-0.6335898455739533,-0.5841900058806767
13,Advanced Numerical Methods in Computational Mathematics,0.2664125651130116,0.7965697468572009
14,Advanced Proteomics Techniques and Applications,0.0070123188466603,-0.0441531343365522
15,Advanced Sensor and Energy Harvesting Materials,-0.0336779472736855,-0.1318030659979596
16,Advanced Thermodynamics and Statistical Mechanics,0.1214404894962738,-0.0047035456721694
17,Advanced biosensing and bioanalysis techniques,-0.0062195772168437,0.0754369284254929
18,Advancements in Transdermal Drug Delivery,-0.086934761277167,0.0472284402704821
19,"Aging, Health, and Disability",0.6240288851675098,-0.4881816373066925
20,Agriculture Sustainability and Environmental Impact,-0.1236714093414609,0.1052171876053473
21,Algorithms and Data Compression,0.751185713284768,-0.3861412130256457
22,Alkaline Phosphatase Research Studies,-0.017470253021932,-0.0636285588251401
23,Alkaloids: synthesis and pharmacology,-0.0460805279885985,0.1016581477491117
24,Alzheimer's disease research and treatments,0.004511817369121,0.0130735211736871
25,Amino Acid Enzymes and Metabolism,0.064499784786335,-0.061161061111471
26,Amphibian and Reptile Biology,-0.4914386395401404,-0.6208879484944838
27,"Amyloidosis: Diagnosis, Treatment, Outcomes",-0.0248896747553752,-0.0668262192991097
28,Amyotrophic Lateral Sclerosis Research,0.0115886869747269,0.0052561859043954
29,Anesthesia and Neurotoxicity Research,-0.0226516457452477,-0.0416206480884255
30,Angiogenesis and VEGF in Cancer,-0.0006363647253557,-0.0049128304458281
31,Animal Behavior and Welfare Studies,0.7984604589205514,-0.1312893780483673
32,Animal Genetics and Reproduction,-0.0177847085205208,0.0127953546613411
33,Animal testing and alternatives,-0.0391872947761094,0.0554770115179837
34,Aortic Disease and Treatment Approaches,0.0657798582249421,-0.0390593036933847
35,Apelin-related biomedical research,-0.0072996313881419,-0.0337313421176976
36,Archaeological and Geological Studies,0.809703211591112,-0.1828407755204396
37,Assisted Reproductive Technology and Twin Pregnancy,-0.0410741718860369,0.0753481648596764
38,Autism Spectrum Disorder Research,-0.0177568815374887,-0.0172962259995374
39,Autoimmune and Inflammatory Disorders Research,0.7533594778372777,0.5631861013848533
40,Autophagy in Disease and Therapy,0.0053381666312894,-0.0204589556336302
41,Avian ecology and behavior,-0.6969546078057377,0.4644221210339956
42,Axon Guidance and Neuronal Signaling,-0.059252018832803,0.0105564657573073
43,BRCA gene mutations in cancer,-0.0836967614185975,-0.1935224902693041
44,Bacterial Infections and Vaccines,0.1256188133287643,-0.0566767658444526
45,Barrier Structure and Function Studies,0.0354287727467404,0.0050090847902764
46,Bioactive Compounds and Antitumor Agents,-0.5363564242208232,-0.6161003140488668
47,Biochemical and Molecular Research,0.0268594616779994,0.0227923501863942
48,Bioenergy crop production and management,-0.1899466975897928,-0.0713892779966438
49,Bioinformatics and Genomic Networks,0.076285250181151,0.0303769407707044
50,Biomedical Ethics and Regulation,0.0256252281289181,0.0158716587303441
51,Biomedical Research and Pathophysiology,-0.0535326169981147,-0.0234948107658693
52,Biomedical and Engineering Education,-0.0075906462969996,-0.0217691051980484
53,Biotin and Related Studies,0.0323518874535735,-0.0694121548232334
54,Bipolar Disorder and Treatment,0.0180314692751928,-0.0376910955983467
55,"Birth, Development, and Health",0.0593361587576716,0.006969704926892
56,Blood Coagulation and Thrombosis Mechanisms,-0.084390861202637,-0.0706700439648446
57,Blood disorders and treatments,0.0406795746516858,0.040852982258587
58,Blood transfusion and management,-0.1064780068766224,0.0639055377729306
59,Bone Metabolism and Diseases,0.0022518817582296,0.0423228393286695
60,Bone Tissue Engineering Materials,-0.0133615784149933,0.0436858116071702
61,Bone and Dental Protein Studies,0.1430655160951429,-0.0641210382544265
62,Bone and Joint Diseases,-0.0926942387099271,-0.0507287853210595
63,Botanical Studies and Applications,0.0655315923073276,-0.0493746247353586
64,Botulinum Toxin and Related Neurological Disorders,-0.0455455646138031,0.1436250497002797
65,"Bullying, Victimization, and Aggression",0.3794253478194497,-0.7908669626055723
66,CAR-T cell therapy research,-0.0129327943562555,0.0325180946118046
67,COVID-19 Clinical Research Studies,-0.0171269732602018,0.1878047286547866
68,CRISPR and Genetic Engineering,0.0007647674521376,0.0076842732757309
69,Calcium signaling and nucleotide metabolism,-0.0450516916659826,0.082348451883426
70,Calpain Protease Function and Regulation,-0.1554238122493941,0.0057465677917069
71,Cancer Cells and Metastasis,0.0007968858512525,-0.0106263245974325
72,Cancer Genomics and Diagnostics,-0.0126613672670922,-0.0396837753996186
73,Cancer Mechanisms and Therapy,0.0019026961498076,-0.0805202659332921
74,Cancer Research and Treatments,-0.0534831453999601,-0.0961137522384955
75,Cancer Risks and Factors,0.0749958834415388,-0.1938549629607405
76,Cancer Treatment and Pharmacology,-0.0720058595807505,-0.0053723899338061
77,Cancer and Skin Lesions,0.0424945562620439,-0.8688403012032457
78,Cancer therapeutics and mechanisms,-0.1286983479418376,0.0107692327833292
79,"Cancer, Hypoxia, and Metabolism",0.0329651475985078,0.0168431959153681
80,"Cancer, Lipids, and Metabolism",0.1141251220920506,0.0369406414872901
81,"Cancer, Stress, Anesthesia, and Immune Response",-0.0769908396690991,0.025845739803468
82,Cancer-related Molecular Pathways,-0.0144066020392816,0.0167399632137509
83,Cancer-related gene regulation,-0.003320218854165,0.0453620986706785
84,Cancer-related molecular mechanisms research,-0.014259171158222,-0.0080601108523291
85,Cannabis and Cannabinoid Research,0.0224250256648452,-0.1020027063094396
86,Carcinogens and Genotoxicity Assessment,-0.5901701574881613,0.6355824491322907
87,Cardiac Fibrosis and Remodeling,-0.0549328677953458,0.0417561070135506
88,Cardiac Ischemia and Reperfusion,0.027969023530834,-0.0549269486001703
89,Cardiac Structural Anomalies and Repair,-0.0879065458234027,0.0683506315091504
90,Cardiac Valve Diseases and Treatments,-0.114286644740925,0.0088378917895917
91,Cardiac electrophysiology and arrhythmias,0.0045028774489092,0.0027927603289105
92,Cardiac tumors and thrombi,-0.2177056988836369,-0.0480703936071276
93,Cardiomyopathy and Myosin Studies,0.0092210607338927,-0.0061399297249577
94,Cardiovascular Effects of Exercise,0.0171774738476358,0.0019247083035274
95,Cardiovascular Health and Disease Prevention,-0.1295107534486557,-0.1333623817636243
96,Cardiovascular Issues in Pregnancy,-0.3858964594049192,0.7461912488709993
97,Caveolin-1 and cellular processes,-0.1439458857632833,0.1783792372958135
98,Cell Adhesion Molecules Research,-0.0084064496537926,0.0341836940645771
99,Cell Image Analysis Techniques,0.0054419452129672,-0.0361558432742683
100,Cell death mechanisms and regulation,0.0353331394531144,-0.0151701219438651
101,Cellular Mechanics and Interactions,-0.0129065801567155,0.0345842308576513
102,Cellular transport and secretion,0.0482433030898549,0.0283496073167359
103,Cephalopods and Marine Biology,-0.6547847069695315,0.5453444487460843
104,Cerebrospinal fluid and hydrocephalus,0.2067706927309512,0.0724374025428326
105,Cerebrovascular and genetic disorders,-0.1006393384355467,0.0570610440473051
106,Chemical Synthesis and Analysis,-0.3974571399225917,0.7739564129522024
