community,label,x,y
0,14-3-3 protein interactions,0.6921102869434602,-0.5524612067176791
1,3D Shape Modeling and Analysis,0.0455371415597546,-0.0056534052778705
2,3D Surveying and Cultural Heritage,0.0114041653788735,0.0502798211045735
3,AI and HR Technologies,0.0350162283306938,0.095120464325203
4,AI in Service Interactions,-0.0189539205879606,-0.0871462965298236
5,AI in cancer detection,-0.0095071594319353,-0.0282954684794831
6,AI-based Problem Solving and Planning,-0.0657109652371607,-0.0572497940247093
7,Academic integrity and plagiarism,-0.0274224111513718,-0.0371986795287157
8,Access Control and Trust,-0.7186617326772907,-0.4198015711394373
9,Acoustic Wave Phenomena Research,-0.957191709922494,-0.2284555852292974
10,Actinomycetales infections and treatment,0.8509173208466476,-0.4252353369991355
11,Action Observation and Synchronization,-0.1451317720444628,-0.025346721689491
12,Adaptive Control of Nonlinear Systems,-0.7445228914554425,-0.6662484044064334
13,Adaptive Dynamic Programming Control,-0.0118530394477838,0.1911286283014854
14,Adipose Tissue and Metabolism,-0.9214833199419884,0.4414865875940093
15,Advanced Clustering Algorithms Research,-0.1232910517051664,0.0386550753876327
16,Advanced Combinatorial Mathematics,0.8440836393120087,0.1224472619391522
17,Advanced Computational Techniques and Applications,0.1303343825930448,0.2277993265754677
18,Advanced DC-DC Converters,-0.9196385139680672,-0.3475314029682415
19,Advanced Data Compression Techniques,0.0691842422522821,-0.01077080723413
20,Advanced Data Processing Techniques,-0.0546145087743881,-0.0547311180584998
21,Advanced Database Systems and Queries,0.0900626206681883,-0.0143209966499542
22,Advanced Graph Neural Networks,0.0197916489968283,-0.0298101680218121
23,Advanced Image Fusion Techniques,-0.0964199750241909,0.1101418810113893
24,Advanced Image Processing Techniques,0.0090693555032147,-0.0052048121028133
25,Advanced Image and Video Retrieval Techniques,0.0272207248480425,-0.0307611942833948
26,Advanced MEMS and NEMS Technologies,-0.5939544026926005,-0.7215703495610274
27,Advanced MIMO Systems Optimization,0.1463622988290867,-0.1017405239661601
28,Advanced MRI Techniques and Applications,-0.0943770663129029,-0.0871663587319494
29,Advanced Malware Detection Techniques,0.0291064643306342,0.0129540450045036
30,Advanced Memory and Neural Computing,0.0255910715530393,-0.016527360642544
31,Advanced NMR Techniques and Applications,0.873174349888886,-0.2017511825763614
32,Advanced Neural Network Applications,0.0109683050584248,-0.0195047054962264
33,Advanced Neuroimaging Techniques and Applications,-0.0206091969473229,0.835338429031807
34,Advanced Proteomics Techniques and Applications,-0.0701036326445705,-0.1297502931351814
35,Advanced Software Engineering Methodologies,-0.0037228584010775,-0.9644232862045226
36,Advanced Steganography and Watermarking Techniques,0.0487427854298442,-0.0152179869269146
37,Advanced Surface Polishing Techniques,-0.4958724182225436,0.7868092394341233
38,Advanced Text Analysis Techniques,0.0365207005454316,-0.0632794862465831
