id,year,title,domain,primary_field,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,primary_topic,community_label,is_closure_node
https://openalex.org/W2146574666,2003,Minimum error rate training in statistical machine translation,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W2146574666,10.3115/1075096.1075117,2767,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W1631260214,2002,SRILM - an extensible language modeling toolkit,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W1631260214,10.21437/icslp.2002-303,4397,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W2154124206,2001,Discriminative training and maximum entropy models for statistical machine translation,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W2154124206,10.3115/1073083.1073133,1043,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W2119168550,2004,The Alignment Template Approach to Statistical Machine Translation,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W2119168550,10.1162/0891201042544884,932,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W2998704965,2003,A neural probabilistic language model,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W2998704965,10.5555/944919.944966,2669,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W2167673850,2004,Compilation of tRNA sequences and sequences of tRNA genes,transformer_foundation_models,RNA and protein synthesis mechanisms,614,0,,W2167673850,10.1093/nar/gki012,1929,RNA and protein synthesis mechanisms,RNA and protein synthesis mechanisms,0
https://openalex.org/W2161792612,2002,"A phrase-based, joint probability model for statistical machine translation",transformer_foundation_models,Natural Language Processing Techniques,491,0,,W2161792612,10.3115/1118693.1118711,476,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W1969974515,2004,A unigram orientation model for statistical machine translation,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W1969974515,10.3115/1613984.1614010,290,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W2140679639,2000,A Neural Probabilistic Language Model,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W2140679639,,1160,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W1934041838,2002,Improved backing-off for M-gram language modeling,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W1934041838,10.1109/icassp.1995.479394,1493,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W4246858749,2001,Relevance based language models,transformer_foundation_models,Topic Modeling,741,0,,W4246858749,10.1145/383952.383972,1024,Topic Modeling,Topic Modeling,0
https://openalex.org/W1972594981,2004,A study of smoothing methods for language models applied to information retrieval,transformer_foundation_models,Topic Modeling,741,0,,W1972594981,10.1145/984321.984322,1210,Topic Modeling,Topic Modeling,0
https://openalex.org/W2163670493,2003,A reference ontology for biomedical informatics: the Foundational Model of Anatomy,transformer_foundation_models,Biomedical Text Mining and Ontologies,100,0,,W2163670493,10.1016/j.jbi.2003.11.007,1062,Biomedical Text Mining and Ontologies,Biomedical Text Mining and Ontologies,0
https://openalex.org/W2136657878,2004,Minimum Bayes-risk decoding for statistical machine translation,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W2136657878,,331,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W1979102019,2000,A comparison of alignment models for statistical machine translation,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W1979102019,10.3115/992730.992810,214,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W1989658336,2004,Language model adaptation for statistical machine translation with structured query models,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W1989658336,10.3115/1220355.1220414,105,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W2160382364,2002,Phrasal cohesion and statistical machine translation,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W2160382364,10.3115/1118693.1118732,169,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W2158266834,2004,WebLogo: A Sequence Logo Generator: Figure 1,transformer_foundation_models,RNA and protein synthesis mechanisms,614,0,,W2158266834,10.1101/gr.849004,12982,RNA and protein synthesis mechanisms,RNA and protein synthesis mechanisms,0
https://openalex.org/W1964348731,2001,Model-based feedback in the language modeling approach to information retrieval,transformer_foundation_models,Topic Modeling,741,0,,W1964348731,10.1145/502585.502654,797,Topic Modeling,Topic Modeling,0
https://openalex.org/W2017802499,2004,Morphological analysis for statistical machine translation,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W2017802499,10.3115/1613984.1613999,177,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W3104029765,2000,Statistical Machine Translation,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W3104029765,,120,Natural Language Processing Techniques,Natural Language Processing Techniques,0
https://openalex.org/W2394860946,2004,Language Model Adaptation for Statistical Machine Translation Based on Information Retrieval,transformer_foundation_models,Natural Language Processing Techniques,491,0,,W2394860946,10.63317/3f86yi2tp94j,77,Natural Language Processing Techniques,Natural Language Processing Techniques,0
