source,target
https://openalex.org/W2765313162,https://openalex.org/W2064815984
https://openalex.org/W2765313162,https://openalex.org/W2113999582
https://openalex.org/W2765313162,https://openalex.org/W2765313162
https://openalex.org/W2904664973,https://openalex.org/W1963554509
https://openalex.org/W2904664973,https://openalex.org/W1966423273
https://openalex.org/W2904664973,https://openalex.org/W1980201684
https://openalex.org/W2904664973,https://openalex.org/W1982802227
https://openalex.org/W2904664973,https://openalex.org/W1992783297
https://openalex.org/W2904664973,https://openalex.org/W2024199022
https://openalex.org/W2904664973,https://openalex.org/W2040665850
https://openalex.org/W2904664973,https://openalex.org/W2045435533
https://openalex.org/W2904664973,https://openalex.org/W2046639072
https://openalex.org/W2904664973,https://openalex.org/W2108473900
https://openalex.org/W2904664973,https://openalex.org/W2116041063
https://openalex.org/W2904664973,https://openalex.org/W2123205135
https://openalex.org/W2904664973,https://openalex.org/W2129993269
https://openalex.org/W2904664973,https://openalex.org/W2132188193
https://openalex.org/W2904664973,https://openalex.org/W2154219213
https://openalex.org/W2904664973,https://openalex.org/W2165016943
https://openalex.org/W2904664973,https://openalex.org/W2168740468
https://openalex.org/W2904664973,https://openalex.org/W2176470754
https://openalex.org/W2904664973,https://openalex.org/W2217013086
https://openalex.org/W2904664973,https://openalex.org/W2336717918
https://openalex.org/W2904664973,https://openalex.org/W2337751047
https://openalex.org/W2904664973,https://openalex.org/W2337931919
https://openalex.org/W2904664973,https://openalex.org/W2401799974
https://openalex.org/W2904664973,https://openalex.org/W2515114895
https://openalex.org/W2904664973,https://openalex.org/W2560685378
https://openalex.org/W2904664973,https://openalex.org/W2608025178
https://openalex.org/W2904664973,https://openalex.org/W2654116011
https://openalex.org/W2133908827,https://openalex.org/W1852971431
https://openalex.org/W2133908827,https://openalex.org/W1936995073
https://openalex.org/W2133908827,https://openalex.org/W1939415540
https://openalex.org/W2133908827,https://openalex.org/W1963554509
https://openalex.org/W2133908827,https://openalex.org/W1965175092
https://openalex.org/W2133908827,https://openalex.org/W1967046461
https://openalex.org/W2133908827,https://openalex.org/W1977531433
https://openalex.org/W2133908827,https://openalex.org/W1978094899
https://openalex.org/W2133908827,https://openalex.org/W1982831423
https://openalex.org/W2133908827,https://openalex.org/W1989568784
https://openalex.org/W2133908827,https://openalex.org/W1998362213
https://openalex.org/W2133908827,https://openalex.org/W2000046950
https://openalex.org/W2133908827,https://openalex.org/W2000277549
https://openalex.org/W2133908827,https://openalex.org/W2001886510
https://openalex.org/W2133908827,https://openalex.org/W2002351189
https://openalex.org/W2133908827,https://openalex.org/W2003171404
https://openalex.org/W2133908827,https://openalex.org/W2006494972
https://openalex.org/W2133908827,https://openalex.org/W2009576434
https://openalex.org/W2133908827,https://openalex.org/W2010187816
https://openalex.org/W2133908827,https://openalex.org/W2013018092
https://openalex.org/W2133908827,https://openalex.org/W2017721099
https://openalex.org/W2133908827,https://openalex.org/W2019670881
https://openalex.org/W2133908827,https://openalex.org/W2024365611
https://openalex.org/W2133908827,https://openalex.org/W2026520402
https://openalex.org/W2133908827,https://openalex.org/W2038838144
https://openalex.org/W2133908827,https://openalex.org/W2045435533
https://openalex.org/W2133908827,https://openalex.org/W2047032063
https://openalex.org/W2133908827,https://openalex.org/W2048010932
https://openalex.org/W2133908827,https://openalex.org/W2055252390
https://openalex.org/W2133908827,https://openalex.org/W2059363769
https://openalex.org/W2133908827,https://openalex.org/W2061650108
https://openalex.org/W2133908827,https://openalex.org/W2063148079
https://openalex.org/W2133908827,https://openalex.org/W2064815984
https://openalex.org/W2133908827,https://openalex.org/W2070443145
https://openalex.org/W2133908827,https://openalex.org/W2072051684
https://openalex.org/W2133908827,https://openalex.org/W2076785026
https://openalex.org/W2133908827,https://openalex.org/W2077190448
https://openalex.org/W2133908827,https://openalex.org/W2083046126
https://openalex.org/W2133908827,https://openalex.org/W2087293916
https://openalex.org/W2133908827,https://openalex.org/W2089589904
https://openalex.org/W2133908827,https://openalex.org/W2095624846
https://openalex.org/W2133908827,https://openalex.org/W2097379120
https://openalex.org/W2133908827,https://openalex.org/W2099228538
https://openalex.org/W2133908827,https://openalex.org/W2101749257
https://openalex.org/W2133908827,https://openalex.org/W2106900261
https://openalex.org/W2133908827,https://openalex.org/W2107959600
https://openalex.org/W2133908827,https://openalex.org/W2108101601
https://openalex.org/W2133908827,https://openalex.org/W2108598630
https://openalex.org/W2133908827,https://openalex.org/W2112295554
https://openalex.org/W2133908827,https://openalex.org/W2112671289
https://openalex.org/W2133908827,https://openalex.org/W2115420193
https://openalex.org/W2133908827,https://openalex.org/W2120503144
https://openalex.org/W2133908827,https://openalex.org/W2120546567
https://openalex.org/W2133908827,https://openalex.org/W2120932131
https://openalex.org/W2133908827,https://openalex.org/W2123746851
https://openalex.org/W2133908827,https://openalex.org/W2123965484
https://openalex.org/W2133908827,https://openalex.org/W2124741861
https://openalex.org/W2133908827,https://openalex.org/W2131527797
https://openalex.org/W2133908827,https://openalex.org/W2135598273
https://openalex.org/W2133908827,https://openalex.org/W2138993899
https://openalex.org/W2133908827,https://openalex.org/W2142515819
https://openalex.org/W2133908827,https://openalex.org/W2149751339
https://openalex.org/W2133908827,https://openalex.org/W2153344788
https://openalex.org/W2133908827,https://openalex.org/W2153355254
https://openalex.org/W2133908827,https://openalex.org/W2160051211
https://openalex.org/W2133908827,https://openalex.org/W2163241233
https://openalex.org/W2133908827,https://openalex.org/W2166113462
https://openalex.org/W2133908827,https://openalex.org/W2166192874
https://openalex.org/W2133908827,https://openalex.org/W2167380395
https://openalex.org/W2133908827,https://openalex.org/W2168933209
