id,year,title,domain,primary_field,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,primary_topic,community_label
https://openalex.org/W2050476929,1992,Electronic structure of chiral graphene tubules,graphene_2d_materials,Graphene research and applications,373,0,,W2050476929,10.1063/1.107080,2780,Graphene research and applications,Graphene research and applications
https://openalex.org/W2046970347,1991,Characterization of nanometer scale wear and oxidation of transition metal dichalcogenide lubricants by atomic force microscopy,graphene_2d_materials,Lubricants and Their Additives,495,0,,W2046970347,10.1063/1.105689,120,Lubricants and Their Additives,Lubricants and Their Additives
https://openalex.org/W2076977388,1992,Molecular-dynamics simulations of two-dimensional materials at high strain rates,graphene_2d_materials,Microstructure and mechanical properties,558,0,,W2076977388,10.1103/physreva.45.8457,91,Microstructure and mechanical properties,Microstructure and mechanical properties
https://openalex.org/W2032490333,1992,STM investigation of single layer graphite structures produced on Pt(111) by hydrocarbon decomposition,graphene_2d_materials,Graphene research and applications,373,0,,W2032490333,10.1016/0039-6028(92)90183-7,536,Graphene research and applications,Graphene research and applications
https://openalex.org/W1981337539,1991,Periodic lattice distortions as a result of lattice mismatch in epitaxial films of two-dimensional materials,graphene_2d_materials,2D Materials and Applications,0,0,,W1981337539,10.1063/1.104611,96,2D Materials and Applications,2D Materials and Applications
https://openalex.org/W2029920236,1990,Heteroepitaxy of a two-dimensional material on a three-dimensional material,graphene_2d_materials,2D Materials and Applications,0,0,,W2029920236,10.1016/0169-4332(89)90102-5,107,2D Materials and Applications,2D Materials and Applications
https://openalex.org/W1991373729,1994,Elastic Moduli of Two Dimensional Materials With Polygonal and Elliptical Holes,graphene_2d_materials,Composite Material Mechanics,189,0,,W1991373729,10.1115/1.3122813,112,Composite Material Mechanics,Composite Material Mechanics
https://openalex.org/W1964617180,1990,Epitaxial growth of transition metal dichalcogenides on cleaved faces of mica,graphene_2d_materials,2D Materials and Applications,0,0,,W1964617180,10.1116/1.576983,113,2D Materials and Applications,2D Materials and Applications
https://openalex.org/W1570556693,1990,Epitaxial growth of transition metal dichalcogenides on cleaved faces of mica,graphene_2d_materials,2D Materials and Applications,0,0,,W1570556693,,89,2D Materials and Applications,2D Materials and Applications
https://openalex.org/W1998605759,1990,Heteroepitaxial growth of layered transition metal dichalcogenides on sulfur-terminated GaAs{111} surfaces,graphene_2d_materials,2D Materials and Applications,0,0,,W1998605759,10.1063/1.102817,115,2D Materials and Applications,2D Materials and Applications
