source,target
https://openalex.org/W2790984880,https://openalex.org/W1972476556
https://openalex.org/W2790984880,https://openalex.org/W1977250127
https://openalex.org/W2790984880,https://openalex.org/W2045435533
https://openalex.org/W2790984880,https://openalex.org/W2064815984
https://openalex.org/W2790984880,https://openalex.org/W2067036696
https://openalex.org/W2790984880,https://openalex.org/W2074350814
https://openalex.org/W2790984880,https://openalex.org/W2089589904
https://openalex.org/W2790984880,https://openalex.org/W2096261947
https://openalex.org/W2790984880,https://openalex.org/W2133057192
https://openalex.org/W2790984880,https://openalex.org/W2164934988
https://openalex.org/W2790984880,https://openalex.org/W2209402024
https://openalex.org/W2790984880,https://openalex.org/W2286099491
https://openalex.org/W2790984880,https://openalex.org/W2396078929
https://openalex.org/W2790984880,https://openalex.org/W2548694234
https://openalex.org/W2790984880,https://openalex.org/W2588571054
https://openalex.org/W2790984880,https://openalex.org/W2589417329
https://openalex.org/W2790984880,https://openalex.org/W2604982880
https://openalex.org/W2790984880,https://openalex.org/W2617763104
https://openalex.org/W1969324119,https://openalex.org/W1563631267
https://openalex.org/W1969324119,https://openalex.org/W1577973179
https://openalex.org/W1969324119,https://openalex.org/W1936995073
https://openalex.org/W1969324119,https://openalex.org/W1965404910
https://openalex.org/W1969324119,https://openalex.org/W1976391205
https://openalex.org/W1969324119,https://openalex.org/W2000046950
https://openalex.org/W1969324119,https://openalex.org/W2003171404
https://openalex.org/W1969324119,https://openalex.org/W2010986636
https://openalex.org/W1969324119,https://openalex.org/W2013018092
https://openalex.org/W1969324119,https://openalex.org/W2015555968
https://openalex.org/W1969324119,https://openalex.org/W2034048377
https://openalex.org/W1969324119,https://openalex.org/W2035803293
https://openalex.org/W1969324119,https://openalex.org/W2064815984
https://openalex.org/W1969324119,https://openalex.org/W2069678357
https://openalex.org/W1969324119,https://openalex.org/W2123746851
https://openalex.org/W1969324119,https://openalex.org/W2132026894
https://openalex.org/W1969324119,https://openalex.org/W2136345927
https://openalex.org/W1969324119,https://openalex.org/W2137721714
https://openalex.org/W1969324119,https://openalex.org/W2153355254
https://openalex.org/W1969324119,https://openalex.org/W2163241233
https://openalex.org/W1969324119,https://openalex.org/W2165011752
https://openalex.org/W1969324119,https://openalex.org/W2169244146
https://openalex.org/W1969324119,https://openalex.org/W2169999664
https://openalex.org/W1986171241,https://openalex.org/W2077190448
https://openalex.org/W1986171241,https://openalex.org/W2113567599
https://openalex.org/W1981232162,https://openalex.org/W2126567129
https://openalex.org/W1964008442,https://openalex.org/W1976391205
https://openalex.org/W1964008442,https://openalex.org/W1993002923
https://openalex.org/W1964008442,https://openalex.org/W2003171404
https://openalex.org/W1964008442,https://openalex.org/W2045435533
https://openalex.org/W1964008442,https://openalex.org/W2064815984
