community,label,x,y
0,3D Printing in Biomedical Research,-0.047043583516127516,0.0003051234367975856
1,ATP Synthase and ATPases Research,0.4802977719090976,0.8279759915540047
2,Academic Publishing and Open Access,0.9765872864423378,-0.008047049714698995
3,Academic and Historical Perspectives in Psychology,0.31980395784200816,0.7319357048281447
4,Accounting Education and Careers,0.38716932108599705,0.6633718541254544
5,Acne and Rosacea Treatments and Effects,-0.13152553931242308,0.013744864262005246
6,Acoustic Wave Resonator Technologies,-0.7535243415870745,0.6201354800055718
7,Actinomycetales infections and treatment,-0.10944987890681536,0.1535909544092242
8,Acupuncture Treatment Research Studies,-0.6837220185788707,-0.39487817224198046
9,Acute Myeloid Leukemia Research,0.043663795318872906,-0.07461132881542273
10,Adipose Tissue and Metabolism,0.06949022367993994,-0.08182986883019333
11,Administrative Law and Governance,-0.32409571300800183,0.9005025630501111
12,Advanced Breast Cancer Therapies,0.0394026135891108,0.09759740272665095
13,Advanced Chemical Physics Studies,0.24026790133645998,0.8470585041043515
14,Advanced Data Compression Techniques,-0.9046878781111493,0.44613034966286547
15,Advanced Data Storage Technologies,0.5259429230167058,-0.8203811455672537
16,Advanced Database Systems and Queries,0.7510106678805836,0.0917383374392924
17,Advanced Drug Delivery Systems,-0.04027498263624017,0.941015248168869
18,Advanced Fluorescence Microscopy Techniques,-0.047970435892096326,-0.044066499968817695
19,Advanced MRI Techniques and Applications,0.602559117027208,-0.4075884840003373
20,Advanced Mathematical Theories and Applications,-0.06691183251140198,0.1167859421757763
21,Advanced Measurement and Detection Methods,0.795044978128022,-0.43969981708476635
22,Advanced Multi-Objective Optimization Algorithms,-0.17085211167178674,-0.7256045237536894
23,Advanced Nanomaterials in Catalysis,-0.11645046316584387,0.14892701836505226
24,Advanced Proteomics Techniques and Applications,-0.047404339874485876,-0.08104756764857893
25,Advanced Statistical Process Monitoring,0.7022296728690178,0.20078615196882127
26,Advanced Surface Polishing Techniques,-0.6519981544326026,-0.708460265056015
27,Advanced Text Analysis Techniques,-0.18882347249186088,-0.07577788412009734
28,Advanced Theoretical and Applied Studies in Material Sciences and Geometry,0.8466441144380485,0.377279122639431
29,Advanced Topics in Algebra,-0.19227149003905225,0.06859357497933025
30,Advanced biosensing and bioanalysis techniques,-0.03647308265085128,0.016131276323309643
31,Advancements in Transdermal Drug Delivery,0.7634161733435632,-0.12917347848241575
32,Advances in Cucurbitaceae Research,-0.6799970448991133,-0.5495916909720557
33,Aerogels and thermal insulation,0.008805543429297282,0.7821687765604519
34,"Aging, Health, and Disability",0.8106068709661538,0.5568838516423666
35,Agricultural Science and Fertilization,-0.012074472521038018,-0.8870823314674903
36,Agricultural and Biological Research,0.8466891834050657,-0.1913769610896851
37,Agricultural and Environmental Management,-0.4907632307917185,0.7631428938963143
38,Agricultural and Food Production Studies,-0.7482404205954999,-0.4942353866287125
39,Agriculture and Rural Development Research,0.6055812812999597,0.42514168821491255
40,Air Traffic Management and Optimization,0.8977432106501928,-0.039759050420509486
41,Algal biology and biofuel production,-0.022112190381333642,0.026555286828392356
42,Algebraic Geometry and Number Theory,-0.5886523472658487,-0.6251165659783646
43,Algorithms and Data Compression,-0.23942351954065216,-0.7587500573432636
44,Aluminum Alloy Microstructure Properties,0.8338225013902355,-0.5728780632360603
