id,year,title,domain,primary_field,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,primary_topic,community,community_label,display_label
https://openalex.org/W1979005473,2000,"Rigour, reliability and validity in qualitative research",crispr,Research / Qualitative,0,0,,W1979005473,10.1054/cein.2000.0106,587,Qualitative Research Methods and Ethics,0,Research / Qualitative,
https://openalex.org/W2030489085,2000,Evidence that processed small dsRNAs may mediate sequence-specific mRNA degradation during RNAi in Drosophila embryos,crispr,Rna / Silencing,729,0,,W2030489085,10.1016/s0960-9822(00)00732-6,238,RNA Interference and Gene Delivery,729,Rna / Silencing,
https://openalex.org/W2088869826,2000,Evolution of RNA editing in trypanosome mitochondria,crispr,Rna / Trypanosoma,4,0,,W2088869826,10.1073/pnas.97.13.6986,155,Trypanosoma species research and implications,4,Rna / Trypanosoma,
https://openalex.org/W2108297093,2000,Synthesis and Assembly of the Box C+D Small Nucleolar RNPs,crispr,Rna / Sequence,7,0,,W2108297093,10.1128/mcb.20.8.2650-2659.2000,152,RNA Research and Splicing,18,Rna / Sequence,Rna / Sequence
https://openalex.org/W1964088415,2000,Intronic U50 small‐nucleolar‐RNA (snoRNA) host gene of no protein‐coding potential is mapped at the chromosome breakpoint t(3;6)(q27;q15) of human B‐cell lymphoma,crispr,Rna / Sequence,7,0,,W1964088415,10.1046/j.1365-2443.2000.00325.x,113,RNA modifications and cancer,18,Rna / Sequence,Rna / Sequence
https://openalex.org/W2156308706,2000,The psychoses of epilepsy,crispr,Epilepsy / Psychoses,7,0,,W2156308706,10.1136/jnnp.69.1.1,112,Infectious Encephalopathies and Encephalitis,7,Epilepsy / Psychoses,
https://openalex.org/W2156570688,2000,Evaluating genome dynamics: the constraints on rearrangements within bacterial genomes.,crispr,Editing / Rna,727,0,,W2156570688,10.1186/gb-2000-1-6-reviews0006,107,Plant Pathogenic Bacteria Studies,727,Editing / Rna,
https://openalex.org/W2145707143,2000,Uridylate Addition and RNA Ligation Contribute to the Specificity of Kinetoplastid Insertion RNA Editing,crispr,Rna / Trypanosoma,4,0,,W2145707143,10.1128/mcb.20.22.8447-8457.2000,98,RNA and protein synthesis mechanisms,4,Rna / Trypanosoma,
https://openalex.org/W2108578214,2000,Cladistic Structure Within the Human<i>Lipoprotein Lipase</i>Gene and Its Implications for Phenotypic Association Studies,crispr,Lipase / Lipoprotein Lipase,10,0,,W2108578214,10.1093/genetics/156.3.1259,92,Genetic Associations and Epidemiology,10,Lipase / Lipoprotein Lipase,
https://openalex.org/W2072316964,2000,Evolution and assembly of an extremely scrambled gene,crispr,Evolution / Assembly,532,0,,W2072316964,10.1073/pnas.97.7.3298,77,Evolution and Genetic Dynamics,532,Evolution / Assembly,
https://openalex.org/W2088327305,2000,Fibrillarin-associated Box C/D Small Nucleolar RNAs inTrypanosoma brucei,crispr,Rna / Sequence,7,0,,W2088327305,10.1074/jbc.m001180200,56,RNA modifications and cancer,18,Rna / Sequence,Rna / Sequence
https://openalex.org/W2011368420,2000,Processing of polycistronic guide RNAs is associated with RNA editing complexes in Trypanosoma brucei,crispr,Rna / Trypanosoma,4,0,,W2011368420,10.1093/emboj/19.20.5525,50,Trypanosoma species research and implications,4,Rna / Trypanosoma,
https://openalex.org/W2059278893,2000,Effect of 3′ terminal adenylic acid residue on the uridylation of human small RNAs in vitro and in frog oocytes,crispr,Rna / Trypanosoma,4,0,,W2059278893,10.1017/s1355838200000285,46,RNA Research and Splicing,4,Rna / Trypanosoma,
https://openalex.org/W2120071491,2000,RNA-binding properties of the mitochondrial Y-box protein RBP16,crispr,Rna / Trypanosoma,4,0,,W2120071491,10.1093/nar/28.5.1266,42,Trypanosoma species research and implications,4,Rna / Trypanosoma,
https://openalex.org/W2155779574,2000,<i>Trypanosoma brucei</i> Guide RNA Poly(U) Tail Formation Is Stabilized by Cognate mRNA,crispr,Rna / Trypanosoma,4,0,,W2155779574,10.1128/mcb.20.3.883-891.2000,38,Trypanosoma species research and implications,4,Rna / Trypanosoma,
https://openalex.org/W2161545155,2000,The genes for small nucleolar RNAs in Trypanosoma brucei are organized in clusters and are transcribed as a polycistronic RNA,crispr,Rna / Sequence,7,0,,W2161545155,10.1093/nar/28.15.2855,36,RNA modifications and cancer,18,Rna / Sequence,Rna / Sequence
https://openalex.org/W2040407722,2000,Characterisation of the U83 and U84 small nucleolar RNAs: two novel 2'-O-ribose methylation guide RNAs that lack complementarities to ribosomal RNAs,crispr,Rna / Sequence,7,0,,W2040407722,10.1093/nar/28.6.1348,33,RNA modifications and cancer,18,Rna / Sequence,Rna / Sequence
https://openalex.org/W2150903287,2000,Phylogenetic analysis of Trypanosomatina (Protozoa: Kinetoplastida) based on minicircle conserved regions,crispr,Rna / Trypanosoma,4,0,,W2150903287,10.14411/fp.2000.001,26,Trypanosoma species research and implications,4,Rna / Trypanosoma,
