source,target
https://openalex.org/W2019873312,https://openalex.org/W1994934039
https://openalex.org/W2019873312,https://openalex.org/W2038829109
https://openalex.org/W2019873312,https://openalex.org/W2058122340
https://openalex.org/W2019873312,https://openalex.org/W2089596785
https://openalex.org/W2019873312,https://openalex.org/W2118609172
https://openalex.org/W1589468776,https://openalex.org/W1997362608
https://openalex.org/W1589468776,https://openalex.org/W2014935324
https://openalex.org/W1589468776,https://openalex.org/W2058122340
https://openalex.org/W1589468776,https://openalex.org/W2066606344
https://openalex.org/W1589468776,https://openalex.org/W2079480403
https://openalex.org/W1589468776,https://openalex.org/W2113674800
https://openalex.org/W1589468776,https://openalex.org/W2118492507
https://openalex.org/W1589468776,https://openalex.org/W2125284466
https://openalex.org/W1589468776,https://openalex.org/W2126945317
https://openalex.org/W1589468776,https://openalex.org/W2130694919
https://openalex.org/W1589468776,https://openalex.org/W3037961413
https://openalex.org/W2028230095,https://openalex.org/W1760544772
https://openalex.org/W2028230095,https://openalex.org/W1991859775
https://openalex.org/W2028230095,https://openalex.org/W2046758551
https://openalex.org/W2028230095,https://openalex.org/W2050315976
https://openalex.org/W2028230095,https://openalex.org/W2058122340
https://openalex.org/W2028230095,https://openalex.org/W2061557594
https://openalex.org/W2028230095,https://openalex.org/W2073861147
https://openalex.org/W2028230095,https://openalex.org/W2081362853
https://openalex.org/W2028230095,https://openalex.org/W2088321686
https://openalex.org/W2028230095,https://openalex.org/W2115581621
https://openalex.org/W2028230095,https://openalex.org/W2118492507
https://openalex.org/W2028230095,https://openalex.org/W2121772044
https://openalex.org/W2028230095,https://openalex.org/W2123070389
https://openalex.org/W2028230095,https://openalex.org/W2125284466
https://openalex.org/W2028230095,https://openalex.org/W2134233006
https://openalex.org/W2028230095,https://openalex.org/W2148226925
https://openalex.org/W2028230095,https://openalex.org/W2161928223
https://openalex.org/W2028230095,https://openalex.org/W2167712193
https://openalex.org/W2028230095,https://openalex.org/W3103394764
https://openalex.org/W2030325199,https://openalex.org/W1508109752
https://openalex.org/W2030325199,https://openalex.org/W1967986301
https://openalex.org/W2030325199,https://openalex.org/W1984814850
https://openalex.org/W2030325199,https://openalex.org/W1997743323
https://openalex.org/W2030325199,https://openalex.org/W2014935324
https://openalex.org/W2030325199,https://openalex.org/W2021788613
https://openalex.org/W2030325199,https://openalex.org/W2052976411
https://openalex.org/W2030325199,https://openalex.org/W2054921835
https://openalex.org/W2030325199,https://openalex.org/W2057130231
https://openalex.org/W2030325199,https://openalex.org/W2058122340
https://openalex.org/W2030325199,https://openalex.org/W2062712520
https://openalex.org/W2030325199,https://openalex.org/W2079332515
https://openalex.org/W2030325199,https://openalex.org/W2079480403
https://openalex.org/W2030325199,https://openalex.org/W2084199949
https://openalex.org/W2030325199,https://openalex.org/W2088614068
https://openalex.org/W2030325199,https://openalex.org/W2095122888
https://openalex.org/W2030325199,https://openalex.org/W2100457562
https://openalex.org/W2030325199,https://openalex.org/W2113467957
https://openalex.org/W2030325199,https://openalex.org/W2123510746
https://openalex.org/W2030325199,https://openalex.org/W2134233006
https://openalex.org/W2030325199,https://openalex.org/W2147941425
https://openalex.org/W2030325199,https://openalex.org/W2150559554
https://openalex.org/W2030325199,https://openalex.org/W2172257011
https://openalex.org/W2030325199,https://openalex.org/W2396642146
https://openalex.org/W2024743487,https://openalex.org/W2001883252
https://openalex.org/W1967912601,https://openalex.org/W1996279069
https://openalex.org/W1967912601,https://openalex.org/W1997857564
https://openalex.org/W1967912601,https://openalex.org/W2060144567
https://openalex.org/W1967912601,https://openalex.org/W2077006918
https://openalex.org/W1967912601,https://openalex.org/W2093433353
https://openalex.org/W1970068638,https://openalex.org/W2014935324
https://openalex.org/W1970068638,https://openalex.org/W2018809718
https://openalex.org/W1970068638,https://openalex.org/W2056815766
https://openalex.org/W1970068638,https://openalex.org/W2058122340
https://openalex.org/W1970068638,https://openalex.org/W2065062234
https://openalex.org/W1970068638,https://openalex.org/W2072923279
https://openalex.org/W1970068638,https://openalex.org/W2074684620
https://openalex.org/W1970068638,https://openalex.org/W2101977779
https://openalex.org/W1970068638,https://openalex.org/W2102415385
https://openalex.org/W1970068638,https://openalex.org/W2112304948
https://openalex.org/W1970068638,https://openalex.org/W2113228695
https://openalex.org/W1970068638,https://openalex.org/W2118492507
https://openalex.org/W1970068638,https://openalex.org/W2125027354
https://openalex.org/W1970068638,https://openalex.org/W2125284466
https://openalex.org/W1970068638,https://openalex.org/W2125612486
https://openalex.org/W1970068638,https://openalex.org/W2136257055
https://openalex.org/W1970068638,https://openalex.org/W2145926532
https://openalex.org/W1970068638,https://openalex.org/W2146082910
https://openalex.org/W1970068638,https://openalex.org/W2147290521
https://openalex.org/W1970068638,https://openalex.org/W2149070465
https://openalex.org/W1992593691,https://openalex.org/W2022275075
https://openalex.org/W1992593691,https://openalex.org/W2030869294
https://openalex.org/W1992593691,https://openalex.org/W2065010467
https://openalex.org/W2079851049,https://openalex.org/W1563144314
https://openalex.org/W2079851049,https://openalex.org/W1964544076
https://openalex.org/W2079851049,https://openalex.org/W1969637192
https://openalex.org/W2079851049,https://openalex.org/W1974896731
https://openalex.org/W2079851049,https://openalex.org/W1977307971
https://openalex.org/W2079851049,https://openalex.org/W1981539053
https://openalex.org/W2079851049,https://openalex.org/W2007195468
https://openalex.org/W2079851049,https://openalex.org/W2021994802
https://openalex.org/W2079851049,https://openalex.org/W2043775186
https://openalex.org/W2079851049,https://openalex.org/W2058122340
https://openalex.org/W2079851049,https://openalex.org/W2072836371
https://openalex.org/W2079851049,https://openalex.org/W2078149790
https://openalex.org/W2079851049,https://openalex.org/W2089592248
https://openalex.org/W2079851049,https://openalex.org/W2092188263
https://openalex.org/W2079851049,https://openalex.org/W2099648099
https://openalex.org/W2079851049,https://openalex.org/W2105685140
https://openalex.org/W2079851049,https://openalex.org/W2115786064
https://openalex.org/W2079851049,https://openalex.org/W2120222489
https://openalex.org/W2079851049,https://openalex.org/W2125612486
https://openalex.org/W2079851049,https://openalex.org/W2133795748
https://openalex.org/W2079851049,https://openalex.org/W2134233006
https://openalex.org/W2079851049,https://openalex.org/W2157876253
https://openalex.org/W2079851049,https://openalex.org/W4230732605
https://openalex.org/W2092310091,https://openalex.org/W962798106
https://openalex.org/W2092310091,https://openalex.org/W1992593691
https://openalex.org/W2092310091,https://openalex.org/W2002497245
https://openalex.org/W2092310091,https://openalex.org/W2057069172
https://openalex.org/W2092310091,https://openalex.org/W2330968650
https://openalex.org/W2092310091,https://openalex.org/W2952265440
https://openalex.org/W2056746047,https://openalex.org/W1997009432
https://openalex.org/W2056746047,https://openalex.org/W2145179439
https://openalex.org/W1977791081,https://openalex.org/W1976787731
https://openalex.org/W1977791081,https://openalex.org/W1980419364
https://openalex.org/W1977791081,https://openalex.org/W1989037178
https://openalex.org/W1977791081,https://openalex.org/W2014935324
https://openalex.org/W1977791081,https://openalex.org/W2087638855
https://openalex.org/W1977791081,https://openalex.org/W2099779584
https://openalex.org/W1977791081,https://openalex.org/W2101977779
https://openalex.org/W1977791081,https://openalex.org/W4229601930
https://openalex.org/W1967389137,https://openalex.org/W1995690161
https://openalex.org/W1967389137,https://openalex.org/W2072879446
https://openalex.org/W1967389137,https://openalex.org/W2075171110
https://openalex.org/W1967389137,https://openalex.org/W2950404328
https://openalex.org/W1967389137,https://openalex.org/W3126113713
https://openalex.org/W1984535384,https://openalex.org/W1984748172
https://openalex.org/W1984535384,https://openalex.org/W2055489095
https://openalex.org/W1984535384,https://openalex.org/W2078792724
https://openalex.org/W1984535384,https://openalex.org/W2113674800
https://openalex.org/W1984379121,https://openalex.org/W1963545479
https://openalex.org/W1984379121,https://openalex.org/W1998825867
https://openalex.org/W1984379121,https://openalex.org/W2015081015
https://openalex.org/W1984379121,https://openalex.org/W2079730809
https://openalex.org/W1966598215,https://openalex.org/W1984775268
