source_community,target_community,weight,n_edges
6,3,111.6148496899352,59
6,7,270.36839799046976,125
6,1,146.5364515185318,67
6,2,22.140414577291335,13
5,2,887.1072958796386,447
5,7,2.218070977791825,2
5,4,2458.5849696608834,1161
5,1,12.98214971710467,9
5,0,971.72225087193,240
5,3,3014.460239437597,1288
2,7,360.4016009958576,210
2,0,131.75697132041887,67
2,3,359.0027380654099,197
2,4,817.7492926253375,382
2,1,191.88699455514885,125
3,7,1384.6304558064303,713
3,1,654.1201032789485,346
3,0,647.9630745372428,204
3,4,825.3043319472735,410
1,7,708.2388885824772,337
1,0,8.442165686860942,6
4,0,811.9382217335992,210
4,7,6.173786103901937,4
7,0,13.026649391879468,11
