id,year,title,domain,primary_field,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,primary_topic,community,community_label,display_label
https://openalex.org/W1513861898,1990,Protein structure: A practical approach,graphene_2d_materials,Structure / Structure Practical,1,0,,W1513861898,10.1016/0968-0004(90)90136-y,1995,Protein Interaction Studies and Fluorescence Analysis,1,Structure / Structure Practical,
https://openalex.org/W1990147235,1990,Hard and soft acids and bases—the evolution of a chemical concept,graphene_2d_materials,Chemical / Chemistry,4,0,,W1990147235,10.1016/0010-8545(90)85016-l,870,Chemical Synthesis and Characterization,4,Chemical / Chemistry,
https://openalex.org/W1992231591,1990,"A review of the influence of environmental humidity and water on friction, lubrication and wear",graphene_2d_materials,Materials / Film,6,0,,W1992231591,10.1016/0301-679x(90)90053-r,460,Tribology and Wear Analysis,525,Materials / Film,Materials / Film
https://openalex.org/W215766046,1990,Machines that walk: The adaptive suspension vehicle,graphene_2d_materials,Walk Adaptive / Walk,6,0,,W215766046,10.1016/0094-114x(90)90072-r,288,Nonlocal and gradient elasticity in micro/nano structures,6,Walk Adaptive / Walk,
https://openalex.org/W1973199938,1990,Hertzian stress contribution to low friction behavior of thin MoS2 coatings,graphene_2d_materials,Materials / Film,6,0,,W1973199938,10.1063/1.104276,255,Metal and Thin Film Mechanics,525,Materials / Film,Materials / Film
https://openalex.org/W2064491091,1990,Structural aspects of thiophene coordination in transition metal complexes,graphene_2d_materials,Chemistry / Catalysis,1,0,,W2064491091,10.1016/0010-8545(90)80018-o,210,Catalysis and Hydrodesulfurization Studies,787,Chemistry / Catalysis,Chemistry / Catalysis
https://openalex.org/W2117409495,1990,Tribology — Origin and future,graphene_2d_materials,Tribology / Tribology Origin,9,0,,W2117409495,10.1016/0043-1648(90)90068-l,203,Lubricants and Their Additives,9,Tribology / Tribology Origin,
https://openalex.org/W2026013484,1990,Influence of fillers and fibre reinforcement on abrasive wear resistance of some polymeric composites,graphene_2d_materials,Materials / Film,6,0,,W2026013484,10.1016/0043-1648(90)90169-b,193,Tribology and Wear Analysis,525,Materials / Film,Materials / Film
https://openalex.org/W1970855029,1990,Catalytic hydrodesulfurization by molybdenum nitride,graphene_2d_materials,Chemistry / Catalysis,1,0,,W1970855029,10.1016/0021-9517(90)90027-h,179,Catalysis and Hydrodesulfurization Studies,787,Chemistry / Catalysis,Chemistry / Catalysis
https://openalex.org/W1970048870,1990,Anchoring structure of smectic liquid-crystal layers on MoS2 observed by scanning tunnelling microscopy,graphene_2d_materials,Chemistry / Materials,12,0,,W1970048870,10.1038/344228a0,173,Surface Chemistry and Catalysis,12,Chemistry / Materials,
https://openalex.org/W2056895346,1990,Morphology and activity of MoS2 on various supports: Genesis of the active phase,graphene_2d_materials,Chemistry / Catalysis,1,0,,W2056895346,10.1016/0021-9517(90)90189-q,154,Catalysis and Hydrodesulfurization Studies,787,Chemistry / Catalysis,Chemistry / Catalysis
https://openalex.org/W2019419066,1990,van der Waals epitaxial growth and characterization of MoSe2 thin films on SnS2,graphene_2d_materials,Chemistry / Materials,12,0,,W2019419066,10.1063/1.346574,154,Chalcogenide Semiconductor Thin Films,12,Chemistry / Materials,
https://openalex.org/W2223447048,1990,A temperature-programmed reduction study of sulfided Co$z.sbnd;Mo/Al2O3 hydrodesulfurization catalysts,graphene_2d_materials,Chemistry / Catalysis,1,0,,W2223447048,10.1016/0021-9517(90)90214-5,127,Catalysis and Hydrodesulfurization Studies,787,Chemistry / Catalysis,Chemistry / Catalysis
https://openalex.org/W2068844286,1990,"The Effect of Anion Vacancies on the Tribological Properties of Rutile (TiO<sub>2-x</sub>), Part II: Experimental Evidence",graphene_2d_materials,Materials / Film,6,0,,W2068844286,10.1080/10402009008981949,120,Metal and Thin Film Mechanics,525,Materials / Film,Materials / Film
https://openalex.org/W1998605759,1990,Heteroepitaxial growth of layered transition metal dichalcogenides on sulfur-terminated GaAs{111} surfaces,graphene_2d_materials,Chemistry / Materials,12,0,,W1998605759,10.1063/1.102817,115,2D Materials and Applications,12,Chemistry / Materials,
https://openalex.org/W1964617180,1990,Epitaxial growth of transition metal dichalcogenides on cleaved faces of mica,graphene_2d_materials,Chemistry / Materials,12,0,,W1964617180,10.1116/1.576983,113,2D Materials and Applications,12,Chemistry / Materials,
https://openalex.org/W2029920236,1990,Heteroepitaxy of a two-dimensional material on a three-dimensional material,graphene_2d_materials,Chemistry / Materials,12,0,,W2029920236,10.1016/0169-4332(89)90102-5,107,2D Materials and Applications,12,Chemistry / Materials,
