source,target
https://openalex.org/W1972298775,https://openalex.org/W1532262643
https://openalex.org/W1972298775,https://openalex.org/W2010031978
https://openalex.org/W1972298775,https://openalex.org/W2023168515
https://openalex.org/W1972298775,https://openalex.org/W2032570745
https://openalex.org/W1972298775,https://openalex.org/W2039551265
https://openalex.org/W1972298775,https://openalex.org/W2045081995
https://openalex.org/W1972298775,https://openalex.org/W2047015004
https://openalex.org/W1972298775,https://openalex.org/W2050689355
https://openalex.org/W1972298775,https://openalex.org/W2052002403
https://openalex.org/W1972298775,https://openalex.org/W2054521968
https://openalex.org/W1972298775,https://openalex.org/W2093540365
https://openalex.org/W1972298775,https://openalex.org/W2103612759
https://openalex.org/W1972298775,https://openalex.org/W2104708641
https://openalex.org/W1972298775,https://openalex.org/W2104978512
https://openalex.org/W1972298775,https://openalex.org/W2106485710
https://openalex.org/W1972298775,https://openalex.org/W2108241558
https://openalex.org/W1972298775,https://openalex.org/W2122214027
https://openalex.org/W1972298775,https://openalex.org/W2123612392
https://openalex.org/W1972298775,https://openalex.org/W2125987139
https://openalex.org/W1972298775,https://openalex.org/W2138977668
https://openalex.org/W1972298775,https://openalex.org/W2142046859
https://openalex.org/W1972298775,https://openalex.org/W2155668012
https://openalex.org/W1972298775,https://openalex.org/W2158979552
https://openalex.org/W3045627038,https://openalex.org/W2007393099
https://openalex.org/W3045627038,https://openalex.org/W2035121417
https://openalex.org/W3045627038,https://openalex.org/W2090255071
https://openalex.org/W3045627038,https://openalex.org/W2546640243
https://openalex.org/W3045627038,https://openalex.org/W2891562792
https://openalex.org/W2028369290,https://openalex.org/W1968140045
https://openalex.org/W2028369290,https://openalex.org/W1982969769
https://openalex.org/W2028369290,https://openalex.org/W1990707605
https://openalex.org/W2028369290,https://openalex.org/W1991037959
https://openalex.org/W2028369290,https://openalex.org/W2002179012
https://openalex.org/W2028369290,https://openalex.org/W2014416902
https://openalex.org/W2028369290,https://openalex.org/W2023456870
https://openalex.org/W2028369290,https://openalex.org/W2032570745
https://openalex.org/W2028369290,https://openalex.org/W2036632122
https://openalex.org/W2028369290,https://openalex.org/W2038815755
https://openalex.org/W2028369290,https://openalex.org/W2047036934
https://openalex.org/W2028369290,https://openalex.org/W2051689456
https://openalex.org/W2028369290,https://openalex.org/W2059378220
https://openalex.org/W2028369290,https://openalex.org/W2072239613
https://openalex.org/W2028369290,https://openalex.org/W2086663462
https://openalex.org/W2028369290,https://openalex.org/W2088152986
https://openalex.org/W2028369290,https://openalex.org/W2094979867
https://openalex.org/W2028369290,https://openalex.org/W2098597036
https://openalex.org/W2028369290,https://openalex.org/W2101736621
https://openalex.org/W2028369290,https://openalex.org/W2102264927
https://openalex.org/W2028369290,https://openalex.org/W2102654270
https://openalex.org/W2028369290,https://openalex.org/W2104978512
https://openalex.org/W2028369290,https://openalex.org/W2118922078
https://openalex.org/W2028369290,https://openalex.org/W2138977668
https://openalex.org/W2028369290,https://openalex.org/W2142046859
https://openalex.org/W2028369290,https://openalex.org/W2150197150
https://openalex.org/W2028369290,https://openalex.org/W2154679217
https://openalex.org/W2089887802,https://openalex.org/W2093498435
https://openalex.org/W3034045077,https://openalex.org/W1574222606
https://openalex.org/W3034045077,https://openalex.org/W1976083636
https://openalex.org/W3034045077,https://openalex.org/W1977735902
https://openalex.org/W3034045077,https://openalex.org/W1978320551
https://openalex.org/W3034045077,https://openalex.org/W1981621010
https://openalex.org/W3034045077,https://openalex.org/W1984257202
https://openalex.org/W3034045077,https://openalex.org/W2017599428
https://openalex.org/W3034045077,https://openalex.org/W2031195065
https://openalex.org/W3034045077,https://openalex.org/W2037388456
https://openalex.org/W3034045077,https://openalex.org/W2055652194
https://openalex.org/W3034045077,https://openalex.org/W2056489392
https://openalex.org/W3034045077,https://openalex.org/W2082223061
https://openalex.org/W3034045077,https://openalex.org/W2086943348
https://openalex.org/W3034045077,https://openalex.org/W2093994917
https://openalex.org/W3034045077,https://openalex.org/W2104284972
https://openalex.org/W3034045077,https://openalex.org/W2125987139
https://openalex.org/W3034045077,https://openalex.org/W2139208934
https://openalex.org/W3034045077,https://openalex.org/W2328913875
https://openalex.org/W3034045077,https://openalex.org/W2329818534
https://openalex.org/W3034045077,https://openalex.org/W2747555939
https://openalex.org/W3034045077,https://openalex.org/W2802879466
https://openalex.org/W3034045077,https://openalex.org/W2901158364
https://openalex.org/W3034045077,https://openalex.org/W2949568516
https://openalex.org/W3034045077,https://openalex.org/W2965930481
https://openalex.org/W1985228922,https://openalex.org/W15544460
https://openalex.org/W1985228922,https://openalex.org/W1826783215
https://openalex.org/W1985228922,https://openalex.org/W1970894097
https://openalex.org/W1985228922,https://openalex.org/W1973175103
https://openalex.org/W1985228922,https://openalex.org/W2029695904
https://openalex.org/W1985228922,https://openalex.org/W2040477198
https://openalex.org/W1985228922,https://openalex.org/W2051395442
https://openalex.org/W1985228922,https://openalex.org/W2075549508
https://openalex.org/W2338647568,https://openalex.org/W1860109924
https://openalex.org/W2338647568,https://openalex.org/W1969544384
https://openalex.org/W2338647568,https://openalex.org/W1986297657
https://openalex.org/W2338647568,https://openalex.org/W1988634174
https://openalex.org/W2338647568,https://openalex.org/W1996489883
https://openalex.org/W2338647568,https://openalex.org/W2054210108
https://openalex.org/W2338647568,https://openalex.org/W2072621038
https://openalex.org/W2338647568,https://openalex.org/W2075655507
https://openalex.org/W2338647568,https://openalex.org/W2076439120
https://openalex.org/W2338647568,https://openalex.org/W2125987139
https://openalex.org/W2338647568,https://openalex.org/W2131162243
https://openalex.org/W2338647568,https://openalex.org/W2142308374
https://openalex.org/W1999917544,https://openalex.org/W2046396702
https://openalex.org/W3096148484,https://openalex.org/W1802031919
https://openalex.org/W3096148484,https://openalex.org/W1970288681
https://openalex.org/W3096148484,https://openalex.org/W2166305181
https://openalex.org/W3096148484,https://openalex.org/W2338021849
https://openalex.org/W3096148484,https://openalex.org/W2596329858
https://openalex.org/W3096148484,https://openalex.org/W2893420171
https://openalex.org/W3096148484,https://openalex.org/W2921772931
https://openalex.org/W3096148484,https://openalex.org/W3003816840
https://openalex.org/W1972493458,https://openalex.org/W1888617844
https://openalex.org/W1972493458,https://openalex.org/W1982555416
https://openalex.org/W1972493458,https://openalex.org/W2017246093
https://openalex.org/W1972493458,https://openalex.org/W2021494076
https://openalex.org/W1972493458,https://openalex.org/W2023893968
https://openalex.org/W1972493458,https://openalex.org/W2035912798
https://openalex.org/W1972493458,https://openalex.org/W2093321309
https://openalex.org/W1972493458,https://openalex.org/W2135668873
https://openalex.org/W2083233278,https://openalex.org/W1968140045
https://openalex.org/W2083233278,https://openalex.org/W1984582197
https://openalex.org/W2083233278,https://openalex.org/W2023456870
https://openalex.org/W2083233278,https://openalex.org/W2028369290
https://openalex.org/W2083233278,https://openalex.org/W2036632122
https://openalex.org/W2083233278,https://openalex.org/W2049888495
https://openalex.org/W2083233278,https://openalex.org/W2051395442
https://openalex.org/W2083233278,https://openalex.org/W2073377349
https://openalex.org/W2083233278,https://openalex.org/W2129026863
https://openalex.org/W2083233278,https://openalex.org/W2145920583
https://openalex.org/W2083233278,https://openalex.org/W2157741370
https://openalex.org/W1973260880,https://openalex.org/W2003171404
https://openalex.org/W1973260880,https://openalex.org/W2026520402
https://openalex.org/W2611929604,https://openalex.org/W1150470952
https://openalex.org/W2611929604,https://openalex.org/W2005808461
https://openalex.org/W2611929604,https://openalex.org/W2007439698
https://openalex.org/W2611929604,https://openalex.org/W2034923684
https://openalex.org/W2611929604,https://openalex.org/W2037761873
https://openalex.org/W2611929604,https://openalex.org/W2057061886
https://openalex.org/W2611929604,https://openalex.org/W2125987139
https://openalex.org/W2025678331,https://openalex.org/W1963665677
https://openalex.org/W2025678331,https://openalex.org/W1981149320
https://openalex.org/W2025678331,https://openalex.org/W2040628766
https://openalex.org/W2025678331,https://openalex.org/W2085269742
https://openalex.org/W2025678331,https://openalex.org/W2102601844
https://openalex.org/W2025678331,https://openalex.org/W2140120691
https://openalex.org/W3019555123,https://openalex.org/W1986543208
https://openalex.org/W3019555123,https://openalex.org/W2011782794
https://openalex.org/W3019555123,https://openalex.org/W2033284482
https://openalex.org/W3019555123,https://openalex.org/W2087786585
https://openalex.org/W3019555123,https://openalex.org/W2104169183
https://openalex.org/W3019555123,https://openalex.org/W2125987139
https://openalex.org/W3019555123,https://openalex.org/W2164812139
