source_community,target_community,weight
0,68,1
0,145,1
0,414,1
1,7,1
1,17,7
1,18,1
1,24,14
1,28,7
1,30,28
1,33,3
1,35,1
1,40,1
1,44,1
1,45,20
1,49,1
1,52,4
1,54,1
1,57,1
1,59,1
1,60,4
1,62,1
1,66,1
1,68,24
1,71,8
1,76,1
1,82,2
1,88,1
1,91,43
1,93,2
1,98,8
1,99,2
1,101,21
1,108,4
1,111,1
1,132,2
1,133,15
1,135,4
1,136,1
1,137,1
1,143,4
1,144,1
1,154,7
1,164,1
1,168,8
1,171,1
1,177,3
1,179,1
1,187,2
1,202,3
1,208,6
1,211,1
1,221,1
1,227,1
1,236,1
1,237,1
1,239,1
1,240,2
1,241,3
1,253,1
1,255,1
1,274,1
1,284,11
1,308,12
1,314,3
1,320,2
1,323,1
1,325,1
1,330,2
1,333,1
1,338,6
1,341,5
1,350,9
1,351,3
1,352,6
1,353,1
1,357,26
1,364,1
1,367,5
1,379,14
1,385,28
1,388,1
1,397,1
1,399,1
1,413,4
1,414,1227
1,417,1
1,430,3
1,432,2
1,434,2
1,435,1
1,438,2
1,447,22
1,452,2
1,456,8
1,457,1
1,473,2
1,476,1
1,497,3
1,505,1
1,510,55
1,539,1
1,540,2
1,542,11
1,547,3
2,177,1
2,201,1
2,414,1
2,424,1
3,28,1
3,351,1
3,414,4
5,1,2
5,66,1
5,68,10
5,78,1
5,145,1
5,159,1
5,203,1
5,212,2
5,253,2
5,333,2
5,384,1
5,385,1
5,414,45
5,422,3
5,430,1
5,499,1
5,542,7
6,255,3
6,356,2
6,358,4
6,360,1
6,383,1
6,396,1
6,453,1
7,1,1
7,35,1
7,238,1
7,274,1
7,308,4
7,357,1
7,395,1
7,414,36
7,456,1
7,458,1
7,500,1
9,308,1
9,414,6
9,544,2
10,308,1
10,414,7
11,66,1
11,68,2
11,350,3
11,414,12
11,438,1
11,456,1
14,68,2
14,177,1
14,208,1
14,212,1
14,253,1
14,294,1
14,322,1
14,414,28
14,473,1
15,52,1
15,414,1
15,510,1
16,198,1
16,414,3
16,434,1
17,1,1
17,414,2
18,385,1
18,414,6
20,414,9
23,91,1
23,357,1
23,414,5
24,1,4
24,28,5
24,49,4
24,68,14
24,69,1
24,91,1
24,158,2
24,202,5
24,208,1
24,209,1
24,231,1
24,238,2
24,257,1
24,350,3
24,351,1
24,352,12
24,357,8
24,364,1
24,366,3
24,367,6
24,388,6
24,399,2
24,414,200
24,434,1
24,435,3
24,470,1
24,473,3
25,1,2
25,45,8
25,208,2
25,414,1
25,447,2
27,133,1
27,284,1
27,414,10
28,1,2
28,24,6
28,66,1
28,68,20
28,69,1
28,100,1
28,102,1
28,132,1
28,145,1
28,177,1
28,202,6
28,208,4
28,238,3
28,289,1
28,314,2
28,320,2
28,330,1
28,333,1
28,341,2
28,350,2
28,351,11
28,352,2
28,357,3
28,367,5
28,385,2
28,388,7
28,396,1
28,399,2
28,414,225
28,430,1
28,435,3
28,473,1
28,504,1
28,510,1
28,534,1
28,539,1
29,1,1
29,15,1
29,33,1
29,45,2
29,68,1
29,88,1
29,91,4
29,93,3
29,94,1
29,169,1
29,198,1
29,202,1
29,221,1
29,267,1
29,291,1
29,308,1
29,320,1
29,350,3
29,357,9
29,383,1
29,389,1
29,399,1
29,414,43
29,434,1
29,510,1
30,1,4
30,7,1
30,32,3
30,35,1
30,68,1
30,79,4
30,83,1
30,87,1
30,91,1
30,133,6
30,135,2
30,177,1
30,192,1
30,232,2
30,243,1
30,253,1
30,274,8
30,308,3
30,328,1
30,366,1
30,385,7
30,399,1
30,414,164
30,427,2
30,447,4
30,500,5
30,504,1
30,510,2
30,532,1
30,534,2
30,537,1
30,539,1
30,540,1
30,542,39
32,7,1
32,20,1
32,22,1
32,42,1
32,48,1
32,68,16
32,71,1
32,73,1
32,82,1
32,113,3
32,133,1
32,143,2
32,154,1
32,177,5
32,184,1
32,203,4
32,204,2
32,206,1
32,212,1
32,284,1
32,322,3
32,338,1
32,350,1
32,385,3
32,414,140
32,422,1
32,449,62
32,452,2
32,456,1
32,458,1
32,500,1
32,504,2
32,534,1
32,542,1
33,64,1
33,414,18
34,30,1
34,135,5
34,168,1
34,414,5
34,537,2
35,30,1
35,91,2
35,129,1
35,133,2
35,148,1
35,308,3
35,414,19
35,542,4
38,91,1
38,99,1
38,113,1
38,133,5
38,148,1
38,203,4
38,208,33
38,231,1
38,238,1
38,325,1
38,350,3
38,357,7
38,395,1
38,399,1
38,414,85
38,435,1
38,438,6
38,456,1
38,473,3
40,28,1
40,68,3
40,82,1
40,99,2
40,100,1
40,132,1
40,177,3
40,202,2
40,211,1
40,212,1
40,289,2
40,290,1
40,308,2
40,320,3
40,367,1
40,382,1
40,388,5
40,414,61
40,429,1
40,447,2
40,485,1
42,177,1
42,414,18
43,414,1
44,1,1
44,45,3
45,1,28
45,24,5
45,25,2
45,28,1
45,30,4
45,35,1
45,44,2
45,50,1
45,68,1
45,101,1
45,133,1
45,202,13
45,208,10
45,308,3
45,350,2
45,352,3
45,357,1
45,399,1
45,409,1
45,414,72
45,417,1
45,447,16
45,510,2
45,542,1
47,113,2
47,220,1
47,350,1
47,414,23
49,24,2
49,68,1
49,366,1
49,385,1
49,414,9
49,435,1
50,30,1
50,68,3
50,84,1
50,93,1
50,177,6
50,202,1
50,208,2
50,212,1
50,274,1
50,284,1
50,308,1
50,351,1
50,367,1
50,383,1
50,388,1
50,414,137
50,432,1
50,435,1
50,456,3
50,465,1
50,473,1
51,320,3
51,337,2
51,414,16
51,447,2
51,504,1
52,1,1
52,91,3
52,93,1
52,94,1
52,133,1
52,289,1
52,357,6
52,414,20
52,430,1
52,510,3
53,24,1
53,28,1
53,414,10
54,208,1
54,350,1
54,414,5
55,80,1
55,177,12
55,203,2
55,204,2
55,314,5
55,414,2
55,435,1
56,385,1
57,68,2
57,179,1
57,255,3
57,256,1
57,261,2
57,362,1
57,385,2
57,399,1
57,414,37
57,437,1
57,534,1
57,542,1
