source,target
crispr::https://openalex.org/W2117991391,crispr::https://openalex.org/W2030489085
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W1722722895
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W1973260880
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W1976391205
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W1980310638
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W1982873976
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W1988101725
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W2003171404
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W2036176224
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W2045435533
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W2064815984
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W2068427957
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W2107959600
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W2123746851
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W2127862779
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W2131395804
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W2152505144
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W2153344788
crispr::https://openalex.org/W2203807603,crispr::https://openalex.org/W2737309984
crispr::https://openalex.org/W2172072644,crispr::https://openalex.org/W1976124466
crispr::https://openalex.org/W2172072644,crispr::https://openalex.org/W1983811755
crispr::https://openalex.org/W2172072644,crispr::https://openalex.org/W1993838942
crispr::https://openalex.org/W2172072644,crispr::https://openalex.org/W2057400223
crispr::https://openalex.org/W2172072644,crispr::https://openalex.org/W2130076705
crispr::https://openalex.org/W2172072644,crispr::https://openalex.org/W2152560919
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W1968855721
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W1976391205
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W2003171404
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W2019670881
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W2045435533
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W2096182111
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W2113742465
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W2115420193
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W2122941722
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W2123746851
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W2133702185
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W2138993899
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W2145247297
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W2163353717
crispr::https://openalex.org/W2099228538,crispr::https://openalex.org/W2170978054
crispr::https://openalex.org/W2161762698,crispr::https://openalex.org/W1965404910
crispr::https://openalex.org/W2161762698,crispr::https://openalex.org/W2108101601
crispr::https://openalex.org/W2161762698,crispr::https://openalex.org/W2123965484
crispr::https://openalex.org/W2161762698,crispr::https://openalex.org/W2132496668
crispr::https://openalex.org/W2161762698,crispr::https://openalex.org/W2136252135
crispr::https://openalex.org/W2161762698,crispr::https://openalex.org/W2136495792
crispr::https://openalex.org/W2161762698,crispr::https://openalex.org/W2153355254
crispr::https://openalex.org/W2161762698,crispr::https://openalex.org/W2169244146
crispr::https://openalex.org/W2115330624,crispr::https://openalex.org/W1976391205
crispr::https://openalex.org/W2115330624,crispr::https://openalex.org/W1999068651
