community,label,n_papers,cited_by_count,first_year,anchor_labels,x,y
2,crispr: Rna / Bacterial,471,136328,2002,,-1.0,0.8434548263004242
3,crispr: Editing / Plant,440,133708,2009,,-0.5693953348664518,0.1215127087820659
4,crispr: Editing / Cas9,417,164581,2002,,0.0640221859143805,-0.5792506994524862
5,crispr: Rna / Editing,276,123061,2003,,0.4343768574952371,0.6010123298043701
6,crispr: Editing / Delivery,262,101685,2013,,0.6058701315183173,-0.0617343319642067
7,crispr: Rna / Sequence,250,31814,2000,,-0.2199107601079915,0.8177526558897474
0,crispr: Stem / Rna,219,142031,2001,Cong/Mali 2013; Cong/Mali 2013; Mali 2013; Mali 2013,1.0,1.0
1,crispr: Caenorhabditis / Elegans,47,32814,2012,Jinek 2012; Jinek 2012,-0.4845586760117972,-1.0
100001,graphene_2d_materials: Chemistry / Catalysis,410,25362,1990,,0.2272232540470944,-0.4641301519657247
100002,graphene_2d_materials: Carbon / Nanotubes,348,135628,1990,,0.2247191552717611,1.0
100006,graphene_2d_materials: Materials / Film,279,18265,1990,,-1.0,0.3448443547673108
100003,graphene_2d_materials: Sub / Materials,262,398814,1991,,-0.4125610374265358,0.7371588027507991
100007,graphene_2d_materials: Chemistry / Sub,249,20752,1990,,-0.4962581833264557,-0.3475125929006991
100004,graphene_2d_materials: Graphene / Oxide,247,318170,1991,,1.0,0.9195912965284114
100005,graphene_2d_materials: Graphene / Quantum,218,234106,1995,,0.6075729826014775,0.2454867269214844
100000,graphene_2d_materials: Carbon / Graphene,12,75969,1990,Novoselov 2004; Novoselov 2004,-0.1791210647744523,-1.0
200003,ipsc_reprogramming: Stem / Embryonic,450,155961,1995,,0.4597833184568292,1.0
200004,ipsc_reprogramming: Stem / Pluripotent,295,129559,1995,,0.0762041129086956,0.289002956664494
200005,ipsc_reprogramming: Stem / Embryonic,286,116125,1995,,-1.0,0.8334632169846512
200006,ipsc_reprogramming: Stem / Pluripotent,274,106089,2001,,1.0,-0.291298047121324
200007,ipsc_reprogramming: Stem / Embryonic,216,78311,1995,,0.2649523000972504,-0.3995684458574885
200000,ipsc_reprogramming: Cancer / Stem,146,108029,1996,Takahashi/Yamanaka 2006; Takahashi/Yamanaka 2006,-0.2256845640581322,0.8883847127137678
200001,ipsc_reprogramming: Stem / Rna,114,74487,1995,Yu 2007; Yu 2007,0.689897687727187,0.2900440711893788
200002,ipsc_reprogramming: Stem / Muscle,38,35709,1996,Takahashi 2007; Takahashi 2007,-0.4568900259338853,-1.0
300001,transformer_foundation_models: Language / Computer,478,140398,2014,,-1.0,0.2420570958938586
300002,transformer_foundation_models: Translation / Machine,447,53221,2002,,0.708339979358378,0.3697162626193906
300003,transformer_foundation_models: Language / Speech,409,55266,2002,,-0.3231429964706747,-1.0
300004,transformer_foundation_models: Learning / Image,316,385782,2008,,0.1229022380801334,-0.2263317484952599
300005,transformer_foundation_models: Translation / Machine,309,159703,2007,,0.5441020670560486,-0.8406438559644366
300007,transformer_foundation_models: Sequence / Rna,301,101613,2002,,0.2734331793759972,1.0
300006,transformer_foundation_models: Word / Language,299,94091,2003,,-0.1725120562910905,0.4189156346139986
300000,transformer_foundation_models: Language / Processing,254,172041,2012,GPT-3 2020; GPT-3 2020,1.0,-0.2746140290594658
