source,target
https://openalex.org/W2151792730,https://openalex.org/W1991538681
https://openalex.org/W1813480216,https://openalex.org/W2104906421
https://openalex.org/W1813480216,https://openalex.org/W2158310889
https://openalex.org/W2103284915,https://openalex.org/W2100506586
https://openalex.org/W3157294059,https://openalex.org/W2917883546
https://openalex.org/W3157294059,https://openalex.org/W2945856001
https://openalex.org/W3157294059,https://openalex.org/W2999606367
https://openalex.org/W3175526646,https://openalex.org/W3030163527
https://openalex.org/W3202838631,https://openalex.org/W1686810756
https://openalex.org/W3202838631,https://openalex.org/W2978017171
https://openalex.org/W3202838631,https://openalex.org/W3030163527
https://openalex.org/W2402118343,https://openalex.org/W181080099
https://openalex.org/W2402118343,https://openalex.org/W1586104099
https://openalex.org/W2402118343,https://openalex.org/W2102616831
https://openalex.org/W2402118343,https://openalex.org/W2150903784
https://openalex.org/W2402118343,https://openalex.org/W2165199647
https://openalex.org/W2402118343,https://openalex.org/W2356613612
https://openalex.org/W4397011890,https://openalex.org/W3133702157
https://openalex.org/W4397011890,https://openalex.org/W4292947474
https://openalex.org/W4397011890,https://openalex.org/W4321455981
https://openalex.org/W4397011890,https://openalex.org/W4376117416
https://openalex.org/W1815552937,https://openalex.org/W294504433
https://openalex.org/W1815552937,https://openalex.org/W2015350341
https://openalex.org/W1815552937,https://openalex.org/W2124807415
https://openalex.org/W1815552937,https://openalex.org/W2143134347
https://openalex.org/W1815552937,https://openalex.org/W2146574666
https://openalex.org/W2122287718,https://openalex.org/W2012604669
https://openalex.org/W2122287718,https://openalex.org/W2013086054
https://openalex.org/W2122287718,https://openalex.org/W2055522652
https://openalex.org/W2122287718,https://openalex.org/W2156985047
https://openalex.org/W2092944331,https://openalex.org/W2120715565
https://openalex.org/W2981952007,https://openalex.org/W2117130368
https://openalex.org/W2981952007,https://openalex.org/W2136016850
https://openalex.org/W2981952007,https://openalex.org/W2171928131
https://openalex.org/W2981952007,https://openalex.org/W2402268235
https://openalex.org/W2981952007,https://openalex.org/W2562607067
https://openalex.org/W2981952007,https://openalex.org/W2952230511
https://openalex.org/W59617196,https://openalex.org/W1989468977
https://openalex.org/W59617196,https://openalex.org/W2083745421
https://openalex.org/W4285392847,https://openalex.org/W3030163527
https://openalex.org/W2152132474,https://openalex.org/W174238510
https://openalex.org/W2152132474,https://openalex.org/W1631260214
https://openalex.org/W2152132474,https://openalex.org/W2124807415
https://openalex.org/W2152132474,https://openalex.org/W2156985047
https://openalex.org/W2152132474,https://openalex.org/W2161717513
https://openalex.org/W2112900913,https://openalex.org/W1631260214
https://openalex.org/W2112900913,https://openalex.org/W1973923101
https://openalex.org/W2112900913,https://openalex.org/W2107990107
https://openalex.org/W2112900913,https://openalex.org/W2116957398
https://openalex.org/W2112900913,https://openalex.org/W2119168550
https://openalex.org/W2112900913,https://openalex.org/W2146574666
https://openalex.org/W2112900913,https://openalex.org/W2152263452
https://openalex.org/W2112900913,https://openalex.org/W2153653739
https://openalex.org/W2112900913,https://openalex.org/W2153800732
https://openalex.org/W2112900913,https://openalex.org/W2154124206
https://openalex.org/W2112900913,https://openalex.org/W2161792612
https://openalex.org/W2112900913,https://openalex.org/W3104615938
https://openalex.org/W4396877721,https://openalex.org/W4384918448
https://openalex.org/W4396877721,https://openalex.org/W4387390364
https://openalex.org/W4396877721,https://openalex.org/W4387876242
https://openalex.org/W4396877721,https://openalex.org/W4388208052
https://openalex.org/W4396877721,https://openalex.org/W4401386967
https://openalex.org/W4403813762,https://openalex.org/W4384071683
https://openalex.org/W4403813762,https://openalex.org/W4389325518
https://openalex.org/W4403813762,https://openalex.org/W4391170193
https://openalex.org/W4403813762,https://openalex.org/W4391301614
https://openalex.org/W2055226328,https://openalex.org/W2066006005
https://openalex.org/W2055226328,https://openalex.org/W2140991203
https://openalex.org/W1798551699,https://openalex.org/W2116625254
https://openalex.org/W2120548134,https://openalex.org/W68335373
https://openalex.org/W2120548134,https://openalex.org/W137723034
https://openalex.org/W2120548134,https://openalex.org/W2010157494
https://openalex.org/W2251831285,https://openalex.org/W22168010
https://openalex.org/W2251831285,https://openalex.org/W52151953
https://openalex.org/W2251831285,https://openalex.org/W1205016396
https://openalex.org/W2251831285,https://openalex.org/W1631260214
https://openalex.org/W2251831285,https://openalex.org/W1848260265
https://openalex.org/W2251831285,https://openalex.org/W1988476074
https://openalex.org/W2251831285,https://openalex.org/W2054399842
https://openalex.org/W2251831285,https://openalex.org/W2101336838
https://openalex.org/W2251831285,https://openalex.org/W2102127584
https://openalex.org/W2251831285,https://openalex.org/W2107695330
https://openalex.org/W2251831285,https://openalex.org/W2117051955
https://openalex.org/W2251831285,https://openalex.org/W2124807415
https://openalex.org/W2251831285,https://openalex.org/W2137387514
https://openalex.org/W2251831285,https://openalex.org/W2140460368
https://openalex.org/W2251831285,https://openalex.org/W2146574666
https://openalex.org/W2251831285,https://openalex.org/W2153653739
https://openalex.org/W2251831285,https://openalex.org/W2180952760
https://openalex.org/W2251831285,https://openalex.org/W2356613612
https://openalex.org/W2251831285,https://openalex.org/W2394860946
https://openalex.org/W2087735403,https://openalex.org/W62473634
https://openalex.org/W2087735403,https://openalex.org/W155101268
https://openalex.org/W2087735403,https://openalex.org/W2107878390
https://openalex.org/W2087735403,https://openalex.org/W2116492146
https://openalex.org/W2087735403,https://openalex.org/W2121351739
https://openalex.org/W2087735403,https://openalex.org/W2137550424
https://openalex.org/W2087735403,https://openalex.org/W2159107349
https://openalex.org/W2087735403,https://openalex.org/W2167007060
https://openalex.org/W1494198834,https://openalex.org/W1631260214
https://openalex.org/W1494198834,https://openalex.org/W1934041838
https://openalex.org/W1494198834,https://openalex.org/W2164107060
https://openalex.org/W4285294723,https://openalex.org/W2133459682
https://openalex.org/W4285294723,https://openalex.org/W2606974598
https://openalex.org/W4285294723,https://openalex.org/W2896457183
https://openalex.org/W4285294723,https://openalex.org/W2945260553
https://openalex.org/W4285294723,https://openalex.org/W2952468927
https://openalex.org/W4285294723,https://openalex.org/W2973727699
https://openalex.org/W4285294723,https://openalex.org/W3007759824
https://openalex.org/W4285294723,https://openalex.org/W3122890974
https://openalex.org/W2963290255,https://openalex.org/W179875071
https://openalex.org/W2963290255,https://openalex.org/W2118434577
https://openalex.org/W2963290255,https://openalex.org/W2133564696
https://openalex.org/W2963290255,https://openalex.org/W2197913429
https://openalex.org/W2963290255,https://openalex.org/W2259472270
https://openalex.org/W2963290255,https://openalex.org/W2476140796
https://openalex.org/W2963290255,https://openalex.org/W2507756961
https://openalex.org/W2963290255,https://openalex.org/W2962944953
https://openalex.org/W2963290255,https://openalex.org/W2964165364
https://openalex.org/W4390054202,https://openalex.org/W3030163527
https://openalex.org/W4390054202,https://openalex.org/W4323655724
https://openalex.org/W3096297644,https://openalex.org/W854541894
https://openalex.org/W3096297644,https://openalex.org/W1915251500
https://openalex.org/W3096297644,https://openalex.org/W2327501763
https://openalex.org/W3096297644,https://openalex.org/W2577366047
https://openalex.org/W3096297644,https://openalex.org/W2896457183
https://openalex.org/W3096297644,https://openalex.org/W2935811960
https://openalex.org/W3096297644,https://openalex.org/W2936774411
https://openalex.org/W3096297644,https://openalex.org/W2972991710
https://openalex.org/W3096297644,https://openalex.org/W3035317912
https://openalex.org/W4385993476,https://openalex.org/W3030163527
https://openalex.org/W4385993476,https://openalex.org/W3195577433
https://openalex.org/W4385993476,https://openalex.org/W4225411436
https://openalex.org/W4389524159,https://openalex.org/W4221143046
https://openalex.org/W4389524159,https://openalex.org/W4221161695
https://openalex.org/W4389524159,https://openalex.org/W4226278401
https://openalex.org/W4389524159,https://openalex.org/W4281483047
https://openalex.org/W4389524159,https://openalex.org/W4281557260
https://openalex.org/W4389524159,https://openalex.org/W4281690148
https://openalex.org/W4389524159,https://openalex.org/W4304194220
https://openalex.org/W2952902402,https://openalex.org/W1539309091
https://openalex.org/W2952902402,https://openalex.org/W2058641082
https://openalex.org/W2952902402,https://openalex.org/W2185726469
https://openalex.org/W2952902402,https://openalex.org/W2259472270
https://openalex.org/W2952902402,https://openalex.org/W2410082850
https://openalex.org/W2952902402,https://openalex.org/W2418388682
https://openalex.org/W2952902402,https://openalex.org/W2549416390
https://openalex.org/W2952902402,https://openalex.org/W2553303224
https://openalex.org/W2952902402,https://openalex.org/W2767321762
https://openalex.org/W2952902402,https://openalex.org/W2792376130
https://openalex.org/W2952902402,https://openalex.org/W2894175714
https://openalex.org/W2952902402,https://openalex.org/W2963970792
https://openalex.org/W2952564229,https://openalex.org/W1753482797
https://openalex.org/W2952564229,https://openalex.org/W1902237438
https://openalex.org/W2952564229,https://openalex.org/W2100664567
https://openalex.org/W2952564229,https://openalex.org/W2311921240
https://openalex.org/W2952564229,https://openalex.org/W2339995566
https://openalex.org/W2952564229,https://openalex.org/W2410539690
https://openalex.org/W2952564229,https://openalex.org/W2418388682
https://openalex.org/W2952564229,https://openalex.org/W2525778437
https://openalex.org/W2952564229,https://openalex.org/W2552838200
https://openalex.org/W2952564229,https://openalex.org/W2574872930
https://openalex.org/W2952564229,https://openalex.org/W2949888546
https://openalex.org/W2952564229,https://openalex.org/W2950855294
https://openalex.org/W2952564229,https://openalex.org/W2963991316
https://openalex.org/W1916806189,https://openalex.org/W1631260214
https://openalex.org/W1916806189,https://openalex.org/W1665921526
https://openalex.org/W1916806189,https://openalex.org/W1797288984
https://openalex.org/W1916806189,https://openalex.org/W2111305191
https://openalex.org/W1996465127,https://openalex.org/W23077562
https://openalex.org/W1996465127,https://openalex.org/W1631260214
https://openalex.org/W1996465127,https://openalex.org/W1973923101
https://openalex.org/W1996465127,https://openalex.org/W2017802499
https://openalex.org/W1996465127,https://openalex.org/W2107990107
https://openalex.org/W1996465127,https://openalex.org/W2116957398
https://openalex.org/W1996465127,https://openalex.org/W2119168550
https://openalex.org/W1996465127,https://openalex.org/W2132248251
https://openalex.org/W1996465127,https://openalex.org/W2152263452
https://openalex.org/W1996465127,https://openalex.org/W2153653739
https://openalex.org/W1996465127,https://openalex.org/W2153800732
https://openalex.org/W1996465127,https://openalex.org/W2160382364
https://openalex.org/W1996465127,https://openalex.org/W2161792612
https://openalex.org/W1996465127,https://openalex.org/W2162245945
https://openalex.org/W1996465127,https://openalex.org/W2170464899
https://openalex.org/W1996465127,https://openalex.org/W3104029765
https://openalex.org/W1996465127,https://openalex.org/W3198494294
https://openalex.org/W2143265773,https://openalex.org/W2024853046
https://openalex.org/W3148352994,https://openalex.org/W2032175749
https://openalex.org/W3148352994,https://openalex.org/W2102258316
https://openalex.org/W3148352994,https://openalex.org/W2156985047
https://openalex.org/W4214888637,https://openalex.org/W2917128112
https://openalex.org/W4214888637,https://openalex.org/W3030163527
https://openalex.org/W2788009253,https://openalex.org/W179875071
https://openalex.org/W2788009253,https://openalex.org/W1505680913
