source_community,target_community,weight
1,32,5
1,209,1
1,351,1
1,480,4
1,491,4
1,741,5
2,24,1
2,32,5
3,32,1
3,491,1
4,71,10
4,420,1
4,466,1
4,469,1
4,491,5
4,688,1
4,700,1
4,736,1
4,741,27
4,775,1
5,32,11
5,39,1
5,71,4
5,100,2
5,209,2
5,256,1
5,419,2
5,420,1
5,480,9
5,491,3
5,644,3
5,731,1
5,741,14
6,326,1
6,420,1
6,433,1
6,480,1
6,491,1
6,688,1
6,741,11
7,43,1
7,209,1
7,332,1
7,480,1
7,592,2
7,688,1
7,741,6
13,649,1
15,741,1
19,491,3
19,699,3
20,6,1
20,70,1
20,71,2
20,491,1
20,741,4
21,491,2
21,699,1
21,741,4
22,32,3
22,100,1
22,209,1
22,416,1
22,419,1
22,491,30
22,741,69
23,32,1
24,32,9
24,39,2
24,209,2
24,298,3
24,351,1
24,741,8
25,24,1
25,32,8
25,39,1
25,209,1
25,312,1
25,351,1
25,363,9
25,480,4
25,491,10
25,633,2
25,699,1
25,737,4
25,741,26
27,701,1
28,5,1
28,32,1
28,741,1
29,480,1
29,491,5
29,688,3
29,692,2
29,699,1
29,741,6
30,32,4
30,209,1
30,416,1
30,480,1
30,491,3
30,699,4
30,741,14
32,1,2
32,2,5
32,5,3
32,22,2
32,24,12
32,25,5
32,39,33
32,43,1
32,57,1
32,100,2
32,112,3
32,209,22
32,263,2
32,298,6
32,332,1
32,351,8
32,360,1
32,416,3
32,480,47
32,491,61
32,496,8
32,592,3
32,626,3
32,629,1
32,657,1
32,671,1
32,688,1
32,699,6
32,735,1
32,741,242
32,768,1
32,775,13
34,491,1
34,741,1
36,71,2
36,491,6
36,592,1
36,688,3
36,741,7
38,89,1
38,153,1
38,160,1
38,255,2
38,344,1
38,363,10
38,396,1
38,466,1
38,491,32
38,669,1
38,671,6
38,699,3
38,701,1
38,729,1
38,737,1
38,741,45
38,780,2
39,32,4
39,112,1
39,298,1
39,480,2
39,491,1
39,652,2
39,741,5
43,32,3
43,39,4
43,71,2
43,209,2
43,254,1
43,447,1
43,480,6
43,491,62
43,576,2
43,688,3
43,692,1
43,699,3
43,741,59
44,94,2
45,32,1
45,491,2
45,741,3
45,746,1
47,32,3
47,115,2
47,179,1
47,491,29
47,699,13
47,701,1
47,729,2
47,740,1
47,741,26
48,133,1
48,418,1
51,310,1
57,32,6
57,43,2
57,298,2
57,331,1
57,351,1
57,418,1
57,420,1
57,480,4
57,491,2
57,688,1
57,741,20
60,741,1
61,688,1
61,741,2
62,765,1
69,209,1
69,298,1
69,480,1
69,741,1
70,144,1
70,196,1
70,469,1
70,688,3
70,741,4
71,4,2
71,5,3
71,32,5
71,43,1
71,70,1
71,82,1
71,100,21
71,102,1
71,113,1
71,116,1
71,144,4
71,160,1
71,181,1
71,186,1
71,199,3
71,207,1
71,209,18
71,224,1
71,247,8
71,256,4
71,263,1
71,264,5
71,273,1
71,298,2
71,310,1
71,311,2
71,332,5
71,336,1
71,363,2
71,396,3
71,400,1
71,418,10
71,419,56
71,420,7
71,429,1
71,433,2
71,447,5
71,466,11
71,469,1
71,471,2
71,480,20
71,491,62
71,496,2
71,589,1
71,592,5
71,597,1
71,602,1
71,614,9
71,621,1
71,622,5
71,626,1
71,629,1
71,671,1
71,678,1
71,688,18
71,692,2
71,696,1
71,699,15
71,701,2
71,713,2
71,731,2
71,736,2
71,741,640
71,796,1
72,32,1
72,71,2
72,100,1
72,113,1
72,209,3
72,263,1
72,419,1
72,447,1
72,480,2
72,491,5
72,688,1
72,741,42
77,63,1
78,741,1
79,29,1
79,36,1
79,363,1
79,491,9
79,671,1
79,737,3
79,741,4
80,498,1
81,32,2
81,491,3
81,741,4
81,768,1
86,418,1
86,688,1
86,741,1
89,179,1
89,351,1
89,491,6
89,699,2
89,741,5
90,491,2
90,741,4
93,480,1
93,741,3
94,44,1
94,553,1
94,561,2
94,566,1
94,574,6
97,300,1
99,22,1
99,32,1
99,100,1
99,298,1
99,597,1
99,741,8
100,25,1
100,70,1
100,71,5
100,99,3
100,325,2
100,419,4
100,420,1
100,486,1
100,491,21
100,546,1
100,669,8
100,671,2
100,678,1
100,699,2
100,741,69
101,38,1
