community,label,x,y
0,14-3-3 protein interactions,0.6921102869434548,-0.5524612067176861
1,3D Shape Modeling and Analysis,0.04553714155976652,-0.005653405277874643
2,3D Surveying and Cultural Heritage,0.011404165378764222,0.05027982110454284
3,AI and HR Technologies,0.035016228330711406,0.0951204643249227
4,AI in Service Interactions,-0.01895392058802957,-0.08714629652965838
5,AI in cancer detection,-0.00950715943205967,-0.028295468479360947
6,AI-based Problem Solving and Planning,-0.06571096523709254,-0.05724979402479003
7,Academic integrity and plagiarism,-0.027422411151280707,-0.03719867952881102
8,Access Control and Trust,-0.7186617326773773,-0.4198015711394401
9,Acoustic Wave Phenomena Research,-0.9571917099225061,-0.22845558522927675
10,Actinomycetales infections and treatment,0.8509173208466199,-0.4252353369990766
11,Action Observation and Synchronization,-0.14513177204428887,-0.02534672168916737
12,Adaptive Control of Nonlinear Systems,-0.7445228914553891,-0.666248404406359
13,Adaptive Dynamic Programming Control,-0.011853039447832734,0.1911286283014312
14,Adipose Tissue and Metabolism,-0.9214833199419795,0.4414865875939661
15,Advanced Clustering Algorithms Research,-0.12329105170494338,0.03865507538744884
16,Advanced Combinatorial Mathematics,0.844083639312145,0.12244726193914245
17,Advanced Computational Techniques and Applications,0.13033438259289454,0.2277993265750036
18,Advanced DC-DC Converters,-0.9196385139680601,-0.34753140296817236
19,Advanced Data Compression Techniques,0.06918424225220789,-0.010770807234207563
20,Advanced Data Processing Techniques,-0.05461450877444319,-0.05473111805869091
21,Advanced Database Systems and Queries,0.09006262066811178,-0.014320996649946266
22,Advanced Graph Neural Networks,0.019791648996833937,-0.02981016802188779
23,Advanced Image Fusion Techniques,-0.09641997502401906,0.11014188101122313
24,Advanced Image Processing Techniques,0.009069355502989436,-0.005204812102775728
25,Advanced Image and Video Retrieval Techniques,0.027220724847978894,-0.0307611942833413
26,Advanced MEMS and NEMS Technologies,-0.5939544026925215,-0.7215703495609993
27,Advanced MIMO Systems Optimization,0.14636229882899796,-0.10174052396585843
28,Advanced MRI Techniques and Applications,-0.09437706631290166,-0.08716635873163191
29,Advanced Malware Detection Techniques,0.029106464330507592,0.012954045004411684
30,Advanced Memory and Neural Computing,0.025591071552999774,-0.016527360642652658
31,Advanced NMR Techniques and Applications,0.8731743498889774,-0.20175118257636326
32,Advanced Neural Network Applications,0.010968305058495262,-0.019504705496284372
33,Advanced Neuroimaging Techniques and Applications,-0.020609196947323105,0.8353384290318816
34,Advanced Proteomics Techniques and Applications,-0.07010363264436009,-0.12975029313478942
35,Advanced Software Engineering Methodologies,-0.0037228584010808976,-0.9644232862045847
36,Advanced Steganography and Watermarking Techniques,0.04874278542974835,-0.01521798692691547
37,Advanced Surface Polishing Techniques,-0.4958724182225157,0.7868092394341591
38,Advanced Text Analysis Techniques,0.0365207005456558,-0.06327948624666416
39,Advanced Vision and Imaging,0.019519845381504638,-0.027171189122516582
40,Advanced Wireless Communication Techniques,0.9823161350876487,-0.06884609395399156
41,Advanced biosensing and bioanalysis techniques,-0.7909054891331968,0.5131551547389908
42,Advancements in PLL and VCO Technologies,-0.591513444363784,-0.6767330496849152
43,Adversarial Robustness in Machine Learning,0.019290062651621337,-0.05516756015580478
44,Agronomic Practices and Intercropping Systems,0.1109772563587644,-0.706880640307983
45,Air Quality Monitoring and Forecasting,0.10169173870999101,-0.032598116847833106
46,Air Quality and Health Impacts,-0.6223624186349195,-0.745774922779929
47,Algorithms and Data Compression,0.031940353070239014,-0.06097055985340698
48,Alzheimer's disease research and treatments,-0.17339199025071186,0.1402803351893883
49,American Constitutional Law and Politics,0.8100239389670199,0.2648058175575165
50,Amino Acid Enzymes and Metabolism,0.3008303571790325,0.9046370710829319
