id,year,title,domain,primary_field,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,primary_topic,community,community_label,display_label
https://openalex.org/W1631260214,2002,SRILM - an extensible language modeling toolkit,transformer_foundation_models,Translation / Machine,2,0,,W1631260214,10.21437/icslp.2002-303,4397,Natural Language Processing Techniques,11,Translation / Machine,Translation / Machine
https://openalex.org/W1934041838,2002,Improved backing-off for M-gram language modeling,transformer_foundation_models,Language / Speech,3,0,,W1934041838,10.1109/icassp.1995.479394,1493,Natural Language Processing Techniques,180,Language / Speech,Language / Speech
https://openalex.org/W1904457459,2002,A post-processing system to yield reduced word error rates: Recognizer Output Voting Error Reduction (ROVER),transformer_foundation_models,Translation / Machine,2,0,,W1904457459,10.1109/asru.1997.659110,1097,Speech and dialogue systems,11,Translation / Machine,Translation / Machine
https://openalex.org/W2025643392,2002,Self-focused attention and negative affect: A meta-analysis.,transformer_foundation_models,Psychology / Visual,23,0,,W2025643392,10.1037/0033-2909.128.4.638,1048,"Anxiety, Depression, Psychometrics, Treatment, Cognitive Processes",23,Psychology / Visual,
https://openalex.org/W2024644662,2002,Ordered Mesoporous and Microporous Molecular Sieves Functionalized with Transition Metal Complexes as Catalysts for Selective Organic Transformations,transformer_foundation_models,Mesoporous / Organic,2,0,,W2024644662,10.1021/cr010368u,1039,Mesoporous Materials and Catalysis,2,Mesoporous / Organic,
https://openalex.org/W2105157020,2002,Probabilistic models of information retrieval based on measuring the divergence from randomness,transformer_foundation_models,Language / Retrieval,10,0,,W2105157020,10.1145/582415.582416,882,Advanced Text Analysis Techniques,10,Language / Retrieval,
https://openalex.org/W2006256395,2002,Attention modulates responses in the human lateral geniculate nucleus,transformer_foundation_models,Psychology / Visual,23,0,,W2006256395,10.1038/nn957,746,Visual perception and processing mechanisms,23,Psychology / Visual,
https://openalex.org/W2079168273,2002,Predicting query performance,transformer_foundation_models,Language / Retrieval,10,0,,W2079168273,10.1145/564376.564429,667,Topic Modeling,10,Language / Retrieval,
https://openalex.org/W2052745477,2002,"Sphingosine 1-Phosphate, a Key Cell Signaling Molecule",transformer_foundation_models,Sphingosine / Signaling,5,0,,W2052745477,10.1074/jbc.r200007200,558,Sphingolipid Metabolism and Signaling,5,Sphingosine / Signaling,
https://openalex.org/W2087090612,2002,"Sequence stratigraphy of clastic systems: concepts, merits, and pitfalls",transformer_foundation_models,Stratigraphy / Sequence,289,0,,W2087090612,10.1016/s0899-5362(02)00004-0,529,Geological formations and processes,289,Stratigraphy / Sequence,
