scope,domain,control_tier,n_rows,tier_count,tier_rate,relaxed_tier_rate,n_controls_median,n_controls_min,n_controls_max
all,all,all_non_landmark,5893,223,0.037841506872560667,0.06482267096555235,43.0,20.0,5887.0
all,all,field_all_years,5893,159,0.026981164092991686,0.06482267096555235,43.0,20.0,5887.0
all,all,field_year,5893,1783,0.30256236212455456,0.06482267096555235,43.0,20.0,5887.0
all,all,field_year3,5893,454,0.07704055659256745,0.06482267096555235,43.0,20.0,5887.0
all,all,field_year_refbin,5893,3274,0.5555744103173257,0.06482267096555235,43.0,20.0,5887.0
domain,crispr,all_non_landmark,1817,36,0.01981287837094111,0.03026967528893781,41.0,20.0,5887.0
domain,crispr,field_all_years,1817,19,0.010456796917996699,0.03026967528893781,41.0,20.0,5887.0
domain,crispr,field_year,1817,808,0.44468904788112273,0.03026967528893781,41.0,20.0,5887.0
domain,crispr,field_year3,1817,113,0.06219042377545404,0.03026967528893781,41.0,20.0,5887.0
domain,crispr,field_year_refbin,1817,841,0.4628508530544854,0.03026967528893781,41.0,20.0,5887.0
domain,graphene_2d_materials,all_non_landmark,998,84,0.0841683366733467,0.11422845691382766,39.0,20.0,5886.0
domain,graphene_2d_materials,field_all_years,998,30,0.03006012024048096,0.11422845691382766,39.0,20.0,5886.0
domain,graphene_2d_materials,field_year,998,337,0.3376753507014028,0.11422845691382766,39.0,20.0,5886.0
domain,graphene_2d_materials,field_year3,998,116,0.11623246492985972,0.11422845691382766,39.0,20.0,5886.0
domain,graphene_2d_materials,field_year_refbin,998,431,0.4318637274549098,0.11422845691382766,39.0,20.0,5886.0
domain,ipsc_reprogramming,all_non_landmark,1972,41,0.02079107505070994,0.056795131845841784,49.0,20.0,5887.0
domain,ipsc_reprogramming,field_all_years,1972,71,0.03600405679513185,0.056795131845841784,49.0,20.0,5887.0
domain,ipsc_reprogramming,field_year,1972,416,0.21095334685598377,0.056795131845841784,49.0,20.0,5887.0
domain,ipsc_reprogramming,field_year3,1972,162,0.0821501014198783,0.056795131845841784,49.0,20.0,5887.0
domain,ipsc_reprogramming,field_year_refbin,1972,1282,0.6501014198782962,0.056795131845841784,49.0,20.0,5887.0
domain,transformer_foundation_models,all_non_landmark,1106,62,0.05605786618444846,0.09132007233273057,44.0,20.0,5886.0
domain,transformer_foundation_models,field_all_years,1106,39,0.0352622061482821,0.09132007233273057,44.0,20.0,5886.0
domain,transformer_foundation_models,field_year,1106,222,0.2007233273056058,0.09132007233273057,44.0,20.0,5886.0
domain,transformer_foundation_models,field_year3,1106,63,0.056962025316455694,0.09132007233273057,44.0,20.0,5886.0
domain,transformer_foundation_models,field_year_refbin,1106,720,0.650994575045208,0.09132007233273057,44.0,20.0,5886.0
