paper_id,domain,year,primary_field,is_landmark,n_controls,control_tier,community_reach_control_mad,community_reach_scale_used,community_reach_scale_floor_used,community_reach_mad_zero,community_reach_z_clipped,field_entropy_control_mad,field_entropy_scale_used,field_entropy_scale_floor_used,field_entropy_mad_zero,field_entropy_z_clipped,cross_community_adoption_control_mad,cross_community_adoption_scale_used,cross_community_adoption_scale_floor_used,cross_community_adoption_mad_zero,cross_community_adoption_z_clipped,path_shortening_control_mad,path_shortening_scale_used,path_shortening_scale_floor_used,path_shortening_mad_zero,path_shortening_z_clipped,modularity_shock_control_mad,modularity_shock_scale_used,modularity_shock_scale_floor_used,modularity_shock_mad_zero,modularity_shock_z_clipped,partition_change_control_mad,partition_change_scale_used,partition_change_scale_floor_used,partition_change_mad_zero,partition_change_z_clipped,boundary_mixing_control_mad,boundary_mixing_scale_used,boundary_mixing_scale_floor_used,boundary_mixing_mad_zero,boundary_mixing_z_clipped,post_perturbation_concentration_control_mad,post_perturbation_concentration_scale_used,post_perturbation_concentration_scale_floor_used,post_perturbation_concentration_mad_zero,post_perturbation_concentration_z_clipped,hub_formation_control_mad,hub_formation_scale_used,hub_formation_scale_floor_used,hub_formation_mad_zero,hub_formation_z_clipped,n_delta_scale_floor_used,n_delta_mad_zero,n_delta_z_clipped
graphene_2d_materials::https://openalex.org/W2091804031,graphene_2d_materials,1991,Chemistry / Materials,0,5886,all_non_landmark,1.4826,1.4826,0,0,0,0.6680020482637008,0.6680020482637008,0,0,0,0.4236,0.4236,0,0,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.34530346157482456,0.34530346157482456,0,0,0,0.11251650150892989,0.11251650150892989,0,0,0,0.41698124999999997,0.41698124999999997,0,0,0,0.0,0.02,1,1,0,3,3,0
graphene_2d_materials::https://openalex.org/W1542482684,graphene_2d_materials,1993,Chemistry / Catalysis,0,111,field_all_years,1.4826,1.4826,0,0,0,1.4827318040026374e-12,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.09554533333333345,0.10424531249999999,1,0,0,0.0,0.02,1,1,0,8,7,0
graphene_2d_materials::https://openalex.org/W1964642922,graphene_2d_materials,1993,Materials / Film,0,64,field_all_years,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W1968164954,graphene_2d_materials,1993,Chemistry / Materials,0,5886,all_non_landmark,1.4826,1.4826,0,0,0,0.6680020482637008,0.6680020482637008,0,0,0,0.4236,0.4236,0,0,0,0.0,0.001,1,1,1,0.0,0.001,1,1,1,0.345664316227736,0.345664316227736,0,0,0,0.11239564263322886,0.11239564263322886,0,0,0,0.41698124999999997,0.41698124999999997,0,0,0,0.0,0.02,1,1,0,3,3,2
graphene_2d_materials::https://openalex.org/W2069810599,graphene_2d_materials,1993,Chemistry / Catalysis,0,111,field_all_years,1.4826,1.4826,0,0,0,1.4827318040026374e-12,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.09554533333333345,0.10424531249999999,1,0,0,0.0,0.02,1,1,0,8,7,0
graphene_2d_materials::https://openalex.org/W1998846705,graphene_2d_materials,1994,Materials / Film,0,20,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W2042663049,graphene_2d_materials,1994,Materials / Film,0,20,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W2042845138,graphene_2d_materials,1994,Materials / Film,0,20,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W2057851761,graphene_2d_materials,1994,Carbon / Nanotubes,0,41,field_all_years,1.4826,1.4826,0,0,0,1.4827318040026374e-12,0.1670005120659252,1,1,0,0.4942,0.4942,0,0,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.282990540551257,0.282990540551257,0,0,0,0.08436790281329933,0.08436790281329933,0,0,0,0.4942,0.4942,0,0,0,0.0,0.02,1,1,0,4,4,0
graphene_2d_materials::https://openalex.org/W2334006453,graphene_2d_materials,1994,Chemistry / Materials,0,5886,all_non_landmark,1.4826,1.4826,0,0,0,0.6680020482637008,0.6680020482637008,0,0,0,0.4236,0.4236,0,0,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.34530346157482456,0.34530346157482456,0,0,0,0.11251650150892989,0.11251650150892989,0,0,0,0.41698124999999997,0.41698124999999997,0,0,0,0.0,0.02,1,1,0,3,3,0
graphene_2d_materials::https://openalex.org/W1983956165,graphene_2d_materials,1995,Chemistry / Catalysis,0,21,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,1,0.0,0.001,1,1,1,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,1,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,3
graphene_2d_materials::https://openalex.org/W2013005775,graphene_2d_materials,1995,Materials / Film,0,25,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W2018823200,graphene_2d_materials,1995,Chemistry / Catalysis,0,21,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W2040403588,graphene_2d_materials,1995,Carbon / Nanotubes,0,41,field_all_years,1.4826,1.4826,0,0,0,1.4827318040026374e-12,0.1670005120659252,1,1,0,0.4942,0.4942,0,0,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.282990540551257,0.282990540551257,0,0,0,0.08436790281329933,0.08436790281329933,0,0,0,0.49420000000000003,0.49420000000000003,0,0,0,0.0,0.02,1,1,0,4,4,0
graphene_2d_materials::https://openalex.org/W2049449367,graphene_2d_materials,1995,Chemistry / Catalysis,0,21,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W2056663269,graphene_2d_materials,1995,Materials / Film,0,25,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W2061817967,graphene_2d_materials,1995,Materials / Film,0,25,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W2073484000,graphene_2d_materials,1995,Materials / Film,0,25,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W2077704487,graphene_2d_materials,1995,Materials / Film,0,25,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W2092640920,graphene_2d_materials,1995,Materials / Film,0,25,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W2163927137,graphene_2d_materials,1995,Chemistry / Catalysis,0,21,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W1600061017,graphene_2d_materials,1996,Materials / Film,0,36,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,1,0.0,0.02,1,1,0,9,9,1
graphene_2d_materials::https://openalex.org/W1988926593,graphene_2d_materials,1996,Chemistry / Catalysis,0,27,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,0,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,0,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,0
graphene_2d_materials::https://openalex.org/W1995989150,graphene_2d_materials,1996,Materials / Film,0,36,field_year3,0.0,0.37065,1,1,0,0.0,0.1670005120659252,1,1,0,0.0,0.1059,1,1,1,0.0,0.001,1,1,0,0.0,0.001,1,1,0,0.0,0.08650362087540527,1,1,1,0.0,0.028148032150776058,1,1,0,0.0,0.10424531249999999,1,1,0,0.0,0.02,1,1,0,9,9,2
