model,kind,metric,oof_spearman,ci_low,ci_high,delta_vs_equal,fold,n_train,n_test,selected_lambda,train_spearman,test_spearman,linear_oof_spearman,equal_weight_spearman,delta_vs_linear
equal_weights,fixed,,0.1408328540320942,0.11412481693880588,0.16222976401887967,0.0,,,,,,,,,
best_single_indicator,single_indicator,DeltaQ0,0.16727772690900042,0.1411415758277252,0.1912548537439707,0.026444872876906222,,,,,,,,,
reference_count,bibliometric,,0.07269086401328048,0.04618069306689256,0.09824492127480718,-0.06814199001881371,,,,,,,,,
cited_by_count,bibliometric,,0.29430444478985895,0.26712803488772746,0.31980360510625844,0.15347159075776476,,,,,,,,,
random_dirichlet_median,sampled_weights,,0.13556939300560777,,,-0.005263461026486421,,,,,,,,,
learned_weight_oof,learned_hybrid,,0.16198389073507438,0.13878565551827146,0.18531849025052738,0.021151036702980186,,,,,,,,,
quadratic_ridge_oof,,,,,,0.11172318775921516,0.0,5893.0,5893.0,,,0.25255604179130936,0.16198389073507438,0.1408328540320942,0.09057215105623498
quadratic_ridge_oof_fold,,,,,,,1.0,4076.0,1817.0,0.01,0.2557043135391585,0.3061234527499217,0.16198389073507438,0.1408328540320942,
quadratic_ridge_oof_fold,,,,,,,2.0,4895.0,998.0,0.3,0.2858392534364389,0.314120764703996,0.16198389073507438,0.1408328540320942,
quadratic_ridge_oof_fold,,,,,,,3.0,3921.0,1972.0,10.0,0.3359784043059144,0.1344548572252181,0.16198389073507438,0.1408328540320942,
quadratic_ridge_oof_fold,,,,,,,4.0,4787.0,1106.0,0.03,0.30211325999519334,0.25584921702848323,0.16198389073507438,0.1408328540320942,
