variable,kind,n,spearman_with_rgpm,nonzero_rate,median,iqr,cap_hit_rate
RGPM_expansion_component,mechanism_component,5893,0.5537906858279737,0.48718818937722724,0.0,0.9825500739990966,
RGPM_bridging_component,mechanism_component,5893,0.6821910229064044,0.4367894111657899,0.0,0.6744907594765952,
RGPM_reconfiguration_component,mechanism_component,5893,0.6929114468267775,0.6466994739521467,0.311117909987125,1.0238841631318125,
RGPM_consolidation_component,mechanism_component,5893,0.08447868795665539,0.4277956898014594,0.0,0.6744907594765952,
community_reach_z,delta_z,5893,0.4628177262817852,0.7378245375869676,0.0,1.3489815189531904,0.03597488545732225
field_entropy_z,delta_z,5893,0.35165297863952816,0.8196164941455965,0.0,1.0765394639048362,0.03733242830476837
cross_community_adoption_z,delta_z,5893,0.5192927238248924,0.8045138299677583,0.0,1.1886308855681884,0.05362294247412184
path_shortening_z,delta_z,5893,0.09058289423914624,0.1394875275750891,0.0,0.0,0.12302732054980485
modularity_shock_z,delta_z,5893,0.16033496585934956,0.44849821822501273,0.0,2.707205331112093,0.2278975055150178
partition_change_z,delta_z,5893,0.5127482206131639,0.9112506363482097,0.0,1.3761123539080917,0.02290853555065332
boundary_mixing_z,delta_z,5893,0.378286824143352,0.9102324792126252,0.0,1.39188320086651,0.029865942643814695
post_perturbation_concentration_z,delta_z,5893,-0.0064152550791045804,0.8942813507551333,0.0,1.3489815189531904,0.05294417105039878
hub_formation_z,delta_z,5893,-0.04248842955006191,0.003733242830476837,0.0,0.0,0.0023756999830307143
community_reach,delta_raw,5893,0.43206629717000233,0.8888511793653487,2.0,3.0,
field_entropy,delta_raw,5893,0.29986451794434443,0.8888511793653487,0.4505612088643047,0.9910022659971258,
cross_community_adoption,delta_raw,5893,0.5498453392773349,0.6650263023926692,0.2857142857142857,0.631578947368421,
path_shortening,delta_raw,5893,0.10313968959164709,0.13083319192262005,0.0,0.0,
modularity_shock,delta_raw,5893,0.16914666690602193,0.3648396402511454,0.0,0.009278724308074252,
partition_change,delta_raw,5893,0.5644106952150632,0.7961988800271509,0.3112781244591328,0.46188132503324286,
boundary_mixing,delta_raw,5893,0.34326587329685665,0.86475479382318,0.0,0.14882414882414885,
post_perturbation_concentration,delta_raw,5893,0.022059719327363236,0.8888511793653487,0.5,0.7222222222222222,
hub_formation,delta_raw,5893,-0.042496352433630605,1.0,1.0,0.0,
