w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,cv_spearman,cv_spearman_delta_vs_equal
0.00324585,0.31153442,0.07112348,0.1677354,0.31432075,0.09388368,0.03815643,0.14276721905191495,0.0019343650198207496
0.27904046,0.1606297,0.02678783,0.00251881,0.09296052,0.43057439,0.0074883,0.08521690160124493,-0.05561595243084927
0.1318853,0.11272731,0.26150571,0.03485335,0.03697675,0.23070775,0.19134384,0.147245361118634,0.006412507086539815
0.00223657,0.02085412,0.35655954,0.164406,0.33647131,0.01601123,0.10346122,0.17202775572431436,0.031194901692220167
0.09256266,0.04381592,0.23691976,0.05300479,0.33760579,0.02258812,0.21350296,0.158497740426851,0.0176648863947568
0.16145936,0.27359461,0.10069074,0.02349753,0.06061304,0.19624296,0.18390176,0.13452787879159162,-0.0063049752405025805
0.09124689,0.03377357,0.08008582,0.18221084,0.36132242,0.13238108,0.11897939,0.13718601997560215,-0.0036468340564920487
0.25090117,0.21451294,0.0876227,0.15155889,0.10350739,0.08479837,0.10709854,0.13172040484941006,-0.00911244918268414
0.16603823,0.45510259,0.13956903,0.09433496,0.0777977,0.04675691,0.02040059,0.14801037627225047,0.0071775222401562755
0.26975226,0.07157932,0.08676199,0.06273456,0.17650084,0.29023321,0.04243783,0.10515929369206584,-0.03567356034002836
0.00777306,0.02853991,0.0640756,0.27403526,0.07477438,0.29457183,0.25622996,0.12671021013962303,-0.01412264389247117
0.11930019,0.18843287,0.05113575,0.47163035,0.00358036,0.08146119,0.08445929,0.12639307051325044,-0.014439783518843757
0.31718933,0.02483029,0.07184678,0.09367022,0.31599053,0.03886828,0.13760456,0.12769376653641934,-0.013139087495674856
0.05680843,0.16895204,0.04088405,0.20910323,0.10881651,0.19698816,0.21844757,0.13215717683306488,-0.008675677199029314
0.00663836,0.07811805,0.08326617,0.14718415,0.02259624,0.60934963,0.05284738,0.09106852613078265,-0.04976432790131155
0.10424181,0.01749444,0.14401926,0.01258059,0.01036787,0.66613359,0.04516245,0.08313688792943767,-0.057695966102656523
0.11147008,0.02013522,0.34637326,0.19364365,0.14300078,0.02284498,0.16253203,0.17033779022807574,0.029504936195981546
0.40987134,0.08001752,0.12320634,0.23911586,0.10452162,0.02216961,0.02109771,0.11074024827808009,-0.03009260575401411
0.01972953,0.04589468,0.02118215,0.36318626,0.2504831,0.0725279,0.22699637,0.12936324817524208,-0.011469605856852111
0.09714897,0.36932775,0.01690407,0.27757918,0.10222543,0.01536843,0.12144617,0.1338801196085267,-0.006952734423567503
0.09137506,0.01192729,0.14223138,0.01355894,0.19683488,0.18224634,0.3618261,0.1441489813049859,0.0033161272728917113
0.00250108,0.28006169,0.17579837,0.2620045,0.02276651,0.07049162,0.18637623,0.16117284633132145,0.020339992299227255
0.25243691,0.01413539,0.09377515,0.01318424,0.13749091,0.06254211,0.42643529,0.13553115061765922,-0.005301703414434977
0.40665297,0.03042718,0.02065769,0.00657703,0.15190737,0.21200218,0.17177558,0.0953150272304629,-0.0455178268016313
0.08272093,0.30543197,0.09194426,0.13302449,0.03809956,0.13734043,0.21143836,0.1419571891126369,0.0011243350805427155
0.12956785,0.12430668,0.10550712,0.05215619,0.41000808,0.09068544,0.08776863,0.1411857390032429,0.00035288497114871475
0.13852726,0.07441893,0.09942758,0.13212831,0.21492602,0.08099335,0.25957856,0.14245485747543993,0.001622003443345732
0.31614586,0.11930817,0.25989679,0.0504492,0.10049986,0.12986286,0.02383725,0.13073032739033597,-0.01010252664175823
0.06063174,0.45227982,0.08391676,0.12161226,0.00179291,0.21312999,0.06663652,0.13621405540493997,-0.004618798627154225
0.11469273,0.10880683,0.0442553,0.32719313,0.13004921,0.19310601,0.08189678,0.12076636898353565,-0.02006648504855854
0.25841167,0.00807287,0.05326822,0.06434817,0.03974919,0.03833444,0.53781545,0.12873875376272811,-0.012094100269366082
0.15547402,0.3792911,0.09951718,0.14836204,0.07158288,0.12725549,0.0185173,0.13797474921846706,-0.002858104813627138
0.0941656,0.10430974,0.48134645,0.10395068,0.11354007,0.03372482,0.06896264,0.16982268918530274,0.02898983515320855
0.07980231,0.12547847,0.31651347,0.01508974,0.10582838,0.07879419,0.27849344,0.16710523054680151,0.02627237651470732
