source_community,target_community,weight
1896,18891264,13
1896,23181184,2
1896,68274901,4
1896,89214694,32
1896,94128991,1
288243,2155653,2
288243,5940967,1
288243,22526935,27
288243,24600903,2
288243,35783447,1
288243,61120627,44
288243,66861410,1
288243,70084344,1
288243,82062691,1
323110,9776852,2
323110,98958395,2
468865,2155653,2
468865,15524670,2
468865,24600903,51
468865,40185500,1
468865,45282313,2
468865,55636222,1
468865,61120627,5
468865,73915113,1
468865,75744194,1
468865,76439914,3
468865,86776342,1
468865,91546178,3
468865,94883302,3
502133,22500065,1
502133,33184181,2
502133,39836728,1
502133,40596457,2
502133,68274901,4
502133,98530513,2
600963,16061151,1
600963,68274901,2
600963,87587629,1
600963,89214694,5
600963,90693957,3
600963,94128991,1
768301,4805010,2
768301,17591510,1
768301,24600903,5
768301,34764210,1
768301,51437820,1
768301,76439914,2
768301,96502467,1
905915,64114483,4
1014182,288243,1
1014182,61120627,6
1047502,33184181,1
1108797,24600903,48
1108797,28275586,1
1108797,76439914,3
1108797,83788991,1
1108797,84121409,1
1108797,89524773,1
1108797,91546178,1
1108797,91866183,6
1108797,94883302,3
1402092,21033133,9
1536246,2155653,2
1536246,11910989,1
1536246,22526935,10
1536246,24600903,35
1536246,33919927,3
1536246,41841222,1
1536246,61120627,6
1536246,67212048,1
1536246,76439914,1
1536246,83788991,7
1536246,91546178,1
1536246,91866183,5
1536246,94883302,2
1536246,98958395,1
1573360,4605008,1
1573360,33184181,3
1573360,33393055,1
1573360,39836728,11
1573360,59660811,171
1573360,64114483,232
1573360,86823423,1
1573360,87587629,6
1573360,89214694,6
1573360,96599079,1
1573360,98530513,2
1660514,40828427,1
1685677,33184181,1
1685677,49784838,1
1685677,68274901,3
1685677,70695256,1
1685677,72622731,1
1685677,87587629,3
1685677,89214694,19
1685677,90693957,4
1685677,96599079,27
1685677,97111049,1
1824014,56865357,1
1824014,87587629,1
1840011,24600903,1
1849994,89214694,1
1849994,90693957,2
1930025,22526935,3
1935423,63163582,1
1935423,87587629,4
2046694,22526935,7
2046694,61120627,4
2109679,33184181,1
2109679,89214694,2
2155653,4805010,1
2155653,5940967,2
2155653,15524670,1
2155653,20578455,4
2155653,24303373,1
2155653,24600903,232
2155653,36553571,1
2155653,47924918,2
2155653,49542927,1
2155653,61120627,2
2155653,69438574,1
2155653,73915113,1
2155653,76439914,10
2155653,91546178,3
2155653,94883302,17
2170586,15554487,1
2170586,20578455,1
2170586,24600903,5
2170586,67212048,1
2170586,76439914,1
2170586,83788991,1
2170586,91866183,4
2179811,15879205,1
2179811,33184181,1
2179811,37376968,1
2179811,62437100,1
2179811,68274901,6
2179811,69780978,1
2179811,87587629,17
2179811,89214694,5
2179811,90693957,1
2179811,98225005,1
2179811,98530513,4
2223543,33184181,9
2223543,39836728,2
2223543,53971462,1
2223543,60538748,2
2223543,68274901,6
2223543,98530513,3
2672247,1896,1
2672247,42346347,2
2672247,42443229,1
2672247,89214694,3
2718083,4592511,1
2718083,9629117,2
2718083,21033133,44
2718083,64114483,54
2718083,81087903,1
2718083,89214694,1
2718083,96595239,3
2999344,96599079,4
3193931,22526935,24
3251344,89214694,2
3280887,288243,1
3280887,6206012,1
3280887,12525872,5
3280887,22526935,64
3280887,24303373,2
3280887,27143805,2
3280887,61120627,23
3280887,66028858,1
3280887,74317801,2
3280887,86776342,3
3324383,57408354,1
3324383,61120627,9
3352308,15025980,1
3352308,21033133,130
3352308,33504428,4
3352308,56530295,1
3352308,61048391,1
3352308,81087903,2
3368297,40596457,1
3368297,62346750,1
3368297,89214694,3
3424882,8774525,2
3424882,15025980,1
3424882,21033133,16
3424882,31941213,1
3424882,33504428,1
3424882,46115382,1
3424882,51655702,1
3424882,81087903,1
3424882,83788991,1
3424882,87623018,1
3470840,91866183,1
3586180,68274901,1
3586180,87587629,1
3586180,89214694,1
3586180,90065113,1
3722269,64114483,108
3722269,68274901,1
3722269,94128991,1
3879015,16055403,1
3879015,19268957,1
3879015,63725467,1
3879015,87587629,2
3879673,64114483,3
3890538,24600903,1
3960313,61120627,4
4004073,21033133,2
4053095,90693957,2
4223531,87587629,2
4258552,20578455,1
4258552,24600903,10
4258552,31941213,1
4258552,35783447,1
4258552,61120627,7
4258552,71929642,1
4258552,91866183,2
4307635,7062422,1
4307635,39836728,2
4307635,63163582,2
4307635,64508530,1
4307635,68274901,19
4307635,87587629,4
4307635,89214694,8
4307635,98530513,2
4320848,33184181,2
4322878,87587629,1
4322878,96599079,20
4447141,23181184,1
4447141,33184181,4
4447141,87587629,1
4447141,90693957,2
4497311,48111528,7
4497311,49784838,6
4497311,90693957,4
4574802,15879205,4
4574802,68274901,3
4574802,89214694,1
4574802,96599079,40
4574802,98530513,4
4592511,9629117,27
4592511,17204268,4
4592511,19635285,2
4592511,21033133,220
4592511,33504428,6
4592511,42103955,3
4592511,51655702,1
4592511,56530295,38
4592511,57352462,1
4592511,72468997,3
4592511,81087903,3
4592511,87623018,7
4592511,88430085,1
4592511,96595239,25
4605008,1573360,1
4605008,59660811,76
4605008,64114483,18
4605008,87587629,2
4605008,90693957,5
4605008,96599079,3
4605008,98530513,1
4765588,89214694,2
4783789,61120627,13
4805010,2155653,1
4805010,9629117,2
4805010,9928964,1
4805010,21033133,13
4805010,24600903,20
4805010,24674477,1
4805010,74567908,2
4805010,91546178,1
4805010,96595239,7
4882547,68274901,1
4882547,98530513,1
5210572,87587629,1
5260206,68274901,1
5353472,61120627,1
5620639,22526935,11
5620639,28526613,2
5694403,288243,3
5694403,22526935,26
5694403,61120627,40
5694403,67902711,1
5861483,68274901,1
5897579,33184181,5
5897579,39836728,11
5897579,64114483,17
5897579,68274901,58
5897579,72170456,3
5897579,89214694,6
5897579,98530513,82
5940967,12525872,5
5940967,22526935,11
5940967,24303373,1
5940967,24600903,6
5940967,27143805,5
5940967,41935032,1
5940967,51362897,1
5940967,74317801,1
5940967,86776342,2
5980083,89214694,2
5994710,39836728,1
5994710,64114483,11
5994710,98530513,1
6026911,24600903,6
6143669,11910989,1
6143669,22526935,181
6143669,24600903,4
6143669,28526613,1
6143669,35776259,1
6143669,65165048,1
6143669,66861410,1
6143669,91962877,1
6206012,8136388,16
6206012,11298146,1
6206012,12525872,157
6206012,21850162,2
6206012,24303373,24
6206012,27143805,55
6206012,35669016,2
6206012,41935032,12
6206012,51362897,2
6206012,57307447,2
6206012,58635439,3
6206012,59761120,1
6206012,66028858,8
6206012,68641694,2
6206012,72174533,3
6206012,74317801,55
6206012,78334173,6
6206012,78970612,1
6206012,86776342,118
6206012,91546178,2
6207897,33184181,5
6207897,87587629,2
6207897,89214694,6
6527373,91866183,1
6592680,7062422,2
6592680,19268957,1
6592680,43306335,1
6592680,68274901,1
6592680,87587629,1
6592680,87644199,1
6592680,98530513,1
6768419,39836728,1
6830035,87644199,1
6830035,89214694,1
6972529,87587629,1
6979383,53971462,2
6979383,60538748,1
6979383,68274901,33
6979383,84567885,1
6979383,90693957,1
6979383,93301386,1
6979383,98530513,7
7049592,22526935,19
7049592,66861410,1
7062422,2179811,1
7062422,4307635,1
7062422,12122112,1
7062422,12579139,3
7062422,19268957,2
7062422,26506920,1
7062422,33184181,8
7062422,35218430,2
7062422,39836728,42
7062422,59098727,1
7062422,61134216,1
7062422,62104863,1
7062422,63725467,1
7062422,68274901,8
7062422,70329463,6
7062422,72170456,3
7062422,87587629,209
7062422,88736307,1
7062422,89214694,56
7062422,98530513,4
7179202,64114483,4
7179202,68274901,6
7179202,86823423,1
7650138,24600903,1
7734964,87587629,1
7734964,89214694,1
7758349,21033133,4
7758349,50236036,1
7823451,40828427,6
7875791,14541580,1
7875791,15382039,15
7875791,17204268,1
7875791,17652259,1
7875791,22753372,2
7875791,23674688,1
7875791,31966096,1
7875791,45768499,7
7875791,47168628,36
7875791,51650927,16
7875791,98958395,21
7969829,21033133,1
7969829,47168628,1
7969829,50236036,2
8136388,6206012,18
8136388,11298146,2
8136388,12525872,228
8136388,22526935,41
8136388,24303373,54
8136388,27143805,36
8136388,41935032,28
8136388,66028858,18
8136388,69297683,1
8136388,69777833,1
8136388,72174533,10
8136388,74317801,74
8136388,75916096,1
8136388,78334173,1
8136388,78970612,3
8136388,86776342,111
8136388,91546178,3
8194633,39836728,5
8194633,62437100,1
8194633,64508530,1
8194633,68274901,16
8194633,72170456,3
8194633,87587629,2
8194633,89214694,2
8194633,96599079,29
8342341,8711549,1
8342341,68274901,1
8342341,87587629,1
8342341,89214694,1
8342341,98530513,1
8493257,9629117,26
8493257,96595239,1
8493257,98879466,1
8633207,40596457,1
8633207,59004506,1
8633207,62346750,2
8633207,71560991,1
8633207,89214694,2
8633207,98530513,2
8690910,47168628,5
8690910,98958395,6
8704676,33184181,1
8711549,9781563,1
8711549,12122112,1
8711549,33184181,9
8711549,33282725,1
8711549,40716908,1
8711549,44104006,1
8711549,49558671,1
8711549,62437100,1
8711549,68274901,2
8711549,69216353,1
8711549,81585132,1
8711549,87587629,6
8711549,89214694,17
8711549,95171581,1
8711549,96599079,5
8711549,98225005,1
8744295,61134216,1
8744295,87587629,4
8774525,20617036,3
8774525,21033133,29
8774525,40756886,1
8774525,96595239,1
8793092,33184181,1
8793092,87587629,4
8793092,89214694,2
9164521,53971462,1
9164521,59004506,1
9164521,87587629,2
9164521,89214694,1
9164521,90693957,2
9164521,98530513,1
9193392,91866183,1
9267740,98958395,1
9364653,24600903,4
9428161,33184181,1
9428161,37567397,1
9428161,87587629,1
9485180,24600903,2
9629117,4592511,1
9629117,8493257,3
9629117,20825382,3
9629117,24674477,1
9629117,29696753,4
9629117,31867494,1
9629117,40870162,18
9629117,50236036,1
9629117,57352462,2
9629117,74567908,320
9629117,75744194,2
9629117,76849072,22
9629117,83991170,11
9629117,96595239,452
9629117,98879466,10
9773249,68274901,1
9776852,7875791,1
9776852,31966096,1
9776852,98530513,1
9776852,98958395,7
9781563,68274901,18
9781563,98530513,5
9814606,24600903,2
9928964,3352308,3
9928964,21033133,4
9928964,73511156,1
9928964,87587629,1
