scope,domain,fold_id,metric,metric_active,target,n,spearman
all,all,-1,B,1,RGPM,20986,0.009362370241589842
all,all,-1,B,1,RGPM_v3_balanced,20986,-0.030471001203035187
all,all,-1,B,1,RGPM_mahalanobis_debug,20986,-0.0014535098291465244
all,all,-1,B,1,RGPM_expansion_component,20986,-0.0766649615835351
all,all,-1,B,1,RGPM_bridging_component,20986,-0.06941473896267088
all,all,-1,B,1,RGPM_reconfiguration_component,20986,0.06268194192096872
all,all,-1,B,1,community_reach_z,20986,-0.08788354522809236
all,all,-1,B,1,field_entropy_z,20986,-0.019493754407518306
all,all,-1,B,1,cross_community_adoption_z,20986,-0.06077776701549075
all,all,-1,B,1,path_shortening_z,20986,-0.04193382541116032
all,all,-1,B,1,modularity_shock_z,20986,0.06467509100595524
all,all,-1,B,1,partition_change_z,20986,-0.06968212135262634
all,all,-1,B,1,boundary_mixing_z,20986,0.08862766766245578
all,all,-1,B,1,post_perturbation_concentration_z,20986,0.014647324007754816
all,all,-1,B,1,hub_formation_z,20986,-0.0024372408806308792
all,all,-1,RS,1,RGPM,20986,0.1578448919486102
all,all,-1,RS,1,RGPM_v3_balanced,20986,0.13383221395733144
all,all,-1,RS,1,RGPM_mahalanobis_debug,20986,0.12855208180637218
all,all,-1,RS,1,RGPM_expansion_component,20986,0.09314166644048483
all,all,-1,RS,1,RGPM_bridging_component,20986,0.10736346733840771
all,all,-1,RS,1,RGPM_reconfiguration_component,20986,0.011444855742250518
all,all,-1,RS,1,community_reach_z,20986,0.06693233144016601
all,all,-1,RS,1,field_entropy_z,20986,0.13537496186478412
all,all,-1,RS,1,cross_community_adoption_z,20986,0.12927898561665763
all,all,-1,RS,1,path_shortening_z,20986,0.17635437789162248
all,all,-1,RS,1,modularity_shock_z,20986,0.018708039752300214
all,all,-1,RS,1,partition_change_z,20986,0.31359581884413573
all,all,-1,RS,1,boundary_mixing_z,20986,-0.14225056992941987
all,all,-1,RS,1,post_perturbation_concentration_z,20986,-0.1419886399399808
all,all,-1,RS,1,hub_formation_z,20986,-0.0013271466749204762
all,all,-1,DeltaQ0,1,RGPM,20986,0.15011103043775256
all,all,-1,DeltaQ0,1,RGPM_v3_balanced,20986,0.20399624262818383
all,all,-1,DeltaQ0,1,RGPM_mahalanobis_debug,20986,0.16017279472779136
all,all,-1,DeltaQ0,1,RGPM_expansion_component,20986,0.0009749740434782864
all,all,-1,DeltaQ0,1,RGPM_bridging_component,20986,0.04302125091615094
all,all,-1,DeltaQ0,1,RGPM_reconfiguration_component,20986,0.3911578759220509
all,all,-1,DeltaQ0,1,community_reach_z,20986,-0.015779697612814624
all,all,-1,DeltaQ0,1,field_entropy_z,20986,-0.0024493510296523108
all,all,-1,DeltaQ0,1,cross_community_adoption_z,20986,0.014182286690480208
all,all,-1,DeltaQ0,1,path_shortening_z,20986,-0.01869075006985905
all,all,-1,DeltaQ0,1,modularity_shock_z,20986,0.3775460437497642
all,all,-1,DeltaQ0,1,partition_change_z,20986,-0.07319563525712809
all,all,-1,DeltaQ0,1,boundary_mixing_z,20986,0.41628674514929737
all,all,-1,DeltaQ0,1,post_perturbation_concentration_z,20986,0.012000671569839895
all,all,-1,DeltaQ0,1,hub_formation_z,20986,-0.019119490826541328
all,all,-1,Uzzi,1,RGPM,20986,-0.055658189207466124
all,all,-1,Uzzi,1,RGPM_v3_balanced,20986,-0.15920240207415054
all,all,-1,Uzzi,1,RGPM_mahalanobis_debug,20986,-0.17384463138734563
all,all,-1,Uzzi,1,RGPM_expansion_component,20986,-0.10749427233176455
all,all,-1,Uzzi,1,RGPM_bridging_component,20986,-0.13344383150653077
all,all,-1,Uzzi,1,RGPM_reconfiguration_component,20986,-0.06314608251296608
all,all,-1,Uzzi,1,community_reach_z,20986,-0.042970175028135334
all,all,-1,Uzzi,1,field_entropy_z,20986,-0.05516318744710879
all,all,-1,Uzzi,1,cross_community_adoption_z,20986,-0.0764788760793793
all,all,-1,Uzzi,1,path_shortening_z,20986,-0.04416413680719074
all,all,-1,Uzzi,1,modularity_shock_z,20986,-0.053754306693890835
all,all,-1,Uzzi,1,partition_change_z,20986,-0.16467880294531162
all,all,-1,Uzzi,1,boundary_mixing_z,20986,0.123562003520923
all,all,-1,Uzzi,1,post_perturbation_concentration_z,20986,0.05254341293921076
all,all,-1,Uzzi,1,hub_formation_z,20986,0.016656704354293096
all,all,-1,RTD,1,RGPM,20986,0.2238744364731435
all,all,-1,RTD,1,RGPM_v3_balanced,20986,0.20617856477924337
all,all,-1,RTD,1,RGPM_mahalanobis_debug,20986,0.22365054946264892
all,all,-1,RTD,1,RGPM_expansion_component,20986,0.1294778990335961
all,all,-1,RTD,1,RGPM_bridging_component,20986,0.1559058894408567
all,all,-1,RTD,1,RGPM_reconfiguration_component,20986,0.058818352573449896
all,all,-1,RTD,1,community_reach_z,20986,0.058615527706053404
all,all,-1,RTD,1,field_entropy_z,20986,0.17377379738728
all,all,-1,RTD,1,cross_community_adoption_z,20986,0.16604782237043536
all,all,-1,RTD,1,path_shortening_z,20986,0.18821138428159143
all,all,-1,RTD,1,modularity_shock_z,20986,0.06153790380759891
all,all,-1,RTD,1,partition_change_z,20986,0.4017222922982554
all,all,-1,RTD,1,boundary_mixing_z,20986,-0.18367640222962142
all,all,-1,RTD,1,post_perturbation_concentration_z,20986,-0.1892557621101201
all,all,-1,RTD,1,hub_formation_z,20986,0.009718371340628444
all,all,-1,BurtIP,1,RGPM,20986,0.011697406969897161
all,all,-1,BurtIP,1,RGPM_v3_balanced,20986,-0.013177101406826692
all,all,-1,BurtIP,1,RGPM_mahalanobis_debug,20986,0.0037101295623151102
all,all,-1,BurtIP,1,RGPM_expansion_component,20986,-0.060186709540167936
all,all,-1,BurtIP,1,RGPM_bridging_component,20986,-0.05412004930929598
all,all,-1,BurtIP,1,RGPM_reconfiguration_component,20986,0.07007818673539909
all,all,-1,BurtIP,1,community_reach_z,20986,-0.06852284892242283
all,all,-1,BurtIP,1,field_entropy_z,20986,-0.011182174544984493
all,all,-1,BurtIP,1,cross_community_adoption_z,20986,-0.04706626921042911
all,all,-1,BurtIP,1,path_shortening_z,20986,-0.01242576616144417
all,all,-1,BurtIP,1,modularity_shock_z,20986,0.07095383841037455
all,all,-1,BurtIP,1,partition_change_z,20986,-0.057187207506495336
all,all,-1,BurtIP,1,boundary_mixing_z,20986,0.07385540192237858
all,all,-1,BurtIP,1,post_perturbation_concentration_z,20986,0.010542672850971248
all,all,-1,BurtIP,1,hub_formation_z,20986,-0.018680787817416545
all,all,-1,PDE,1,RGPM,20986,0.16087571482128937
all,all,-1,PDE,1,RGPM_v3_balanced,20986,0.13419920247555417
all,all,-1,PDE,1,RGPM_mahalanobis_debug,20986,0.1305996785816128
all,all,-1,PDE,1,RGPM_expansion_component,20986,0.09264514582399085
all,all,-1,PDE,1,RGPM_bridging_component,20986,0.1057686098687039
all,all,-1,PDE,1,RGPM_reconfiguration_component,20986,0.014018807326005934
all,all,-1,PDE,1,community_reach_z,20986,0.06555811389766476
all,all,-1,PDE,1,field_entropy_z,20986,0.1333322664523941
all,all,-1,PDE,1,cross_community_adoption_z,20986,0.12511086496879228
all,all,-1,PDE,1,path_shortening_z,20986,0.17445434694206483
all,all,-1,PDE,1,modularity_shock_z,20986,0.021242665706471223
all,all,-1,PDE,1,partition_change_z,20986,0.31116027323170314
all,all,-1,PDE,1,boundary_mixing_z,20986,-0.1441220465144804
all,all,-1,PDE,1,post_perturbation_concentration_z,20986,-0.14356114734043157
all,all,-1,PDE,1,hub_formation_z,20986,-0.0016103957210770758
domain,advanced_mri_techniques_and_applications,-1,B,1,RGPM,1125,0.007697794618611362
domain,advanced_mri_techniques_and_applications,-1,B,1,RGPM_v3_balanced,1125,-0.2690607861425601
domain,advanced_mri_techniques_and_applications,-1,B,1,RGPM_mahalanobis_debug,1125,-0.2398640131362262
domain,advanced_mri_techniques_and_applications,-1,B,1,RGPM_expansion_component,1125,-0.2313479409668659
