domain,n_papers,n_landmarks,n_high_perturbation_cases,n_landmark_or_high_cases,high_perturbation_quantile,high_perturbation_threshold,control_median,relaxed_control_tier_rate,pass_papers_per_domain_min,pass_landmark_or_high_cases_min,pass_control_median_min,pass_relaxed_control_tier_rate_max
advanced_mri_techniques_and_applications,1125,0,113,113,0.9,0.7590393595730487,106.0,0.058666666666666666,0,1,1,1
autophagy_in_disease_and_therapy,1577,4,158,160,0.9,0.8602687505956353,210.0,0.04882688649334179,0,1,1,1
banking_stability_regulation_efficiency,1326,1,133,134,0.9,0.927570761460021,125.0,0.012066365007541479,0,1,1,1
economic_growth_and_productivity,856,0,86,86,0.9,0.8605737158105404,80.0,0.017523364485981307,0,0,1,1
economic_theories_and_models,365,0,37,37,0.9,0.8685123415610407,85.0,0.08493150684931507,0,0,1,1
economic_theory_and_institutions,494,0,50,50,0.9,0.8470742399695035,107.0,0.3076923076923077,0,0,1,0
economic_theory_and_policy,287,0,29,29,0.9,0.9023253597636519,80.0,0.09407665505226481,0,0,1,1
financial_markets_and_investment_strategies,1544,0,155,155,0.9,0.9250309730296389,123.0,0.05569948186528497,0,1,1,1
gamma_ray_bursts_and_supernovae,1531,1,154,155,0.9,0.9307157152387305,162.0,0.012410189418680601,0,1,1,1
gender_labor_and_family_dynamics,568,0,57,57,0.9,0.7412751358048223,84.0,0.04929577464788732,0,0,1,1
genetics_aging_and_longevity_in_model_organisms,1801,1,181,182,0.9,0.9330029543505194,101.0,0.0421987784564131,0,1,1,1
income_poverty_and_inequality,855,2,86,88,0.9,0.9014485847707996,131.0,0.12982456140350876,0,0,1,1
magnetic_properties_of_thin_films,1085,1,109,109,0.9,0.7634137043743449,94.0,0.0027649769585253456,0,1,1,1
mass_spectrometry_techniques_and_applications,1023,0,103,103,0.9,0.7619651196035452,125.0,0.006842619745845552,0,1,1,1
monetary_policy_and_economic_impact,1404,0,141,141,0.9,0.9368436100257315,72.0,0.014957264957264958,0,1,1,1
protein_structure_and_dynamics,1139,0,114,114,0.9,0.7624320975888688,104.0,0.001755926251097454,0,1,1,1
spectroscopy_and_quantum_chemical_studies,1161,0,117,117,0.9,0.9095111026398551,92.0,0.11627906976744186,0,1,1,1
sustainable_development_and_environmental_policy,510,0,51,51,0.9,0.8860811969884685,78.0,0.12941176470588237,0,0,1,1
theoretical_and_computational_physics,922,0,93,93,0.9,0.9243305060516535,90.0,0.19197396963123645,0,0,1,0
ubiquitin_and_proteasome_pathways,1413,1,142,143,0.9,0.9000953016296579,122.0,0.04175513092710545,0,1,1,1
