model,kind,metric,oof_spearman,ci_low,ci_high,delta_vs_equal,fold,n_train,n_test,selected_lambda,train_spearman,test_spearman,linear_oof_spearman,equal_weight_spearman,delta_vs_linear
equal_weights,fixed,,0.1815276148055016,0.1689633670387976,0.1960743327325729,0.0,,,,,,,,,
best_single_indicator,single_indicator,RTD,0.2238744364731435,0.20837864434040596,0.23855222199691015,0.04234682166764189,,,,,,,,,
reference_count,bibliometric,,-0.04488690782052975,-0.05625874378174238,-0.030860195064093963,-0.22641452262603137,,,,,,,,,
cited_by_count,bibliometric,,0.05501703794255489,0.04081659526439174,0.06790627840741321,-0.12651057686294673,,,,,,,,,
random_dirichlet_median,sampled_weights,,0.1757938296458286,,,-0.005733785159673016,,,,,,,,,
learned_weight_oof,learned_hybrid,,0.3181956850806432,0.3033443244020303,0.33330442257466575,0.1366680702751416,,,,,,,,,
quadratic_ridge_oof,,,,,,0.1333201053834091,0.0,20986.0,20986.0,,,0.3148477201889107,0.3181956850806432,0.1815276148055016,-0.0033479648917325022
quadratic_ridge_oof_fold,,,,,,,1.0,4198.0,4197.0,0.01,0.3130807996202185,0.3164054645169376,0.3181956850806432,0.1815276148055016,
quadratic_ridge_oof_fold,,,,,,,2.0,8395.0,4197.0,0.03,0.3274015100290473,0.2897802833781558,0.3181956850806432,0.1815276148055016,
quadratic_ridge_oof_fold,,,,,,,3.0,12592.0,4197.0,0.01,0.31739478195760334,0.3829015320214531,0.3181956850806432,0.1815276148055016,
quadratic_ridge_oof_fold,,,,,,,4.0,16789.0,4197.0,0.01,0.3346435172081105,0.28136537261562145,0.3181956850806432,0.1815276148055016,
