variable,kind,n,spearman_with_rgpm,nonzero_rate,median,iqr,cap_hit_rate
RGPM_expansion_component,mechanism_component,20986,0.6023196290366648,0.17807109501572477,0.0,0.0,
RGPM_bridging_component,mechanism_component,20986,0.658213146884813,0.20909177546936053,0.0,0.0,
RGPM_reconfiguration_component,mechanism_component,20986,0.5359823896457702,0.19341465739064137,0.0,0.0,
community_reach_z,delta_z,20986,0.4003582754268044,0.3352234823215477,0.0,0.0,0.24516344229486325
field_entropy_z,delta_z,20986,0.48995438643835304,0.3233107786143143,0.0,1.000088900581841e-09,0.11660154388640045
cross_community_adoption_z,delta_z,20986,0.6405122248691419,0.251072143333651,0.0,0.0,0.13732964833698658
path_shortening_z,delta_z,20986,0.0991180695534838,0.018154960449823693,0.0,0.0,0.01720194415324502
modularity_shock_z,delta_z,20986,0.5290134610203432,0.20346897931954636,0.0,0.0,0.09001238921185552
partition_change_z,delta_z,20986,0.5130946413942558,0.33846373772991517,0.0,0.36184519095483414,0.118364624035071
boundary_mixing_z,delta_z,20986,0.43809515655758824,0.35928714381015914,0.0,0.0,0.13280282092823786
post_perturbation_concentration_z,delta_z,20986,-0.5058888873114081,0.37810921566758793,0.0,2.0528013354680903,0.23306013532831413
hub_formation_z,delta_z,20986,0.004442693440041311,0.01067378252168112,0.0,0.0,0.007624130372629372
community_reach,delta_raw,20986,0.3674757847849171,0.8731535309253788,1.0,0.0,
field_entropy,delta_raw,20986,0.4670806269355967,0.8731535309253788,-1.000088900581841e-12,1.000088900581841e-12,
cross_community_adoption,delta_raw,20986,0.6200189475409079,0.22329171828838273,0.0,0.0,
path_shortening,delta_raw,20986,0.1012585609657568,0.017821404746021157,0.0,0.0,
modularity_shock,delta_raw,20986,0.5303120464382153,0.19603545220623272,0.0,0.0,
partition_change,delta_raw,20986,0.49167640075985625,0.29657867149528255,0.0,0.025116086429371094,
boundary_mixing,delta_raw,20986,0.42794952985153234,0.34732678928809685,0.0,0.0,
post_perturbation_concentration,delta_raw,20986,-0.4584366472652994,0.8731535309253788,1.0,0.17999999999999994,
hub_formation,delta_raw,20986,0.0044803207474349354,1.0,1.0,0.0,
