scope,domain,control_tier,n_rows,tier_count,tier_rate,relaxed_tier_rate,n_controls_median,n_controls_min,n_controls_max
all,all,all_non_landmark,83944,1028,0.012246259411035928,0.030020013342228154,247.0,51.0,83899.0
all,all,field_all_years,83944,1492,0.017773753931192224,0.030020013342228154,247.0,51.0,83899.0
all,all,field_year,83944,3902,0.0464833698656247,0.030020013342228154,247.0,51.0,83899.0
all,all,field_year3,83944,1180,0.014056990374535405,0.030020013342228154,247.0,51.0,83899.0
all,all,field_year_refbin,83944,76342,0.9094396264176118,0.030020013342228154,247.0,51.0,83899.0
domain,crispr,all_non_landmark,20986,257,0.012246259411035928,0.030020013342228154,247.0,51.0,83899.0
domain,crispr,field_all_years,20986,373,0.017773753931192224,0.030020013342228154,247.0,51.0,83899.0
domain,crispr,field_year,20986,974,0.0464118936433813,0.030020013342228154,247.0,51.0,83899.0
domain,crispr,field_year3,20986,295,0.014056990374535405,0.030020013342228154,247.0,51.0,83899.0
domain,crispr,field_year_refbin,20986,19087,0.9095111026398551,0.030020013342228154,247.0,51.0,83899.0
domain,graphene_2d_materials,all_non_landmark,20986,257,0.012246259411035928,0.030020013342228154,247.0,51.0,83899.0
domain,graphene_2d_materials,field_all_years,20986,373,0.017773753931192224,0.030020013342228154,247.0,51.0,83899.0
domain,graphene_2d_materials,field_year,20986,974,0.0464118936433813,0.030020013342228154,247.0,51.0,83899.0
domain,graphene_2d_materials,field_year3,20986,295,0.014056990374535405,0.030020013342228154,247.0,51.0,83899.0
domain,graphene_2d_materials,field_year_refbin,20986,19087,0.9095111026398551,0.030020013342228154,247.0,51.0,83899.0
domain,ipsc_reprogramming,all_non_landmark,20986,257,0.012246259411035928,0.030020013342228154,247.0,51.0,83899.0
domain,ipsc_reprogramming,field_all_years,20986,373,0.017773753931192224,0.030020013342228154,247.0,51.0,83899.0
domain,ipsc_reprogramming,field_year,20986,977,0.046554846087868106,0.030020013342228154,247.0,51.0,83899.0
domain,ipsc_reprogramming,field_year3,20986,295,0.014056990374535405,0.030020013342228154,247.0,51.0,83899.0
domain,ipsc_reprogramming,field_year_refbin,20986,19084,0.9093681501953683,0.030020013342228154,247.0,51.0,83899.0
domain,transformer_foundation_models,all_non_landmark,20986,257,0.012246259411035928,0.030020013342228154,247.0,51.0,83899.0
domain,transformer_foundation_models,field_all_years,20986,373,0.017773753931192224,0.030020013342228154,247.0,51.0,83899.0
domain,transformer_foundation_models,field_year,20986,977,0.046554846087868106,0.030020013342228154,247.0,51.0,83899.0
domain,transformer_foundation_models,field_year3,20986,295,0.014056990374535405,0.030020013342228154,247.0,51.0,83899.0
domain,transformer_foundation_models,field_year_refbin,20986,19084,0.9093681501953683,0.030020013342228154,247.0,51.0,83899.0
