model,kind,metric,oof_spearman,ci_low,ci_high,delta_vs_equal,fold,n_train,n_test,selected_lambda,train_spearman,test_spearman,linear_oof_spearman,equal_weight_spearman,delta_vs_linear
equal_weights,fixed,,0.18926486935586678,0.18257414460485452,0.19657466148430447,0.0,,,,,,,,,
best_single_indicator,single_indicator,RTD,0.1592385783565346,0.15256637224104758,0.16624762387974054,-0.030026290999332184,,,,,,,,,
reference_count,bibliometric,,-0.09640328558474162,-0.10347018005073454,-0.09009095014008639,-0.2856681549406084,,,,,,,,,
cited_by_count,bibliometric,,0.0248992434342549,0.01750189218916039,0.031551546930243646,-0.16436562592161189,,,,,,,,,
random_dirichlet_median,sampled_weights,,0.1660341526790559,,,-0.02323071667681087,,,,,,,,,
learned_weight_oof,learned_hybrid,,0.23564563275512662,0.2281662458919521,0.242796818085159,0.04638076339925984,,,,,,,,,
quadratic_ridge_oof,,,,,,0.12065870748113633,0.0,83944.0,83944.0,,,0.3099235768370031,0.23564563275512662,0.18926486935586678,0.07427794408187649
quadratic_ridge_oof_fold,,,,,,,1.0,62958.0,20986.0,0.01,0.3099404257089492,0.30981389683851474,0.23564563275512662,0.18926486935586678,
quadratic_ridge_oof_fold,,,,,,,2.0,62958.0,20986.0,0.01,0.30990176772604866,0.31002462653753016,0.23564563275512662,0.18926486935586678,
quadratic_ridge_oof_fold,,,,,,,3.0,62958.0,20986.0,0.01,0.3100137582213777,0.3097749544454021,0.23564563275512662,0.18926486935586678,
quadratic_ridge_oof_fold,,,,,,,4.0,62958.0,20986.0,0.01,0.30983675137790795,0.310074241085509,0.23564563275512662,0.18926486935586678,
