scope,domain,fold_id,metric,metric_active,target,n,spearman
all,all,-1,B,1,RGPM,83944,0.044659602241300826
all,all,-1,B,1,RGPM_v3_balanced,83944,-0.01819479932721647
all,all,-1,B,1,RGPM_mahalanobis_debug,83944,0.005892110002546082
all,all,-1,B,1,RGPM_expansion_component,83944,-0.062169000527357215
all,all,-1,B,1,RGPM_bridging_component,83944,-0.05691600219022118
all,all,-1,B,1,RGPM_reconfiguration_component,83944,0.06552478807981177
all,all,-1,B,1,community_reach_z,83944,-0.07507686722876415
all,all,-1,B,1,field_entropy_z,83944,-0.015866813640082727
all,all,-1,B,1,cross_community_adoption_z,83944,-0.04897041736672242
all,all,-1,B,1,path_shortening_z,83944,-0.032141798912785825
all,all,-1,B,1,modularity_shock_z,83944,0.06712990278065845
all,all,-1,B,1,partition_change_z,83944,-0.059202855704919434
all,all,-1,B,1,boundary_mixing_z,83944,0.0853077943541393
all,all,-1,B,1,post_perturbation_concentration_z,83944,0.013027023615028355
all,all,-1,B,1,hub_formation_z,83944,-0.0014185093075686829
all,all,-1,RS,1,RGPM,83944,0.05459844732636666
all,all,-1,RS,1,RGPM_v3_balanced,83944,0.11298797482928921
all,all,-1,RS,1,RGPM_mahalanobis_debug,83944,0.10508683632794522
all,all,-1,RS,1,RGPM_expansion_component,83944,0.07823192809862822
all,all,-1,RS,1,RGPM_bridging_component,83944,0.09340981302277032
all,all,-1,RS,1,RGPM_reconfiguration_component,83944,-0.0007441169146079001
all,all,-1,RS,1,community_reach_z,83944,0.06102006527650673
all,all,-1,RS,1,field_entropy_z,83944,0.11671561595284005
all,all,-1,RS,1,cross_community_adoption_z,83944,0.11257509675995606
all,all,-1,RS,1,path_shortening_z,83944,0.15958195854803164
all,all,-1,RS,1,modularity_shock_z,83944,0.0006221799163447513
all,all,-1,RS,1,partition_change_z,83944,0.28731892949625726
all,all,-1,RS,1,boundary_mixing_z,83944,-0.1621769334984238
all,all,-1,RS,1,post_perturbation_concentration_z,83944,-0.12120199026023457
all,all,-1,RS,1,hub_formation_z,83944,-0.0016749465509498544
all,all,-1,DeltaQ0,1,RGPM,83944,0.08172358409487547
all,all,-1,DeltaQ0,1,RGPM_v3_balanced,83944,0.18628507743340245
all,all,-1,DeltaQ0,1,RGPM_mahalanobis_debug,83944,0.13699994362932558
all,all,-1,DeltaQ0,1,RGPM_expansion_component,83944,-0.0041536159308019115
all,all,-1,DeltaQ0,1,RGPM_bridging_component,83944,0.0354060428181153
all,all,-1,DeltaQ0,1,RGPM_reconfiguration_component,83944,0.37231640636086955
all,all,-1,DeltaQ0,1,community_reach_z,83944,-0.010980157532782819
all,all,-1,DeltaQ0,1,field_entropy_z,83944,-0.0011238881860811368
all,all,-1,DeltaQ0,1,cross_community_adoption_z,83944,0.016002204359643658
all,all,-1,DeltaQ0,1,path_shortening_z,83944,-0.018692362792206083
all,all,-1,DeltaQ0,1,modularity_shock_z,83944,0.36724713258965247
all,all,-1,DeltaQ0,1,partition_change_z,83944,-0.07197626102619992
all,all,-1,DeltaQ0,1,boundary_mixing_z,83944,0.4129730929405214
all,all,-1,DeltaQ0,1,post_perturbation_concentration_z,83944,0.008569563394732166
all,all,-1,DeltaQ0,1,hub_formation_z,83944,-0.01928343337809963
all,all,-1,Uzzi,1,RGPM,83944,-0.10113399427328433
all,all,-1,Uzzi,1,RGPM_v3_balanced,83944,-0.16402591620200574
all,all,-1,Uzzi,1,RGPM_mahalanobis_debug,83944,-0.18340034896915122
